Family	User	Evo	Index	Trade	Rarity
140	kabutops	TRUE	A	*	5*
140	kabutops	TRUE	B	*	4*
140	kabuto	TRUE	C	*	1-2*
140	kabuto	TRUE	D	*	1-2*
140	kabuto	TRUE	E	*	2-3*
140	kabutops	TRUE	F	*	2-3*
142	aerodactyl	FALSE	A	*	5*
142	aerodactyl	FALSE	B	*	4*
142	aerodactyl	FALSE	C	*	1-2*
142	aerodactyl	FALSE	D	*	1-2*
142	aerodactyl	FALSE	E	*	2-3*
142	aerodactyl	FALSE	F	*	2-3*
143	snorlax	TRUE	A	*	5*
143	snorlax	TRUE	B	*	4*
143	munchlax	TRUE	C	*	1-2*
143	munchlax	TRUE	D	*	1-2*
143	munchlax	TRUE	E	*	2-3*
143	snorlax	TRUE	F	*	2-3*
144	articuno	FALSE	A	*	5*
144	articuno	FALSE	B	*	4*
144	articuno	FALSE	C	*	1-2*
144	articuno	FALSE	D	*	1-2*
144	articuno	FALSE	E	*	2-3*
144	articuno	FALSE	F	*	2-3*
145	zapdos	FALSE	A	*	5*
145	zapdos	FALSE	B	*	4*
145	zapdos	FALSE	C	*	1-2*
145	zapdos	FALSE	D	*	1-2*
145	zapdos	FALSE	E	*	2-3*
145	zapdos	FALSE	F	*	2-3*
146	moltres	FALSE	A	*	5*
146	moltres	FALSE	B	*	4*
146	moltres	FALSE	C	*	1-2*
146	moltres	FALSE	D	*	1-2*
146	moltres	FALSE	E	*	2-3*
146	moltres	FALSE	F	*	2-3*
147	dragonite	TRUE	A	*	5*
147	dragonair	TRUE	B	*	4*
147	dratini	TRUE	C	*	1-2*
147	dratini	TRUE	D	*	1-2*
147	dratini	TRUE	E	*	2-3*
147	dragonair	TRUE	F	*	2-3*
150	mewtwo	FALSE	A	*	5*
150	mewtwo	FALSE	B	*	4*
150	mewtwo	FALSE	C	*	1-2*
150	mewtwo	FALSE	D	*	1-2*
150	mewtwo	FALSE	E	*	2-3*
150	mewtwo	FALSE	F	*	2-3*
151	mew	FALSE	A	*	5*
151	mew	FALSE	B	*	4*
151	mew	FALSE	C	*	1-2*
151	mew	FALSE	D	*	1-2*
151	mew	FALSE	E	*	2-3*
151	mew	FALSE	F	*	2-3*
152	meganium	TRUE	A	*	5*
152	bayleef	TRUE	B	*	4*
152	chikorita	TRUE	C	*	1-2*
152	chikorita	TRUE	D	*	1-2*
152	chikorita	TRUE	E	*	2-3*
152	bayleef	TRUE	F	*	2-3*
155	typhlosion	TRUE	A	*	5*
155	quilava	TRUE	B	*	4*
155	cyndaquil	TRUE	C	*	1-2*
155	cyndaquil	TRUE	D	*	1-2*
155	cyndaquil	TRUE	E	*	2-3*
155	quilava	TRUE	F	*	2-3*
158	feraligatr	TRUE	A	*	5*
158	croconaw	TRUE	B	*	4*
158	totodile	TRUE	C	*	1-2*
158	totodile	TRUE	D	*	1-2*
158	totodile	TRUE	E	*	2-3*
158	croconaw	TRUE	F	*	2-3*
161	furret	TRUE	A	*	5*
161	furret	TRUE	B	*	4*
161	sentret	TRUE	C	*	1-2*
161	sentret	TRUE	D	*	1-2*
161	sentret	TRUE	E	*	2-3*
161	furret	TRUE	F	*	2-3*
163	noctowl	TRUE	A	*	5*
163	noctowl	TRUE	B	*	4*
163	hoothoot	TRUE	C	*	1-2*
163	hoothoot	TRUE	D	*	1-2*
163	hoothoot	TRUE	E	*	2-3*
163	noctowl	TRUE	F	*	2-3*
165	ledian	TRUE	A	*	5*
165	ledian	TRUE	B	*	4*
165	ledyba	TRUE	C	*	1-2*
165	ledyba	TRUE	D	*	1-2*
165	ledyba	TRUE	E	*	2-3*
165	ledian	TRUE	F	*	2-3*
167	ariados	TRUE	A	*	5*
167	ariados	TRUE	B	*	4*
167	spinarak	TRUE	C	*	1-2*
167	spinarak	TRUE	D	*	1-2*
167	spinarak	TRUE	E	*	2-3*
167	ariados	TRUE	F	*	2-3*
170	lanturn	TRUE	A	*	5*
170	lanturn	TRUE	B	*	4*
170	chinchou	TRUE	C	*	1-2*
170	chinchou	TRUE	D	*	1-2*
170	chinchou	TRUE	E	*	2-3*
170	lanturn	TRUE	F	*	2-3*
175	togekiss	TRUE	A	*	5*
175	togetic	TRUE	B	*	4*
175	togepi	TRUE	C	*	1-2*
175	togepi	TRUE	D	*	1-2*
175	togepi	TRUE	E	*	2-3*
175	togetic	TRUE	F	*	2-3*
177	xatu	TRUE	A	*	5*
177	xatu	TRUE	B	*	4*
177	natu	TRUE	C	*	1-2*
177	natu	TRUE	D	*	1-2*
177	natu	TRUE	E	*	2-3*
177	xatu	TRUE	F	*	2-3*
179	ampharos	TRUE	A	*	5*
179	flaaffy	TRUE	B	*	4*
179	mareep	TRUE	C	*	1-2*
179	mareep	TRUE	D	*	1-2*
179	mareep	TRUE	E	*	2-3*
179	flaaffy	TRUE	F	*	2-3*
183	azumarill	TRUE	A	*	5*
183	marill	TRUE	B	*	4*
183	azurill	TRUE	C	*	1-2*
183	azurill	TRUE	D	*	1-2*
183	azurill	TRUE	E	*	2-3*
183	marill	TRUE	F	*	2-3*
185	sudowoodo	TRUE	A	*	5*
185	sudowoodo	TRUE	B	*	4*
185	bonsly	TRUE	C	*	1-2*
185	bonsly	TRUE	D	*	1-2*
185	bonsly	TRUE	E	*	2-3*
185	sudowoodo	TRUE	F	*	2-3*
187	jumpluff	TRUE	A	*	5*
187	skiploom	TRUE	B	*	4*
187	hoppip	TRUE	C	*	1-2*
187	hoppip	TRUE	D	*	1-2*
187	hoppip	TRUE	E	*	2-3*
187	skiploom	TRUE	F	*	2-3*
190	ambipom	TRUE	A	*	5*
190	ambipom	TRUE	B	*	4*
190	aipom	TRUE	C	*	1-2*
190	aipom	TRUE	D	*	1-2*
190	aipom	TRUE	E	*	2-3*
190	ambipom	TRUE	F	*	2-3*
191	sunflora	TRUE	A	*	5*
191	sunflora	TRUE	B	*	4*
191	sunkern	TRUE	C	*	1-2*
191	sunkern	TRUE	D	*	1-2*
191	sunkern	TRUE	E	*	2-3*
191	sunflora	TRUE	F	*	2-3*
193	yanmega	TRUE	A	*	5*
193	yanmega	TRUE	B	*	4*
193	yanma	TRUE	C	*	1-2*
193	yanma	TRUE	D	*	1-2*
193	yanma	TRUE	E	*	2-3*
193	yanmega	TRUE	F	*	2-3*
194	clodsire	FALSE	A	@	5*
194	quagsire	FALSE	B	@	5*
194	wooper	FALSE	C	@	1-2*
194	wooper	FALSE	D	@	1-2*
194	wooper	FALSE	E	@	3-4*
194	wooper	FALSE	F	@	3-4*
198	honchkrow	TRUE	A	*	5*
198	honchkrow	TRUE	B	*	4*
198	murkrow	TRUE	C	*	1-2*
198	murkrow	TRUE	D	*	1-2*
198	murkrow	TRUE	E	*	2-3*
198	honchkrow	TRUE	F	*	2-3*
200	mismagius	TRUE	A	*	5*
200	mismagius	TRUE	B	*	4*
200	misdreavus	TRUE	C	*	1-2*
200	misdreavus	TRUE	D	*	1-2*
200	misdreavus	TRUE	E	*	2-3*
200	mismagius	TRUE	F	*	2-3*
201	unown	FALSE	A	*	5*
201	unown	FALSE	B	*	4*
201	unown	FALSE	C	*	1-2*
201	unown	FALSE	D	*	1-2*
201	unown	FALSE	E	*	2-3*
201	unown	FALSE	F	*	2-3*
202	wobbuffet	TRUE	A	*	5*
202	wobbuffet	TRUE	B	*	4*
202	wynaut	TRUE	C	*	1-2*
202	wynaut	TRUE	D	*	1-2*
202	wynaut	TRUE	E	*	2-3*
202	wobbuffet	TRUE	F	*	2-3*
203	farigiraf	TRUE	A	*	5*
203	farigiraf	TRUE	B	*	4*
203	girafarig	TRUE	C	*	1-2*
203	girafarig	TRUE	D	*	1-2*
203	girafarig	TRUE	E	*	2-3*
203	farigiraf	TRUE	F	*	2-3*
204	forretress	TRUE	A	*	5*
204	forretress	TRUE	B	*	4*
204	pineco	TRUE	C	*	1-2*
204	pineco	TRUE	D	*	1-2*
204	pineco	TRUE	E	*	2-3*
204	forretress	TRUE	F	*	2-3*
206	dunsparce	FALSE	A	*	5*
206	dunsparce	FALSE	B	*	4*
206	dunsparce	FALSE	C	*	1-2*
206	dunsparce	FALSE	D	*	1-2*
206	dunsparce	FALSE	E	*	2-3*
206	dunsparce	FALSE	F	*	2-3*
207	gliscor	TRUE	A	*	5*
207	gliscor	TRUE	B	*	4*
207	gligar	TRUE	C	*	1-2*
207	gligar	TRUE	D	*	1-2*
207	gligar	TRUE	E	*	2-3*
207	gliscor	TRUE	F	*	2-3*
209	granbull	TRUE	A	*	5*
209	granbull	TRUE	B	*	4*
209	snubbull	TRUE	C	*	1-2*
209	snubbull	TRUE	D	*	1-2*
209	snubbull	TRUE	E	*	2-3*
209	granbull	TRUE	F	*	2-3*
211	overqwil	TRUE	A	*	5*
211	overqwil	TRUE	B	*	4*
211	qwilfish	TRUE	C	*	1-2*
211	qwilfish	TRUE	D	*	1-2*
211	qwilfish	TRUE	E	*	2-3*
211	overqwil	TRUE	F	*	2-3*
213	shuckle	FALSE	A	*	5*
213	shuckle	FALSE	B	*	4*
213	shuckle	FALSE	C	*	1-2*
213	shuckle	FALSE	D	*	1-2*
213	shuckle	FALSE	E	*	2-3*
213	shuckle	FALSE	F	*	2-3*
214	heracross	FALSE	A	*	5*
214	heracross	FALSE	B	*	4*
214	heracross	FALSE	C	*	1-2*
214	heracross	FALSE	D	*	1-2*
214	heracross	FALSE	E	*	2-3*
214	heracross	FALSE	F	*	2-3*
215	sneasler	FALSE	A	@	5*
215	weavile	FALSE	B	@	5*
215	sneasel	FALSE	C	@	1-2*
215	sneasel	FALSE	D	@	1-2*
215	sneasel	FALSE	E	@	3-4*
215	sneasel	FALSE	F	@	3-4*
216	ursaluna	TRUE	A	*	5*
216	ursaring	TRUE	B	*	4*
216	teddiursa	TRUE	C	*	1-2*
216	teddiursa	TRUE	D	*	1-2*
216	teddiursa	TRUE	E	*	2-3*
216	ursaring	TRUE	F	*	2-3*
218	magcargo	TRUE	A	*	5*
218	magcargo	TRUE	B	*	4*
218	slugma	TRUE	C	*	1-2*
218	slugma	TRUE	D	*	1-2*
218	slugma	TRUE	E	*	2-3*
218	magcargo	TRUE	F	*	2-3*
220	mamoswine	TRUE	A	*	5*
220	piloswine	TRUE	B	*	4*
220	swinub	TRUE	C	*	1-2*
220	swinub	TRUE	D	*	1-2*
220	swinub	TRUE	E	*	2-3*
220	piloswine	TRUE	F	*	2-3*
222	corsola	FALSE	A	*	5*
222	corsola	FALSE	B	*	4*
222	corsola	FALSE	C	*	1-2*
222	corsola	FALSE	D	*	1-2*
222	corsola	FALSE	E	*	2-3*
222	corsola	FALSE	F	*	2-3*
223	octillery	TRUE	A	*	5*
223	octillery	TRUE	B	*	4*
223	remoraid	TRUE	C	*	1-2*
223	remoraid	TRUE	D	*	1-2*
223	remoraid	TRUE	E	*	2-3*
223	octillery	TRUE	F	*	2-3*
225	delibird	FALSE	A	*	5*
225	delibird	FALSE	B	*	4*
225	delibird	FALSE	C	*	1-2*
225	delibird	FALSE	D	*	1-2*
225	delibird	FALSE	E	*	2-3*
225	delibird	FALSE	F	*	2-3*
226	mantine	TRUE	A	*	5*
226	mantine	TRUE	B	*	4*
226	mantyke	TRUE	C	*	1-2*
226	mantyke	TRUE	D	*	1-2*
226	mantyke	TRUE	E	*	2-3*
