ItemType	EffectType	Stat	Monster	Element	Status	MapStatus	Category
3* Armlet	045: MultiRayShot		baltoy		mental_charged		
3* Armor	046: RoyalVeil		banette		metal_burst		
3* Band	047: Celebrate		barbaracle		mini_counter		
3* Bangle	048: Absorption		barboach		miracle_eye		
3* Belt	049: ExcessiveForce		barraskewda		mirror_coat		
3* Blade	050: Anchor		basculegion		mist		
3* Bow	051: BarrageGuard		basculin		mod_accuracy		
3* Cap	052: BetterOdds		bastiodon		mod_attack		
3* Cape	053: ClutchPerformer		baxcalibur		mod_defense		
3* Choker	054: DistanceDodge		bayleef		mod_evasion		
3* Coat	055: CloseDodge		beartic		mod_range		
3* Collar	056: FastHealer		beautifly		mod_special_attack		
3* Crown	057: SelfCurer		beedrill		mod_special_defense		
3* Dress	058: StatusMirror		beheeyem		mod_speed		
3* Drill	059: StatMirror		beldum		nightmare		
3* Float	060: ErraticAttacker		bellibolt		paralyze		
3* Glasses	061: ErraticDefender		bellossom		paused		
3* Hat	062: FastFriend		bellsprout		perish_song		
3* Helmet	063: CoinWatcher		bergmite		pierce		
3* Mantle	064: HiddenStairFinder		bewear		poison		
3* Mask	065: ChestFinder		bibarel		poison_toxic		
3* Poncho	066: ShopFinder		bidoof		powder		
3* Robe	067: SecondSTAB		binacle		power_charged		
3* Ruff	068: TypedAttack		bisharp		protect		
3* Sash	069: GapProber		blacephalon		quick_guard		
3* Scarf	070: PassThroughAttacker		blastoise		rage_powder		
3* Scope	071: WeatherProtection		blaziken		recruit_boost		
3* Shield	072: RemoveAbilityAttack		blipbug		reflect		
3* Specs	073: CheekPouch		blissey		regeneration		
3* Tiara	074: HealInWater		blitzle		retaliate		
3* Tie	075: HealInLava		boldore		roosting		
3* Torc	076: HealOnNewFloor		boltund		safeguard		
3* Veil	077: EndureCategory		bombirdier		sand_tomb		
	078: EndureType		bonsly		sleep		
	079: SpikeDropper		bouffalant		sleepless		
	080: NoStatusInWeather		bounsweet		slip		
	081: DeepBreatherPlus		braixen		snatch		
	082: WeaknessReduce		brambleghast		stat_charged		
	083: Gratitude		bramblin		status_protection		
	084: HitAndRun		braviary		stockpile		
	085: StatusOnCategoryHit		breloom		super_mobile		
	086: StatusOnCategoryUse		brionne		sure_shot		
	087: MapStatusOnCategoryUse		bronzong		taunted		
	088: DoubleDash		bronzor		telekinesis		
	089: StatusSplash		brute_bonnet		torment		
	090: DevolveOnAttack		bruxish		type_boosted		
	091: ProjectileAttack		budew		type_converted		
	092: MetronomePlus		buizel		type_protected		
	093: AttackRangeInWeather		bulbasaur		water_pledge		
	094: PPSaver		buneary		weakness_drain		
	095: CelebrateCure		bunnelby		whirlpool		
	096: TypeBodyguard		burmy		wide_guard		
	097: StatOnCategoryUse		butterfree		wish		
	098: StatusOnTypeHit		buzzwole		yawning		
	099: SweetDreams		cacnea				
	100: ChanceStatusOnTypeHit		cacturne				
	101: ChanceStatOnTypeHit		calyrex				
	102: ChanceStatusOnCategoryHit		camerupt				
	103: TypeBecomesCategory		capsakid				
	104: WeaknessDodge		carbink				
			carkol				
			carnivine				
			carracosta				
			carvanha				
			cascoon				
			castform				
			caterpie				
			celebi				
			celesteela				
			centiskorch				
			ceruledge				
			cetitan				
			cetoddle				
			chandelure				
			chansey				
			charcadet				
			charizard				
			charjabug				
			charmander				
			charmeleon				
			chatot				
			cherrim				
			cherubi				
			chesnaught				
			chespin				
			chewtle				
			chi_yu				
			chien_pao				
			chikorita				
			chimchar				
			chimecho				
			chinchou				
			chingling				
			cinccino				
			cinderace				
			clamperl				
			clauncher				
			clawitzer				
			claydol				
			clefable				
			clefairy				
			cleffa				
			clobbopus				
			clodsire				
			cloyster				
			coalossal				
			cobalion				
			cofagrigus				
			combee				
			combusken				
			comfey				
			conkeldurr				
			copperajah				
			corphish				
			corsola				
			corviknight				
			corvisquire				
			cosmoem				
			cosmog				
			cottonee				
			crabominable				
			crabrawler				
			cradily				
			cramorant				
			cranidos				
			crawdaunt				
			cresselia				
			croagunk				
			crobat				
			crocalor				
			croconaw				
			crustle				
			cryogonal				
			cubchoo				
			cubone				
			cufant				
			cursola				
			cutiefly				
			cyclizar				
			cyndaquil				
			dachsbun				
			darkrai				
			darmanitan				
			dartrix				
			darumaka				
			decidueye				
			dedenne				
			deerling				
			deino				
			delcatty				
			delibird				
			delphox				
			deoxys				
			dewgong				
			dewott				
			dewpider				
			dhelmise				
			dialga				
			diancie				
			diggersby				
			diglett				
			ditto				
			dodrio				
			doduo				
			dolliv				
			dondozo				
			donphan				
			dottler				
			doublade				
			dracovish				
			dracozolt				
			dragalge				
			dragapult				
			dragonair				
			dragonite				
			drakloak				
			drampa				
			drapion				
			dratini				
			drednaw				
			dreepy				
			drifblim				
			drifloon				
			drilbur				
			drizzile				
			drowzee				
			druddigon				
			dubwool				
			ducklett				
			dudunsparce				
			dugtrio				
			dunsparce				
			duosion				
			duraludon				
			durant				
			dusclops				
			dusknoir				
			duskull				
			dustox				
			dwebble				
			eelektrik				
			eelektross				
			eevee				
			eiscue				
			ekans				
			eldegoss				
			electabuzz				
			electivire				
			electrike				
			electrode				
			elekid				
			elgyem				
			emboar				
			emolga				
			empoleon				
			enamorus				
			entei				
			escavalier				
			espathra				
			espeon				
			espurr				
			eternatus				
			excadrill				
			exeggcute				
			exeggutor				
			exploud				
			falinks				
			farfetchd				
			farigiraf				
			fearow				
			feebas				
			fennekin				
			feraligatr				
			ferroseed				
			ferrothorn				
			fidough				
			finizen				
			finneon				
			flaaffy				
			flabebe				
			flamigo				
			flapple				
			flareon				
			fletchinder				
			fletchling				
			flittle				
			floatzel				
			floette				
			floragato				
			florges				
			flutter_mane				
			flygon				
			fomantis				
			foongus				
			forretress				
			fraxure				
			frigibax				
			frillish				
			froakie				
			frogadier				
			froslass				
			frosmoth				
			fuecoco				
			furfrou				
			furret				
			gabite				
			gallade				
			galvantula				
			garbodor				
			garchomp				
			gardevoir				
			garganacl				
			gastly				
			gastrodon				
			genesect				
			gengar				
			geodude				
			gholdengo				
			gible				
			gigalith				
			gimmighoul				
			girafarig				
			giratina				
			glaceon				
			glalie				
			glameow				
			glastrier				
			gligar				
			glimmet				
			glimmora				
			gliscor				
			gloom				
			gogoat				
			golbat				
			goldeen				
			golduck				
			golem				
			golett				
			golisopod				
			golurk				
			goodra				
			goomy				
			gorebyss				
			gossifleur				
			gothita				
			gothitelle				
			gothorita				
			gourgeist				
			grafaiai				
			granbull				
			grapploct				
			graveler				
			great_tusk				
			greavard				
			greedent				
			greninja				
			grimer				
			grimmsnarl				
			grookey				
			grotle				
			groudon				
			grovyle				
			growlithe				
			grubbin				
			grumpig				
			gulpin				
			gumshoos				
			gurdurr				
			guzzlord				
			gyarados				
			hakamo_o				
			happiny				
			hariyama				
			hatenna				
			hatterene				
			hattrem				
			haunter				
			hawlucha				
			haxorus				
			heatmor				
			heatran				
			heliolisk				
			helioptile				
			heracross				
			herdier				
			hippopotas				
			hippowdon				
			hitmonchan				
			hitmonlee				
			hitmontop				
			ho_oh				
			honchkrow				
			honedge				
			hoopa				
			hoothoot				
			hoppip				
			horsea				
			houndoom				
			houndour				
			houndstone				
			huntail				
			hydreigon				
			hypno				
			igglybuff				
			illumise				
			impidimp				
			incineroar				
			indeedee				
			infernape				
			inkay				
			inteleon				
			iron_bundle				
			iron_hands				
			iron_jugulis				
			iron_leaves				
			iron_moth				
			iron_thorns				
			iron_treads				
			iron_valiant				
			ivysaur				
			jangmo_o				
			jellicent				
			jigglypuff				
			jirachi				
			jolteon				
			joltik				
			jumpluff				
			jynx				
			kabuto				
			kabutops				
			kadabra				
			kakuna				
			kangaskhan				
			karrablast				
			kartana				
			kecleon				
			keldeo				
			kilowattrel				
			kingambit				
			kingdra				
			kingler				
			kirlia				
			klang				
			klawf				
			kleavor				
			klefki				
			klink				
			klinklang				
			koffing				
			komala				
			kommo_o				
			koraidon				
			krabby				
			kricketot				
			kricketune				
			krokorok				
			krookodile				
			kubfu				
			kyogre				
			kyurem				
			lairon				
			lampent				
			landorus				
			lanturn				
			lapras				
			larvesta				
			larvitar				
			latias				
			latios				
			leafeon				
			leavanny				
			lechonk				
			ledian				
			ledyba				
			lickilicky				
			lickitung				
			liepard				
			lileep				
			lilligant				
			lillipup				
			linoone				
			litleo				
			litten				
			litwick				
			lokix				
			lombre				
			lopunny				
			lotad				
			loudred				
			lucario				
			ludicolo				
			lugia				
			lumineon				
			lunala				
			lunatone				
			lurantis				
			luvdisc				
			luxio				
			luxray				
			lycanroc				
			mabosstiff				
			machamp				
			machoke				
			machop				
			magby				
			magcargo				
			magearna				
			magikarp				
			magmar				
			magmortar				
			magnemite				
			magneton				
			magnezone				
			makuhita				
			malamar				
			mamoswine				
			manaphy				
			mandibuzz				
			manectric				
			mankey				
			mantine				
			mantyke				
			maractus				
			mareanie				
			mareep				
			marill				
			marowak				
			marshadow				
			marshtomp				
			maschiff				
			masquerain				
			maushold				
			mawile				
			medicham				
			meditite				
			meganium				
			melmetal				
			meloetta				
			meltan				
			meowscarada				
			meowstic				
			meowth				
			mesprit				
			metagross				
			metang				
			metapod				
			mew				
			mewtwo				
			mienfoo				
			mienshao				
			mightyena				
			milcery				
			milotic				
			miltank				
			mime_jr				
			mimikyu				
			minccino				
			minior				
			minun				
			miraidon				
			misdreavus				
			mismagius				
			missingno				
			moltres				
			monferno				
			morelull				
			morgrem				
			morpeko				
			mothim				
			mr_mime				
			mr_rime				
			mudbray				
			mudkip				
			mudsdale				
			muk				
			munchlax				
			munna				
			murkrow				
			musharna				
			nacli				
			naclstack				
			naganadel				
			natu				
			necrozma				
			nickit				
			nidoking				
			nidoqueen				
			nidoran_f				
			nidoran_m				
			nidorina				
			nidorino				
			nihilego				
			nincada				
			ninetales				
			ninjask				
			noctowl				
			noibat				
			noivern				
			nosepass				
			numel				
			nuzleaf				
			nymble				
			obstagoon				
			octillery				
			oddish				
			oinkologne				
			omanyte				
			omastar				
			onix				
			oranguru				
			orbeetle				
			oricorio				
			orthworm				
			oshawott				
			overqwil				
			pachirisu				
			palafin				
			palkia				
			palossand				
			palpitoad				
			pancham				
			pangoro				
			panpour				
			pansage				
			pansear				
			paras				
			parasect				
			passimian				
			patrat				
			pawmi				
			pawmo				
			pawmot				
			pawniard				
			pelipper				
			perrserker				
			persian				
			petilil				
			phanpy				
			phantump				
			pheromosa				
			phione				
			pichu				
			pidgeot				
			pidgeotto				
			pidgey				
			pidove				
			pignite				
			pikachu				
			pikipek				
			piloswine				
			pincurchin				
			pineco				
			pinsir				
			piplup				
			plusle				
			poipole				
			politoed				
			poliwag				
			poliwhirl				
			poliwrath				
			polteageist				
			ponyta				
			poochyena				
			popplio				
			porygon				
			porygon_z				
			porygon2				
			primarina				
			primeape				
			prinplup				
			probopass				
			psyduck				
			pumpkaboo				
			pupitar				
			purrloin				
			purugly				
			pyroar				
			pyukumuku				
			quagsire				
			quaquaval				
			quaxly				
			quaxwell				
			quilava				
			quilladin				
			qwilfish				
			raboot				
			rabsca				
			raichu				
			raikou				
			ralts				
			rampardos				
			rapidash				
			raticate				
			rattata				
			rayquaza				
			regice				
			regidrago				
			regieleki				
			regigigas				
			regirock				
			registeel				
			relicanth				
			rellor				
			remoraid				
			reshiram				
			reuniclus				
			revavroom				
			rhydon				
			rhyhorn				
			rhyperior				
			ribombee				
			rillaboom				
			riolu				
			roaring_moon				
			rockruff				
			roggenrola				
			rolycoly				
			rookidee				
			roselia				
			roserade				
			rotom				
			rowlet				
			rufflet				
			runerigus				
			sableye				
			salamence				
			salandit				
			salazzle				
			samurott				
			sandaconda				
			sandile				
			sandshrew				
			sandslash				
			sandy_shocks				
			sandygast				
			sawk				
			sawsbuck				
			scatterbug				
			sceptile				
			scizor				
			scolipede				
			scorbunny				
			scovillain				
			scrafty				
			scraggy				
			scream_tail				
			scyther				
			seadra				
			seaking				
			sealeo				
			seedot				
			seel				
			seismitoad				
			sentret				
			serperior				
			servine				
			seviper				
			sewaddle				
			sharpedo				
			shaymin				
			shedinja				
			shelgon				
			shellder				
			shellos				
			shelmet				
			shieldon				
			shiftry				
			shiinotic				
			shinx				
			shroodle				
			shroomish				
			shuckle				
			shuppet				
			sigilyph				
			silcoon				
			silicobra				
			silvally				
			simipour				
			simisage				
			simisear				
			sinistea				
			sirfetchd				
			sizzlipede				
			skarmory				
			skeledirge				
			skiddo				
			skiploom				
			skitty				
			skorupi				
			skrelp				
			skuntank				
			skwovet				
			slaking				
			slakoth				
			sliggoo				
			slither_wing				
			slowbro				
			slowking				
			slowpoke				
			slugma				
			slurpuff				
			smeargle				
			smoliv				
			smoochum				
			sneasel				
			sneasler				
			snivy				
			snom				
			snorlax				
			snorunt				
			snover				
			snubbull				
			sobble				
			solgaleo				
			solosis				
			solrock				
			spearow				
			spectrier				
			spewpa				
			spheal				
			spidops				
			spinarak				
			spinda				
			spiritomb				
			spoink				
			sprigatito				
			spritzee				
			squawkabilly				
			squirtle				
			stakataka				
			stantler				
			staraptor				
			staravia				
			starly				
			starmie				
			staryu				
			steelix				
			steenee				
			stonjourner				
			stoutland				
			stufful				
			stunfisk				
			stunky				
			sudowoodo				
			suicune				
			sunflora				
			sunkern				
			surskit				
			swablu				
			swadloon				
			swalot				
			swampert				
			swanna				
			swellow				
			swinub				
			swirlix				
			swoobat				
			sylveon				
			tadbulb				
			taillow				
			talonflame				
			tandemaus				
			tangela				
			tangrowth				
			tapu_bulu				
			tapu_fini				
			tapu_koko				
			tapu_lele				
			tarountula				
			tatsugiri				
			tauros				
			teddiursa				
			tentacool				
			tentacruel				
			tepig				
			terrakion				
			thievul				
			throh				
			thundurus				
			thwackey				
			timburr				
			ting_lu				
			tinkatink				
			tinkaton				
			tinkatuff				
			tirtouga				
			toedscool				
			toedscruel				
			togedemaru				
			togekiss				
			togepi				
			togetic				
			torchic				
			torkoal				
			tornadus				
			torracat				
			torterra				
			totodile				
			toucannon				
			toxapex				
			toxel				
			toxicroak				
			toxtricity				
			tranquill				
			trapinch				
			treecko				
			trevenant				
			tropius				
			trubbish				
			trumbeak				
			tsareena				
			turtonator				
			turtwig				
			tympole				
			tynamo				
			type_null				
			typhlosion				
			tyranitar				
			tyrantrum				
			tyrogue				
			tyrunt				
			umbreon				
			unfezant				
			unown				
			ursaluna				
			ursaring				
			urshifu				
			uxie				
			vanillish				
			vanillite				
			vanilluxe				
			vaporeon				
			varoom				
			veluza				
			venipede				
			venomoth				
			venonat				
			venusaur				
			vespiquen				
			vibrava				
			victini				
			victreebel				
			vigoroth				
			vikavolt				
			vileplume				
			virizion				
			vivillon				
			volbeat				
			volcanion				
			volcarona				
			voltorb				
			vullaby				
			vulpix				
			wailmer				
			wailord				
			walking_wake				
			walrein				
			wartortle				
			watchog				
			wattrel				
			weavile				
			weedle				
			weepinbell				
			weezing				
			whimsicott				
			whirlipede				
			whiscash				
			whismur				
			wigglytuff				
			wiglett				
			wimpod				
			wingull				
			wishiwashi				
			wo_chien				
			wobbuffet				
			woobat				
			wooloo				
			wooper				
			wormadam				
			wugtrio				
			wurmple				
			wynaut				
			wyrdeer				
			xatu				
			xerneas				
			xurkitree				
			yamask				
			yamper				
			yanma				
			yanmega				
			yungoos				
			yveltal				
			zacian				
			zamazenta				
			zangoose				
			zapdos				
			zarude				
			zebstrika				
			zekrom				
			zeraora				
			zigzagoon				
			zoroark				
			zorua				
			zubat				
			zweilous				
			zygarde				
							
