Generic Name	Custom Name	User	ON	Evos	Custom Group	Group Name	Name	Item For	Index	Trade	Rarity	Effect	Element	Status	Stat	Target Element	Category	Quantity	Map Status	FamilyOn
2* Crest		weedle	True	True					E	*	3*	079: SpikeDropper					002: Magical			True
0* None		kakuna	False	True					F	*	3*	000: None								True
3* Torc		pidgeot	True	True					A	*	5*	082: WeaknessReduce	ice							True
3* Scarf		pidgeotto	True	True					B	*	4*	071: WeatherProtection								True
1* Card		pidgey	True	True					C	*	1*	053: ClutchPerformer								True
1* Branch		pidgey	True	True					D	*	2*	015: PracticeSwinger								True
2* Charm		pidgey	True	True					E	*	3*	032: StairSensor								True
0* None		pidgeotto	False	True					F	*	3*	000: None								True
0* None	Overcome Bow	raticate	True	True					A	*	5*	072: RemoveAbilityAttack								True
3* Scarf		raticate	True	True					B	*	4*	071: WeatherProtection								True
1* Hair		rattata	True	True					C	*	1*	084: HitAndRun								True
1* Tooth		rattata	True	True					D	*	2*	013: PPBoost						2		True
2* Key		rattata	True	True					E	*	3*	038: LungeAttack								True
0* None		raticate	False	True					F	*	3*	000: None								True
0* None	Wing Scarf	fearow	True	True					A	*	5*	067: SecondSTAB	ground							True
3* Collar		fearow	True	True					B	*	4*	005: SuperCrit								True
1* Branch		spearow	True	True					C	*	1*	053: ClutchPerformer								True
1* Card		spearow	True	True					D	*	2*	029: StatDropImmune			001: Attack					True
0* None		spearow	True	True					E	*	3*	000: None								True
0* None		fearow	False	True					F	*	3*	000: None								True
0* None	Shock Ruff	arbok	True	True					A	*	5*	085: StatusOnCategoryHit		immobilized			001: Physical			True
3* Belt		arbok	True	True					B	*	4*	058: StatusMirror								True
1* Fang		ekans	True	True					C	*	1*	053: ClutchPerformer								True
1* Card		ekans	True	True					D	*	2*	051: BarrageGuard								True
2* Crest		ekans	True	True					E	*	3*	069: GapProber								True
0* None		arbok	False	True					F	*	3*	000: None								True
0* None	Zapper Scarf	raichu	True	True					A	*	5*	034: MapSurveyor								True
0* None	Volt Torc	pikachu	True	True					B	*	4*	073: CheekPouch								True
1* Hair		pichu	True	True					C	*	1*	013: PPBoost						2		True
1* Card		pichu	True	True					D	*	2*	094: PPSaver								True
0* None	Express Tag	pichu	True	True					E	*	3*	088: DoubleDash								True
0* None	Volt Charm	pikachu	False	True					F	*	3*	000: None								True
0* None	Sandy Torc	sandslash	True	True					A	*	5*	078: EndureType	water							True
3* Scarf		sandslash	True	True					B	*	4*	079: SpikeDropper					001: Physical			True
1* Claw		sandshrew	True	True					C	*	1*	051: BarrageGuard								True
1* Mud		sandshrew	True	True					D	*	2*	019: MasterHurler								True
0* None		sandshrew	True	True					E	*	3*	000: None								True
0* None		sandslash	False	True					F	*	3*	000: None								True
0* None	Impact Torc	nidoqueen	True	False	nidoran_f, nidorina, nidoqueen	nidoran			A	EF	5*	013: PPBoost						5		True
0* None	Nido-Crest	nidorino	True	True	nidorino, nidorina	nidoran			B	CD	3*	017: CounterBasher								True
0* None	Nido-Claw	nidoran_f	True	True	nidoran_f, nidoran_m	nidoran			C		1*	015: PracticeSwinger								True
0* None	Nido-Thorn	nidoran_m	True	True	nidoran_f, nidoran_m	nidoran			D		2*	019: MasterHurler								True
0* None	Nido-Seal	nidorina	True	True	nidorino, nidorina	nidoran			E	CD	3*	048: Absorption								True
0* None	Thorny Scarf	nidoqueen	True	True	nidoqueen, nidoking	nidoran			F		4*	049: ExcessiveForce								True
0* None	King Sash	nidoking	True	False	nidoran_m, nidorino, nidoking	nidoran			G	BF	5*	095: CelebrateCure								True
0* None	Fairy Bow	clefable	True	True					A	*	5*	092: MetronomePlus								True
0* None	Moon Scarf	clefairy	True	True					B	*	4*	067: SecondSTAB	normal							True
1* Dew		cleffa	True	True					C	*	1*	062: FastFriend								True
1* Card		cleffa	True	True					D	*	2*	053: ClutchPerformer								True
0* None	Starry Ore	cleffa	True	True					E	*	3*	043: WandMaster								True
2* Jewel		clefairy	False	True					F	*	3*	065: ChestFinder								True
0* None	Afire Collar	ninetales	True	True					A	*	5*	086: StatusOnCategoryUse		light_screen			003: Status			True
3* Veil		ninetales	True	True					B	*	4*	058: StatusMirror								True
1* Card		vulpix	True	True					C	*	1*	030: SleepWalker								True
1* Tail		vulpix	True	True					D	*	2*	084: HitAndRun								True
2* Tag		vulpix	True	True					E	*	3*	069: GapProber								True
2* Seal		ninetales	False	True					F	*	3*	000: None								True
0* None	Friend Torc	wigglytuff	True	True					A	*	5*	078: EndureType	steel							True
0* None	Snooze Ring	jigglypuff	True	True					B	*	4*	023: StatusOnAttack		sleep						True
1* Song		igglybuff	True	True					C	*	1*	062: FastFriend								True
1* Dew		igglybuff	True	True					D	*	2*	030: SleepWalker								True
0* None	Bouncy Charm	igglybuff	True	True					E	*	3*	007: Nontraitor								True
0* None	Slumber Rock	jigglypuff	False	True					F	*	3*	064: HiddenStairFinder								True
0* None	Slash Bow	crobat	True	True					A	*	5*	034: MapSurveyor								True
0* None	Absorb Scarf	golbat	True	True					B	*	4*	048: Absorption								True
1* Fang		zubat	True	True					C	*	1*	053: ClutchPerformer								True
1* Card		zubat	True	True					D	*	2*	018: DoubleAttacker								True	
2* Crest		zubat	True	True					E	*	3*	055: CloseDodge								True
2* Brooch		golbat	False	True					F	*	3*	000: None								True
0* None	Bright Tiara	bellossom	True	True					A	@	5*	080: NoStatusInWeather							sunny	True
0* None	Aroma Scarf	vileplume	True	True					B	@	5*	082: WeaknessReduce	flying							True
1* Dew		oddish	True	True					C	@	1*	014: DeepBreather								True
1* Leaf		oddish	True	True					D	@	1*	052: BetterOdds								True												
2* Crest		gloom	True	True					E	@	3*	069: GapProber								True
2* Earring		gloom	False	True					F	@	3*	000: None								True
0* None	Firm Hat	parasect	True	True					A	*	5*	080: NoStatusInWeather							rain	True
3* Scarf		parasect	True	True					B	*	4*	010: AllTerrain								True
1* Card		paras	True	True					C	*	1*	006: NVECrit								True
1* Claw		paras	True	True					D	*	2*	013: PPBoost						2		True
0* None		paras	True	True					E	*	3*	000: None								True
0* None		parasect	False	True					F	*	3*	000: None								True
0* None	Gaze Goggles	venomoth	True	True					A	*	5*	035: XRay								True
3* Bow		venomoth	True	True					B	*	4*	010: AllTerrain								True
1* Hair		venonat	True	True					C	*	1*	018: DoubleAttacker								True
1* Card		venonat	True	True					D	*	2*	006: NVECrit								True
2* Dust		venonat	True	True					E	*	3*	022: PressurePlus								True
0* None		venomoth	False	True					F	*	3*	000: None								True
3* Bow		dugtrio	True	True					A	*	5*	093: AttackRangeInWeather							sandstorm	True
3* Hat		dugtrio	True	True					B	*	4*	068: TypedAttack								True
1* Mud		diglett	True	True					C	*	1*	094: PPSaver								True
1* Claw		diglett	True	True					D	*	2*	033: AcuteSniffer								True
2* Ore		diglett	True	True					E	*	3*	000: None								True
2* Pebble		dugtrio	False	True					F	*	3*	000: None								True
0* None	Noble Scarf	persian	True	True					A	*	5*	086: StatusOnCategoryUse		focus_energy			001: Physical			True
3* Ruff		persian	True	True					B	*	4*	055: CloseDodge								True
1* Claw		meowth	True	True					C	*	1*	033: AcuteSniffer								True
1* Fang		meowth	True	True					D	*	2*	084: HitAndRun								True
0* None	Coin Charm	meowth	True	True					E	*	3*	063: CoinWatcher								True
0* None	Insight Rock	persian	False	True					F	*	3*	064: HiddenStairFinder								True
0* None	Paddle Scarf	golduck	True	True					A	*	5*	037: WarpPayback	electric							True
3* Hat		golduck	True	True					B	*	4*	057: SelfCurer								True
1* Card		psyduck	True	True					C	*	1*	053: ClutchPerformer								True
1* Hair		psyduck	True	True					D	*	2*	028: StatusImmune		paralyze						True
0* None		psyduck	True	True					E	*	3*	000: None								True
0* None		golduck	False	True					F	*	3*	000: None								True
0* None	Nullify Belt	primeape	True	True					A	*	5*	072: RemoveAbilityAttack								True
3* Armlet		primeape	True	True					B	*	4*	028: StatusImmune		burn						True
1* Hair		mankey	True	True					C	*	1*	059: StatMirror								True
1* Card		mankey	True	True					D	*	2*	028: StatusImmune		flinch						True
0* None		mankey	True	True					E	*	3*	000: None								True
0* None		primeape	False	True					F	*	3*	000: None								True
0* None	Legend Bow	arcanine	True	True					A	*	5*	082: WeaknessReduce	electric							True
2* Brooch		arcanine	True	True					B	*	4*	041: TrapBuster								True
1* Hair		growlithe	True	True					C	*	1*	033: AcuteSniffer								True
1* Claw		growlithe	True	True					D	*	2*	029: StatDropImmune			004: MDef					True
2* Ring		growlithe	True	True					E	*	3*	042: ExplosionGuard								True
2* Seal		arcanine	False	True					F	*	3*	000: None								True
0* None	Rain Crown	politoed	True	True					A	@	5*	036: WeaknessPayback	electric	sleep						True
0* None	Bold Belt	poliwrath	True	True					B	@	5*	036: WeaknessPayback	flying	confuse						True
1* Card		poliwag	True	True					C	@	1*	013: PPBoost						2		True
1* Foam		poliwag	True	True					D	@	1*	052: BetterOdds								True
2* Ring		poliwhirl	True	True					E	@	3*	069: GapProber								True
2* Seal		poliwhirl	False	True					F	@	3*	000: None								True
0* None	Sparkle Ruff	alakazam	True	True					A	*	5*	004: TypeBulldozer	psychic			dark				True
3* Torc		kadabra	True	True					B	*	4*	044: WandSpread								True
1* Card		abra	True	True					C	*	1*	013: PPBoost						2		True
1* Beam		abra	True	True					D	*	2*	027: SpecialAttacker								True
2* Seal		abra	True	True					E	*	3*	010: AllTerrain								True
0* None		kadabra	False	True					F	*	3*	000: None								True
3* Belt		machamp	True	True					A	*	5*	078: EndureType	psychic							True
3* Mask		machoke	True	True					B	*	4*	025: ThrowOnAttack								True
1* Twig		machop	True	True					C	*	1*	053: ClutchPerformer								True
1* Card		machop	True	True					D	*	2*	019: MasterHurler								True
0* None		machop	True	True					E	*	3*	000: None								True
0* None		machoke	False	True					F	*	3*	000: None								True	
3* Torc		victreebel	True	True					A	*	5*	036: WeaknessPayback	flying	immobilized						True	
0* None	Digest Scarf	weepinbell	True	True					B	*	4*	010: AllTerrain								True	
1* Leaf		bellsprout	True	True					C	*	1*	006: NVECrit								True
1* Branch		bellsprout	True	True					D	*	2*	014: DeepBreather								True
2* Charm		bellsprout	True	True					E	*	3*	073: CheekPouch								True
0* None		weepinbell	False	True					F	*	3*	000: None								True												
3* Cape		tentacruel	True	True					A	*	5*	037: WarpPayback	ground							True												
3* Veil		tentacruel	True	True					B	*	4*	028: StatusImmune		paralyze						True												
1* Foam		tentacool	True	True					C	*	1*	050: Anchor								True
1* Card		tentacool	True	True					D	*	2*	023: StatusOnAttack		poison						True
2* Jewel		tentacool	True	True					E	*	3*	000: None								True
0* None		tentacruel	False	True					F	*	3*	000: None								True	
0* None	Rugged Sash	golem	True	True					A	*	5*	080: NoStatusInWeather							sandstorm	True	
3* Drill		graveler	True	True					B	*	4*	011: Wallbreaker								True	
1* Card		geodude	True	True					C	*	1*	015: PracticeSwinger								True
1* Mud		geodude	True	True					D	*	2*	050: Anchor								True	
2* Ore		geodude	True	True					E	*	3*	010: AllTerrain								True	
2* Ore		graveler	False	True					F	*	3*	042: ExplosionGuard								True												
0* None	Sunlight Bow	rapidash	True	True					A	*	5*	007: Nontraitor								True												
3* Scarf		rapidash	True	True					B	*	4*	054: DistanceDodge								True												
1* Hair		ponyta	True	True					C	*	1*	053: ClutchPerformer								True	
1* Card		ponyta	True	True					D	*	2*	018: DoubleAttacker								True												
0* None		ponyta	True	True					E	*	3*	000: None								True												
0* None		rapidash	False	True					F	*	3*	000: None								True	
0* None	King Cap	slowking	True	True					A	@	5*	087: MapStatusOnCategoryUse					003: Status		rain	True												
3* Scarf		slowbro	True	True					B	@	5*	007: Nontraitor								True												
1* Drool		slowpoke	True	True					C	@	1*	014: DeepBreather								True												
1* Fang		slowpoke	True	True					D	@	2*	016: MisfortuneMirror								True												
2* Crest		slowpoke	True	True					E	@	3*	042: ExplosionGuard								True												
2* Charm		slowpoke	False	True					F	@	3*	000: None								True												
0* None	Builder Sash	magnezone	True	True					A	*	5*	034: MapSurveyor								True												
3* Specs		magneton	True	True					B	*	4*	010: AllTerrain								True
1* Beam		magnemite	True	True					C	*	1*	061: ErraticDefender								True												
1* Card		magnemite	True	True					D	*	2*	027: SpecialAttacker								True												
0* None		magnemite	True	True					E	*	3*	000: None								True												
0* None		magneton	False	True					F	*	3*	000: None								True
0* None	Bullseye Bow	sirfetchd	True	True					A	*	5*	093: AttackRangeInWeather							clear	True
3* Poncho		sirfetchd	True	True					B	*	4*	041: TrapBuster								True
1* Card		farfetchd	True	True					C	*	1*	084: HitAndRun								True
2* Charm		farfetchd	True	True					D	*	2*	018: DoubleAttacker								True
2* Medal		farfetchd	True	True					E	*	3*	069: GapProber								True
2* Crest		sirfetchd	False	True					F	*	3*	000: None								True
0* None	Fight Torc	dodrio	True	True					A	*	5*	086: StatusOnCategoryUse		focus_energy			003: Status			True
3* Hat		dodrio	True	True					B	*	4*	047: Celebrate								True
1* Claw		doduo	True	True					C	*	1*	018: DoubleAttacker								True
1* Card		doduo	True	True					D	*	2*	088: DoubleDash								True
2* Crest		doduo	True	True					E	*	3*	069: GapProber								True
2* Seal		dodrio	False	True					F	*	3*	005: SuperCrit								True
0* None	North Torc	dewgong	True	True					A	*	5*	036: WeaknessPayback	rock	freeze						True
3* Float		dewgong	True	True					B	*	4*	054: DistanceDodge								True
1* Dew		seel	True	True					C	*	1*	014: DeepBreather								True
1* Fang		seel	True	True					D	*	2*	051: BarrageGuard								True
0* None		seel	True	True					E	*	3*	000: None								True
0* None		dewgong	False	True					F	*	3*	000: None								True
0* None	Slimy Bow	muk	True	True					A	*	5*	037: WarpPayback	ground							True
3* Scarf		muk	True	True					B	*	4*	068: TypedAttack								True
1* Card		grimer	True	True					C	*	1*	084: HitAndRun								True
1* Mud		grimer	True	True					D	*	2*	008: WaterTerrain								True
2* Jewel		grimer	True	True					E	*	3*	069: GapProber								True
0* None		muk	False	True					F	*	3*	000: None								True
0* None	Cover Armor	cloyster	True	True					A	*	5*	082: WeaknessReduce	normal							True
3* Band		cloyster	True	True					B	*	4*	041: TrapBuster								True
1* Drool		shellder	True	True					C	*	1*	083: Gratitude								True
1* Card		shellder	True	True					D	*	2*	050: Anchor								True
0* None		shellder	True	True					E	*	3*	000: None								True
0* None		cloyster	False	True					F	*	3*	000: None								True
0* None	Sunglasses	gengar	True	True					A	*	5*	086: StatusOnCategoryUse		invisible			003: Status			True
0* None	Slip Scarf	haunter	True	True					B	*	4*	068: TypedAttack								True
1* Fang		gastly	True	True					C	*	1*	084: HitAndRun								True
1* Drool		gastly	True	True					D	*	2*	033: AcuteSniffer								True
0* None		gastly	True	True					E	*	3*	000: None								True
0* None		haunter	False	True					F	*	3*	000: None								True
0* None	Quartz Torc	steelix	True	True					A	*	5*	041: TrapBuster								True
2* Brooch		steelix	True	True					B	*	4*	010: AllTerrain								True
1* Mud		onix	True	True					C	*	1*	061: ErraticDefender								True
1* Card		onix	True	True					D	*	2*	033: AcuteSniffer								True
2* Shard		onix	True	True					E	*	3*	028: StatusImmune		burn						True
0* None		steelix	False	True					F	*	3*	000: None								True
0* None	Dream Coin	hypno	True	True					A	*	5*	036: WeaknessPayback	normal	sleep						True
3* Tie		hypno	True	True					B	*	4*	091: ProjectileAttack								True
1* Gasp		drowzee	True	True					C	*	1*	084: HitAndRun								True
1* Beam		drowzee	True	True					D	*	2*	059: StatMirror								True
0* None		drowzee	True	True					E	*	3*	000: None								True
0* None		hypno	False	True					F	*	3*	000: None								True
0* None	Super Sash	kingler	True	True					A	*	5*	056: FastHealer								True
3* Bow		kingler	True	True					B	*	4*	049: ExcessiveForce								True
1* Foam		krabby	True	True					C	*	1*	014: DeepBreather								True
1* Card		krabby	True	True					D	*	2*	029: StatDropImmune			002: Defense					True
2* Charm		krabby	True	True					E	*	3*	048: Absorption								True
0* None		kingler	False	True					F	*	3*	000: None								True
3* Bow		electrode	True	True					A	*	5*	040: ExplosiveAttack								True
3* Scarf		electrode	True	True					B	*	4*	049: ExcessiveForce								True
1* Beam		voltorb	True	True					C	*	1*	023: StatusOnAttack		paralyze						True
1* Card		voltorb	True	True					D	*	2*	019: MasterHurler								True
2* Tag		voltorb	True	True					E	*	3*	069: GapProber								True
0* None		electrode	False	True					F	*	3*	000: None								True
3* Hat		exeggutor	True	True					A	*	5*	087: MapStatusOnCategoryUse					003: Status		wonder_room	True
3* Sash		exeggutor	True	True					B	*	4*	049: ExcessiveForce								True
1* Beam		exeggcute	True	True					C	*	1*	014: DeepBreather								True
1* Card		exeggcute	True	True					D	*	2*	051: BarrageGuard								True
0* None		exeggcute	True	True					E	*	3*	000: None								True
0* None		exeggutor	False	True					F	*	3*	000: None								True
3* Torc		marowak	True	True					A	*	5*	036: WeaknessPayback	water	blinker						True
3* Armor		marowak	True	True					B	*	4*	048: Absorption								True
1* Claw		cubone	True	True					C	*	1*	013: PPBoost						2		True
1* Mud		cubone	True	True					D	*	2*	019: MasterHurler								True
0* None		cubone	True	True					E	*	3*	000: None								True
0* None		marowak	False	True					F	*	3*	000: None								True
0* None	Victory Ruff	hitmontop	True	False		tyrogue			A	BG	5*	004: TypeBulldozer	fighting			ghost				True
2* Charm		hitmontop	True	False	tyrogue, hitmontop	tyrogue			B	HI	4*	005: SuperCrit								True
0* None	Victory Belt	hitmonchan	True	False		tyrogue			C	DG	5*	095: CelebrateCure								True
2* Guard		hitmonchan	True	False	tyrogue, hitmonchan	tyrogue			D	HI	4*	048: Absorption								True
0* None	Victory Bangle	hitmonlee	True	False		tyrogue			E	FG	5*	047: Celebrate								True
2* Ring		hitmonlee	True	False	tyrogue, hitmonlee	tyrogue			F	HI	4*	041: TrapBuster								True
0* None	Muscle Charm	tyrogue	True	True		tyrogue			G		3*	089: StatusSplash								True
1* Sweat		tyrogue	True	True		tyrogue			H		1*	006: NVECrit								True
1* Card		tyrogue	True	True		tyrogue			I		2*	053: ClutchPerformer								True
0* None	Flabby Belt	lickilicky	True	True					A	*	5*	073: CheekPouch								True
3* Scarf		lickilicky	True	True					B	*	4*	045: MultiRayShot								True
1* Drool		lickitung	True	True					C	*	1*	016: MisfortuneMirror								True
1* Card		lickitung	True	True					D	*	2*	023: StatusOnAttack		paralyze						True
0* None		lickitung	True	True					E	*	3*	000: None								True
0* None		lickilicky	False	True					F	*	3*	000: None								True
3* Scarf		weezing	True	True					A	*	5*	086: StatusOnCategoryUse		mist			003: Status			True
3* Hat		weezing	True	True					B	*	4*	042: ExplosionGuard								True
1* Gasp		koffing	True	True					C	*	1*	016: MisfortuneMirror								True
1* Card		koffing	True	True					D	*	2*	014: DeepBreather								True
0* None		koffing	True	True					E	*	3*	000: None								True
0* None		weezing	False	True					F	*	3*	000: None								True
3* Armor		rhyperior	True	True					A	*	5*	011: Wallbreaker								True
0* None	Pierce Drill	rhydon	True	True					B	*	4*	041: TrapBuster								True
1* Fang		rhyhorn	True	True					C	*	1*	026: SureHitAttacker								True
1* Horn		rhyhorn	True	True					D	*	2*	009: LavaTerrain								True
2* Crest		rhyhorn	True	True					E	*	3*	017: CounterBasher								True
0* None		rhydon	False	True					F	*	3*	000: None								True
0* None	Faith Ring	blissey	True	True					A	*	5*	082: WeaknessReduce	dragon							True
0* None	Lucky Scarf	chansey	True	True					B	*	4*	044: WandSpread								True
1* Dew		happiny	True	True					C	*	1*	062: FastFriend								True
1* Card		happiny	True	True					D	*	2*	083: Gratitude								True
0* None	Play Tag	happiny	True	True					E	*	3*	069: GapProber								True
2* Charm		chansey	False	True					F	*	3*	064: HiddenStairFinder								True
0* None	Clinging Bow	tangrowth	True	True					A	*	5*	036: WeaknessPayback	bug	immobilized						True
3* Coat		tangrowth	True	True					B	*	4*	056: FastHealer								True
1* Card		tangela	True	True					C	*	1*	051: BarrageGuard								True
1* Shoot		tangela	True	True					D	*	2*	016: MisfortuneMirror								True
0* None		tangela	True	True					E	*	3*	000: None								True
0* None		tangrowth	False	True					F	*	3*	000: None								True
3* Apron		kangaskhan	True	False					A	*	5*	046: RoyalVeil								True
3* Armlet		kangaskhan	True	False					B	*	4*	054: DistanceDodge								True
1* Claw		kangaskhan	True	False					C	*	1*	014: DeepBreather								True
1* Card		kangaskhan	True	False					D	*	2*	083: Gratitude								True
2* Brooch		kangaskhan	True	False					E	*	3*	042: ExplosionGuard								True
2* Seal		kangaskhan	False	False					F	*	3*	000: None								True
0* None	Tornado Bow	kingdra	True	True					A	*	5*	085: StatusOnCategoryHit		whirlpool			003: Status			True
0* None	Swirl Scarf	seadra	True	True					B	*	4*	045: MultiRayShot								True
1* Card		horsea	True	True					C	*	1*	053: ClutchPerformer								True
1* Tail		horsea	True	True					D	*	2*	061: ErraticDefender								True
0* None		horsea	True	True					E	*	3*	000: None								True
0* None		seadra	False	True					F	*	3*	000: None								True
3* Bow		seaking	True	True					A	*	5*	086: StatusOnCategoryUse		aqua_ring			003: Status			True
3* Float		seaking	True	True					B	*	4*	071: WeatherProtection								True
1* Foam		goldeen	True	True					C	*	1*	013: PPBoost						2		True
1* Tail		goldeen	True	True					D	*	2*	023: StatusOnAttack		flinch						True
2* Ring		goldeen	True	True					E	*	3*	069: GapProber								True
0* None		seaking	False	True					F	*	3*	000: None								True
3* Belt		starmie	True	True					A	*	5*	036: WeaknessPayback	electric	confuse						True
3* Bow		starmie	True	True					B	*	4*	044: WandSpread								True
1* Card		staryu	True	True					C	*	1*	060: ErraticAttacker								True
1* Horn		staryu	True	True					D	*	2*	053: ClutchPerformer								True
2* Jewel		staryu	True	True					E	*	3*	069: GapProber								True
0* None		starmie	False	True					F	*	3*	000: None								True
0* None	Barrier Bow	mr_mime	True	True					A	*	5*	082: WeaknessReduce	dark							True
3* Ruff		mr_mime	True	True					B	*	4*	055: CloseDodge								True
0* None	Junior Beam	mime_jr	True	True					C	*	1*	084: HitAndRun								True
0* None	Junior Card	mime_jr	True	True					D	*	2*	043: WandMaster								True
0* None	Mimic Pebble	mime_jr	True	True					E	*	3*	027: SpecialAttacker								True
0* None	Bulwark Rock	mr_mime	False	True					F	*	3*	000: None								True
3* Blade		kleavor	True	True					A	@	5*	036: WeaknessPayback	fire	flinch						True
0* None	Red Armlet	scizor	True	True					B	@	5*	070: PassThroughAttacker								True
1* Fang		scyther	True	True					C	@	1*	084: HitAndRun								True
1* Card		scyther	True	True					D	@	2*	019: MasterHurler								True
0* None	Ambush Rock	scyther	True	True					E	@	3*	038: LungeAttack								True
2* Crest		scyther	False	True					F	@	3*	000: None								True
0* None	Ruin Scarf	jynx	True	True					A	*	5*	037: WarpPayback	normal							True
3* Veil		jynx	True	True					B	*	4*	044: WandSpread								True
1* Song		smoochum	True	True					C	*	1*	051: BarrageGuard								True
1* Card		smoochum	True	True					D	*	2*	023: StatusOnAttack		freeze						True
0* None	Kiss Charm	smoochum	True	True					E	*	3*	032: StairSensor								True
0* None	Frozen Ore	jynx	False	True					F	*	3*	000: None								True
0* None	Voltaic Band	electivire	True	True					A	*	5*	086: StatusOnCategoryUse		electrified			003: Status			True
3* Bangle		electabuzz	True	True					B	*	4*	041: TrapBuster								True
1* Claw		elekid	True	True					C	*	1*	050: Anchor								True
1* Card		elekid	True	True					D	*	2*	053: ClutchPerformer								True
0* None	Jolt Charm	elekid	True	True					E	*	3*	042: ExplosionGuard								True
0* None	Charge Seal	electabuzz	False	True					F	*	3*	000: None								True
3* Torc		magmortar	True	True					A	*	5*	007: Nontraitor								True
3* Scarf		magmar	True	True					B	*	4*	049: ExcessiveForce								True
1* Claw		magby	True	True					C	*	1*	030: SleepWalker								True
1* Card		magby	True	True					D	*	2*	019: MasterHurler								True
0* None	Ember Jewel	magby	True	True					E	*	3*	075: HealInLava								True
0* None	Erupt Ore	magmar	False	True					F	*	3*	000: None								True
3* Sash		pinsir	True	False					A	*	5*	036: WeaknessPayback	fire	flinch						True
3* Band		pinsir	True	False					B	*	4*	049: ExcessiveForce								True
1* Horn		pinsir	True	False					C	*	1*	006: NVECrit								True
1* Card		pinsir	True	False					D	*	2*	053: ClutchPerformer								True
0* None		pinsir	True	False					E	*	3*	000: None								True
0* None		pinsir	False	False					F	*	3*	000: None								True
0* None	Rushing Bow	tauros	True	False		tauros_miltank			A	/	5*	095: CelebrateCure								True
0* None	Milky Scarf	miltank	True	False		tauros_miltank			B	/	5*	037: WarpPayback	fighting							True
1* Tail		tauros	True	False	tauros, miltank	tauros_miltank			C	/	1*	038: LungeAttack								True
1* Card		miltank	True	False	tauros, miltank	tauros_miltank			D	/	1*	015: PracticeSwinger								True
2* Crest		tauros	True	False	tauros, miltank	tauros_miltank			E	/	4*	025: ThrowOnAttack								True
2* Seal		miltank	True	False	tauros, miltank	tauros_miltank			F	/	4*	048: Absorption								True
0* None	Field Crest	tauros	False	False	tauros, miltank	tauros_miltank			G	/	3*	056: FastHealer								True
0* None	Tempest Sash	gyarados	True	True					A	*	5*	067: SecondSTAB	dragon							True
3* Float		gyarados	True	True					B	*	4*	049: ExcessiveForce								True
1* Foam		magikarp	True	True					C	*	1*	026: SureHitAttacker								True
1* Tail		magikarp	True	True					D	*	2*	015: PracticeSwinger								True
0* None		magikarp	True	True					E	*	3*	000: None								True
0* None		gyarados	False	True					F	*	3*	000: None								True
0* None	Mystic Scarf	lapras	True	False					A	*	5*	082: WeaknessReduce	rock							True
3* Tiara		lapras	True	False					B	*	4*	070: PassThroughAttacker								True
1* Song		lapras	True	False					C	*	1*	062: FastFriend								True
1* Card		lapras	True	False					D	*	2*	014: DeepBreather								True
0* None	Wavy Charm	lapras	True	False					E	*	3*	000: None								True
0* None		lapras	False	False					F	*	3*	000: None								True
3* Torc		ditto	True	False					A		3*	013: PPBoost						3		True
3* Mask		ditto	True	False					B		3*	094: PPSaver								True
3* Apron		ditto	True	False					C		3*	068: TypedAttack								True
