F###	Family	###	Species	Form	Name	Unimplemented	Encounter	Sprited	Diff	Certified	ExObtain	NeedsPlace
39	jigglypuff	40	wigglytuff	0	Wigglytuff		guildmaster_trail	True	False	True	False	
39	jigglypuff	174	igglybuff	0	Igglybuff		guildmaster_trail	True	False	True	False	
41	zubat	41	zubat	0	Zubat		sickly_hollow	True	False	True	False	
41	zubat	42	golbat	0	Golbat		copper_quarry sickly_hollow	True	False	True	False	
41	zubat	169	crobat	0	Crobat		EVOLVE	True	False	True	False	
43	oddish	43	oddish	0	Oddish		fertile_valley secret_garden	True	False	True	False	
43	oddish	44	gloom	0	Gloom		moonlit_courtyard secret_garden	True	False	True	False	
43	oddish	45	vileplume	0	Vileplume		secret_garden	True	False	True	False	
43	oddish	182	bellossom	0	Bellossom		faded_trail secret_garden	True	False	True	False	
46	paras	46	paras	0	Paras		guildmaster_trail sleeping_caldera trickster_woods	True	False	True	False	
46	paras	47	parasect	0	Parasect		guildmaster_trail sleeping_caldera	True	False	True	False	
48	venonat	48	venonat	0	Venonat		overgrown_wilds	True	False	True	False	
48	venonat	49	venomoth	0	Venomoth		EVOLVE	True	False	True	False	
50	diglett	50	diglett	0	Diglett		copper_quarry secret_garden	True	False	True	False	
50	diglett	50	diglett	1	Alolan Diglett		sleeping_caldera	True	False	True	False	
50	diglett	51	dugtrio	0	Dugtrio		copper_quarry secret_garden	True	False	True	False	
50	diglett	51	dugtrio	1	Alolan Dugtrio		sleeping_caldera	True	False	True	False	
52	meowth	52	meowth	0	Meowth		depleted_basin guildmaster_trail	True	False	True	False	
52	meowth	52	meowth	1	Alolan Meowth		sleeping_caldera	True	False	True	False	
52	meowth	52	meowth	2	Galarian Meowth			False	False	False	False	
52	meowth	52	meowth	3	Gigantamax Meowth		TEMP	False	False	False	False	
52	meowth	53	persian	0	Persian		guildmaster_trail sickly_hollow veiled_ridge	True	False	True	False	
52	meowth	53	persian	1	Alolan Persian		sleeping_caldera	True	False	True	False	
52	meowth	863	perrserker	0	Perrserker	steely_spirit		False	False	False	False	
54	psyduck	54	psyduck	0	Psyduck		sleeping_caldera	True	True	True	False	
54	psyduck	55	golduck	0	Golduck		sleeping_caldera snowbound_path	True	False	True	False	
56	mankey	56	mankey	0	Mankey		guildmaster_trail secret_garden trickster_woods	True	False	True	False	
56	mankey	57	primeape	0	Primeape		guildmaster_trail secret_garden	True	False	True	False	
56	mankey	979	annihilape	0	Annihilape	stomping_tantrum		True	True	False	False	
58	growlithe	58	growlithe	0	Growlithe		lava_floe_island secret_garden	True	True	True	False	
58	growlithe	58	growlithe	1	Hisuian Growlithe			True	False	True	False	
58	growlithe	59	arcanine	0	Arcanine		secret_garden	True	False	True	False	
58	growlithe	59	arcanine	1	Hisuian Arcanine	raging_fury		True	False	True	False	
60	poliwag	60	poliwag	0	Poliwag		faded_trail secret_garden	True	False	True	False	
60	poliwag	61	poliwhirl	0	Poliwhirl		EVOLVE	True	False	True	False	
60	poliwag	62	poliwrath	0	Poliwrath		secret_garden	True	False	True	False	
60	poliwag	186	politoed	0	Politoed		secret_garden	True	False	True	False	
63	abra	63	abra	0	Abra		secret_garden trickster_woods	True	True	True	False	
63	abra	64	kadabra	0	Kadabra		secret_garden	True	False	True	False	
63	abra	65	alakazam	0	Alakazam		secret_garden	True	False	True	False	
63	abra	65	alakazam	1	Mega Alakazam		TEMP	False	False	False	False	
66	machop	66	machop	0	Machop		lava_floe_island secret_garden	True	False	True	False	
66	machop	67	machoke	0	Machoke		secret_garden	True	False	True	False	
66	machop	68	machamp	0	Machamp		lava_floe_island secret_garden	True	False	True	False	
66	machop	68	machamp	1	Gigantamax Machamp		TEMP	False	False	False	False	
69	bellsprout	69	bellsprout	0	Bellsprout		overgrown_wilds	True	False	True	False	
69	bellsprout	70	weepinbell	0	Weepinbell		overgrown_wilds	True	False	True	False	
69	bellsprout	71	victreebel	0	Victreebel		EVOLVE	True	False	True	False	
72	tentacool	72	tentacool	0	Tentacool		castaway_cave	True	False	True	False	
72	tentacool	73	tentacruel	0	Tentacruel		EVOLVE	True	False	True	False	
74	geodude	74	geodude	0	Geodude		faultline_ridge secret_garden	True	False	True	False	
74	geodude	74	geodude	1	Alolan Geodude		thunderstruck_pass	True	False	True	False	
74	geodude	75	graveler	0	Graveler		secret_garden veiled_ridge	True	True	True	False	
74	geodude	75	graveler	1	Alolan Graveler		EVOLVE	True	False	True	False	
74	geodude	76	golem	0	Golem		secret_garden	True	True	True	False	
74	geodude	76	golem	1	Alolan Golem		EVOLVE	True	False	True	False	
77	ponyta	77	ponyta	0	Ponyta		secret_garden	True	False	True	False	
77	ponyta	77	ponyta	1	Galarian Ponyta			True	False	True	False	
77	ponyta	78	rapidash	0	Rapidash		secret_garden	True	False	True	False	
77	ponyta	78	rapidash	1	Galarian Rapidash			True	False	True	False	
79	slowpoke	79	slowpoke	0	Slowpoke		lava_floe_island secret_garden trickster_woods	True	False	True	False	
79	slowpoke	79	slowpoke	1	Galarian Slowpoke			True	True	False	False	
79	slowpoke	80	slowbro	0	Slowbro		secret_garden snowbound_path	True	False	True	False	
79	slowpoke	80	slowbro	1	Mega Slowbro		TEMP	False	False	False	False	
79	slowpoke	80	slowbro	2	Galarian Slowbro	quick_draw shell_side_arm		False	False	False	False	
79	slowpoke	199	slowking	0	Slowking		EVOLVE	True	False	True	False	
79	slowpoke	199	slowking	1	Galarian Slowking	curious_medicine eerie_spell		False	False	False	False	
81	magnemite	81	magnemite	0	Magnemite		copper_quarry thunderstruck_pass	True	False	True	False	
81	magnemite	82	magneton	0	Magneton		EVOLVE	True	False	True	False	
81	magnemite	462	magnezone	0	Magnezone		EVOLVE	True	False	True	False	
83	farfetchd	83	farfetchd	0	Farfetch'd		flyaway_cliffs secret_garden	True	False	True	False	
83	farfetchd	83	farfetchd	1	Galarian Farfetch’d			True	False	True	False	
83	farfetchd	865	sirfetchd	0	Sirfetch'd	meteor_assault		True	True	True	False	
84	doduo	84	doduo	0	Doduo		fertile_valley	True	False	True	False	
84	doduo	85	dodrio	0	Dodrio		EVOLVE	True	False	True	False	
86	seel	86	seel	0	Seel		castaway_cave	True	False	True	False	
86	seel	87	dewgong	0	Dewgong		EVOLVE	True	False	True	False	
88	grimer	88	grimer	0	Grimer			True	False	True	False	
88	grimer	88	grimer	1	Alolan Grimer		copper_quarry	True	False	True	False	
88	grimer	89	muk	0	Muk			True	False	True	False	
88	grimer	89	muk	1	Alolan Muk		EVOLVE	True	False	True	False	
90	shellder	90	shellder	0	Shellder		guildmaster_trail	True	False	True	False	
90	shellder	91	cloyster	0	Cloyster		guildmaster_trail	True	False	True	False	
92	gastly	92	gastly	0	Gastly		secret_garden	True	False	True	False	
92	gastly	93	haunter	0	Haunter		secret_garden	True	False	True	False	
92	gastly	94	gengar	0	Gengar		secret_garden	True	False	True	False	
92	gastly	94	gengar	1	Mega Gengar		TEMP	False	False	False	False	
92	gastly	94	gengar	2	Gigantamax Gengar		TEMP	False	False	False	False	
95	onix	95	onix	0	Onix		copper_quarry guildmaster_trail	True	False	True	False	
95	onix	208	steelix	0	Steelix		guildmaster_trail	True	False	True	False	
95	onix	208	steelix	1	Mega Steelix		TEMP	True	True	False	False	
96	drowzee	96	drowzee	0	Drowzee		guildmaster_trail moonlit_courtyard	True	False	True	False	
96	drowzee	97	hypno	0	Hypno		guildmaster_trail	True	False	True	False	
98	krabby	98	krabby	0	Krabby		lava_floe_island	True	False	True	False	
98	krabby	99	kingler	0	Kingler		EVOLVE	True	False	True	False	
98	krabby	99	kingler	1	Gigantamax Kingler		TEMP	False	False	False	False	
100	voltorb	100	voltorb	0	Voltorb		guildmaster_trail thunderstruck_pass	True	False	True	False	
100	voltorb	100	voltorb	1	Hisuian Voltorb			True	False	True	False	
100	voltorb	101	electrode	0	Electrode		guildmaster_trail relic_tower	True	False	True	False	
100	voltorb	101	electrode	1	Hisuian Electrode	chloroblast		False	False	False	False	
102	exeggcute	102	exeggcute	0	Exeggcute		guildmaster_trail overgrown_wilds	True	False	True	False	
102	exeggcute	103	exeggutor	0	Exeggutor		guildmaster_trail	True	False	True	False	
102	exeggcute	103	exeggutor	1	Alolan Exeggutor	dragon_hammer	EVOLVE	True	False	True	False	
104	cubone	104	cubone	0	Cubone		forsaken_desert guildmaster_trail sleeping_caldera	True	False	True	False	
104	cubone	105	marowak	0	Marowak		forsaken_desert guildmaster_trail	True	False	True	False	
104	cubone	105	marowak	1	Alolan Marowak	stomping_tantrum	sleeping_caldera	True	False	True	False	
106	hitmonlee	106	hitmonlee	0	Hitmonlee		guildmaster_trail snowbound_path	True	False	True	False	
106	hitmonlee	107	hitmonchan	0	Hitmonchan		guildmaster_trail thunderstruck_pass	True	False	True	False	
106	hitmonlee	236	tyrogue	0	Tyrogue		guildmaster_trail	True	False	True	False	
106	hitmonlee	237	hitmontop	0	Hitmontop		guildmaster_trail snowbound_path	True	False	True	False	
108	lickitung	108	lickitung	0	Lickitung		flyaway_cliffs guildmaster_trail	True	False	True	False	
108	lickitung	463	lickilicky	0	Lickilicky		guildmaster_trail	True	False	True	False	
109	koffing	109	koffing	0	Koffing		guildmaster_trail veiled_ridge	True	False	True	False	
109	koffing	110	weezing	0	Weezing		guildmaster_trail	True	False	True	False	
109	koffing	110	weezing	1	Galarian Weezing	strange_steam		False	False	False	False	
111	rhyhorn	111	rhyhorn	0	Rhyhorn		depleted_basin	True	False	True	False	
111	rhyhorn	112	rhydon	0	Rhydon		EVOLVE	True	False	True	False	
111	rhyhorn	464	rhyperior	0	Rhyperior		EVOLVE	True	False	True	False	
113	chansey	113	chansey	0	Chansey		secret_garden tropical_path	True	False	True	False	
113	chansey	242	blissey	0	Blissey		EVOLVE	True	False	True	False	
113	chansey	440	happiny	0	Happiny		secret_garden	True	False	True	False	
114	tangela	114	tangela	0	Tangela		faded_trail	True	False	True	False	
114	tangela	465	tangrowth	0	Tangrowth		EVOLVE	True	False	True	False	
115	kangaskhan	115	kangaskhan	0	Kangaskhan		guildmaster_trail snowbound_path thunderstruck_pass	True	False	True	False	
115	kangaskhan	115	kangaskhan	1	Mega Kangaskhan	parental_bond	TEMP	True	True	False	False	
116	horsea	116	horsea	0	Horsea		castaway_cave	True	False	True	False	
116	horsea	117	seadra	0	Seadra		EVOLVE	True	False	True	False	
116	horsea	230	kingdra	0	Kingdra		EVOLVE	True	False	True	False	
118	goldeen	118	goldeen	0	Goldeen		castaway_cave	True	False	True	False	
118	goldeen	119	seaking	0	Seaking		EVOLVE	True	False	True	False	
120	staryu	120	staryu	0	Staryu		tropical_path	True	False	True	False	
120	staryu	121	starmie	0	Starmie		EVOLVE	True	False	True	False	
122	mr_mime	122	mr_mime	0	Mr. Mime		guildmaster_trail moonlit_courtyard	True	False	True	False	
122	mr_mime	122	mr_mime	1	Galarian Mr. Mime	screen_cleaner		False	False	False	False	
122	mr_mime	439	mime_jr	0	Mime Jr.		guildmaster_trail moonlit_courtyard	True	False	True	False	
122	mr_mime	866	mr_rime	0	Mr. Rime	screen_cleaner		False	False	False	False	
123	scyther	123	scyther	0	Scyther		guildmaster_trail	True	False	True	False	
123	scyther	212	scizor	0	Scizor		guildmaster_trail	True	False	True	False	
123	scyther	212	scizor	1	Mega Scizor		TEMP	False	False	False	False	
123	scyther	900	kleavor	0	Kleavor	stone_axe	EVOLVE	True	True	True	False	
124	jynx	124	jynx	0	Jynx		guildmaster_trail snowbound_path	True	False	True	False	
124	jynx	238	smoochum	0	Smoochum		guildmaster_trail	True	True	True	False	
125	electabuzz	125	electabuzz	0	Electabuzz		sleeping_caldera thunderstruck_pass	True	False	True	False	
125	electabuzz	239	elekid	0	Elekid		sleeping_caldera	True	False	True	False	
125	electabuzz	466	electivire	0	Electivire		EVOLVE	True	False	True	False	
126	magmar	126	magmar	0	Magmar		sleeping_caldera	True	False	True	False	
126	magmar	240	magby	0	Magby		lava_floe_island	True	False	True	False	
126	magmar	467	magmortar	0	Magmortar		sleeping_caldera	True	False	True	False	
127	pinsir	127	pinsir	0	Pinsir		guildmaster_trail	True	False	True	False	
127	pinsir	127	pinsir	1	Mega Pinsir		TEMP	False	False	False	False	
128	tauros	128	tauros	0	Tauros		fertile_valley	True	False	True	False	
128	tauros	128	tauros	1	Tauros	cud_chew raging_bull		True	True	True	False	
128	tauros	128	tauros	2	Tauros	cud_chew raging_bull		True	True	False	False	
128	tauros	128	tauros	3	Tauros	cud_chew raging_bull wave_crash		False	False	False	False	
129	magikarp	129	magikarp	0	Magikarp		guildmaster_trail lava_floe_island	True	False	True	False	
129	magikarp	130	gyarados	0	Gyarados		guildmaster_trail lava_floe_island treacherous_mountain	True	False	True	False	
129	magikarp	130	gyarados	1	Mega Gyarados		TEMP	False	False	False	False	
131	lapras	131	lapras	0	Lapras		secret_garden snowbound_path treacherous_mountain	True	False	True	False	
131	lapras	131	lapras	1	Gigantamax Lapras		TEMP	False	False	False	False	
132	ditto	132	ditto	0	Ditto		guildmaster_trail	True	True	True	False	
133	eevee	133	eevee	0	Eevee		guildmaster_trail secret_garden	True	False	True	False	
133	eevee	134	vaporeon	0	Vaporeon		castaway_cave guildmaster_trail secret_garden	True	True	True	False	
133	eevee	135	jolteon	0	Jolteon		guildmaster_trail thunderstruck_pass	True	False	True	False	
133	eevee	136	flareon	0	Flareon		guildmaster_trail secret_garden sleeping_caldera	True	True	True	False	
133	eevee	196	espeon	0	Espeon		guildmaster_trail relic_tower secret_garden	True	False	True	False	
133	eevee	197	umbreon	0	Umbreon		guildmaster_trail moonlit_courtyard	True	True	True	False	
133	eevee	470	leafeon	0	Leafeon		guildmaster_trail overgrown_wilds secret_garden	True	False	True	False	
133	eevee	471	glaceon	0	Glaceon		guildmaster_trail snowbound_path	True	False	True	False	
133	eevee	700	sylveon	0	Sylveon		guildmaster_trail moonlit_courtyard secret_garden	True	False	True	False	
137	porygon	137	porygon	0	Porygon		copper_quarry depleted_basin guildmaster_trail moonlit_courtyard relic_tower snowbound_path thunderstruck_pass veiled_ridge	True	False	True	False	
137	porygon	233	porygon2	0	Porygon2		guildmaster_trail moonlit_courtyard relic_tower thunderstruck_pass treacherous_mountain	True	False	True	False	
137	porygon	474	porygon_z	0	Porygon-Z		guildmaster_trail moonlit_courtyard relic_tower thunderstruck_pass	True	False	True	False	
138	omanyte	138	omanyte	0	Omanyte		bramble_woods copper_quarry depleted_basin faded_trail faultline_ridge fertile_valley flyaway_cliffs lava_floe_island moonlit_courtyard overgrown_wilds relic_tower sickly_hollow snowbound_path thunderstruck_pass trickster_woods tropical_path veiled_ridge	True	False	True	False	
138	omanyte	139	omastar	0	Omastar		EVOLVE	True	False	True	False	
140	kabuto	140	kabuto	0	Kabuto		bramble_woods copper_quarry depleted_basin faded_trail faultline_ridge fertile_valley flyaway_cliffs lava_floe_island moonlit_courtyard overgrown_wilds relic_tower sickly_hollow snowbound_path thunderstruck_pass trickster_woods tropical_path veiled_ridge	True	False	True	False	
140	kabuto	141	kabutops	0	Kabutops		EVOLVE	True	False	True	False	
142	aerodactyl	142	aerodactyl	0	Aerodactyl		guildmaster_trail	True	False	True	False	
142	aerodactyl	142	aerodactyl	1	Mega Aerodactyl		TEMP	False	False	False	False	
143	snorlax	143	snorlax	0	Snorlax		guildmaster_trail sleeping_caldera	True	False	True	False	
143	snorlax	143	snorlax	1	Gigantamax Snorlax		TEMP	False	False	False	False	
143	snorlax	446	munchlax	0	Munchlax		guildmaster_trail	True	False	True	False	
144	articuno	144	articuno	0	Articuno			True	False	True	False	
144	articuno	144	articuno	1	Galarian Articuno	freezing_glare		False	False	False	False	
145	zapdos	145	zapdos	0	Zapdos			True	True	True	False	
145	zapdos	145	zapdos	1	Galarian Zapdos	thunderous_kick		True	False	True	False	
146	moltres	146	moltres	0	Moltres			True	False	True	False	
146	moltres	146	moltres	1	Galarian Moltres	fiery_wrath		True	True	True	False	
147	dratini	147	dratini	0	Dratini		castaway_cave guildmaster_trail secret_garden	True	False	True	False	
147	dratini	148	dragonair	0	Dragonair		secret_garden	True	False	True	False	
147	dratini	149	dragonite	0	Dragonite		secret_garden	True	False	True	False	
150	mewtwo	150	mewtwo	0	Mewtwo			True	False	True	False	
150	mewtwo	150	mewtwo	1	Mega Mewtwo X		TEMP	False	False	False	False	
150	mewtwo	150	mewtwo	2	Mega Mewtwo Y		TEMP	True	False	True	False	
151	mew	151	mew	0	Mew			True	True	True	False	
152	chikorita	152	chikorita	0	Chikorita		guildmaster_trail	True	False	True	False	
152	chikorita	153	bayleef	0	Bayleef		guildmaster_trail moonlit_courtyard	True	False	True	False	
152	chikorita	154	meganium	0	Meganium		guildmaster_trail	True	False	True	False	
155	cyndaquil	155	cyndaquil	0	Cyndaquil		guildmaster_trail	True	False	True	False	
155	cyndaquil	156	quilava	0	Quilava		guildmaster_trail	True	False	True	False	
155	cyndaquil	157	typhlosion	0	Typhlosion		guildmaster_trail	True	True	True	False	
155	cyndaquil	157	typhlosion	1	Hisuian Typhlosion		EVOLVE	True	True	True	False	
158	totodile	158	totodile	0	Totodile		guildmaster_trail	True	False	True	False	
158	totodile	159	croconaw	0	Croconaw		guildmaster_trail	True	False	True	False	
158	totodile	160	feraligatr	0	Feraligatr		guildmaster_trail	True	False	True	False	
161	sentret	161	sentret	0	Sentret		guildmaster_trail secret_garden tropical_path	True	False	True	False	
161	sentret	162	furret	0	Furret		faded_trail guildmaster_trail secret_garden snowbound_path	True	False	True	False	
163	hoothoot	163	hoothoot	0	Hoothoot		flyaway_cliffs secret_garden sickly_hollow	True	False	True	False	
163	hoothoot	164	noctowl	0	Noctowl		secret_garden sickly_hollow	True	True	True	False	
165	ledyba	165	ledyba	0	Ledyba		bramble_woods	True	False	True	False	
165	ledyba	166	ledian	0	Ledian		EVOLVE	True	False	True	False	
167	spinarak	167	spinarak	0	Spinarak		fertile_valley guildmaster_trail	True	False	True	False	
167	spinarak	168	ariados	0	Ariados		guildmaster_trail relic_tower	True	False	True	False	
170	chinchou	170	chinchou	0	Chinchou		castaway_cave	True	False	True	False	
170	chinchou	171	lanturn	0	Lanturn		EVOLVE	True	False	True	False	
175	togepi	175	togepi	0	Togepi		flyaway_cliffs guildmaster_trail	True	False	True	False	
175	togepi	176	togetic	0	Togetic		guildmaster_trail	True	False	True	False	
175	togepi	468	togekiss	0	Togekiss		guildmaster_trail	True	False	True	False	
177	natu	177	natu	0	Natu		guildmaster_trail	True	False	True	False	
177	natu	178	xatu	0	Xatu		guildmaster_trail	True	False	True	False	
179	mareep	179	mareep	0	Mareep		secret_garden	True	False	True	False	
179	mareep	180	flaaffy	0	Flaaffy		secret_garden	True	False	True	False	
179	mareep	181	ampharos	0	Ampharos		secret_garden	True	False	True	False	
179	mareep	181	ampharos	1	Mega Ampharos		TEMP	False	False	False	False	
183	marill	183	marill	0	Marill		EVOLVE	True	False	True	False	
183	marill	184	azumarill	0	Azumarill		snowbound_path	True	False	True	False	
183	marill	298	azurill	0	Azurill		fertile_valley	True	False	True	False	
185	sudowoodo	185	sudowoodo	0	Sudowoodo		guildmaster_trail secret_garden	True	False	True	False	
185	sudowoodo	438	bonsly	0	Bonsly		faded_trail fertile_valley guildmaster_trail secret_garden	True	False	True	False	
187	hoppip	187	hoppip	0	Hoppip		flyaway_cliffs secret_garden	True	False	True	False	
187	hoppip	188	skiploom	0	Skiploom		secret_garden sickly_hollow	True	False	True	False	
187	hoppip	189	jumpluff	0	Jumpluff		secret_garden sickly_hollow	True	False	True	False	
190	aipom	190	aipom	0	Aipom		faded_trail guildmaster_trail	True	False	True	False	
190	aipom	424	ambipom	0	Ambipom		guildmaster_trail	True	False	True	False	
191	sunkern	191	sunkern	0	Sunkern		secret_garden tropical_path	True	True	True	False	
191	sunkern	192	sunflora	0	Sunflora		secret_garden	True	False	True	False	
193	yanma	193	yanma	0	Yanma		overgrown_wilds secret_garden	True	False	True	False	
193	yanma	469	yanmega	0	Yanmega		secret_garden	True	False	True	False	
194	wooper	194	wooper	0	Wooper		fertile_valley guildmaster_trail	True	True	True	False	
194	wooper	194	wooper	1	Wooper			False	False	False	False	
194	wooper	195	quagsire	0	Quagsire		guildmaster_trail	True	False	True	False	
194	wooper	980	clodsire	0	Clodsire			True	True	False	False	
198	murkrow	198	murkrow	0	Murkrow		guildmaster_trail sickly_hollow	True	False	True	False	
198	murkrow	430	honchkrow	0	Honchkrow		guildmaster_trail	True	False	True	False	
200	misdreavus	200	misdreavus	0	Misdreavus		depleted_basin guildmaster_trail sickly_hollow	True	False	True	False	
200	misdreavus	429	mismagius	0	Mismagius		guildmaster_trail sickly_hollow	True	False	True	False	
201	unown	201	unown	0	Unown A		bramble_woods copper_quarry depleted_basin faded_trail faultline_ridge fertile_valley flyaway_cliffs lava_floe_island moonlit_courtyard overgrown_wilds relic_tower sickly_hollow snowbound_path thunderstruck_pass trickster_woods tropical_path veiled_ridge	True	False	True	False	
201	unown	201	unown	1	Unown B		bramble_woods copper_quarry depleted_basin faded_trail faultline_ridge fertile_valley flyaway_cliffs lava_floe_island moonlit_courtyard overgrown_wilds relic_tower sickly_hollow snowbound_path thunderstruck_pass trickster_woods tropical_path veiled_ridge	True	False	True	False	
201	unown	201	unown	2	Unown C		bramble_woods copper_quarry depleted_basin faded_trail faultline_ridge fertile_valley flyaway_cliffs lava_floe_island moonlit_courtyard overgrown_wilds relic_tower sickly_hollow snowbound_path thunderstruck_pass trickster_woods tropical_path veiled_ridge	True	False	True	False	
201	unown	201	unown	3	Unown D		bramble_woods copper_quarry depleted_basin faded_trail faultline_ridge fertile_valley flyaway_cliffs lava_floe_island moonlit_courtyard overgrown_wilds relic_tower sickly_hollow snowbound_path thunderstruck_pass trickster_woods tropical_path veiled_ridge	True	False	True	False	
201	unown	201	unown	4	Unown E		bramble_woods copper_quarry depleted_basin faded_trail faultline_ridge fertile_valley flyaway_cliffs lava_floe_island moonlit_courtyard overgrown_wilds relic_tower sickly_hollow snowbound_path thunderstruck_pass trickster_woods tropical_path veiled_ridge	True	False	True	False	
201	unown	201	unown	5	Unown F		bramble_woods copper_quarry depleted_basin faded_trail faultline_ridge fertile_valley flyaway_cliffs lava_floe_island moonlit_courtyard overgrown_wilds relic_tower sickly_hollow snowbound_path thunderstruck_pass trickster_woods tropical_path veiled_ridge	True	False	True	False	
