Monster	Skill	Intrinsic	Status	AI	Item	Role
conkeldurr	rest	magic_bounce			held_dread_plate	
copperajah	rock_slide	sap_sipper			held_earth_plate	
corphish	hyper_fang	prankster			held_expert_belt	
corsola	sharpen	sand_force			held_fist_plate	
corviknight	conversion	iron_barbs			held_flame_orb	
corvisquire	tri_attack	zen_mode			held_flame_plate	
cosmoem	super_fang	victory_star			held_friend_bow	
cosmog	slash	turboblaze			held_goggle_specs	
cottonee	substitute	teravolt			held_golden_mask	
crabominable	struggle	aroma_veil			held_grip_claw	
crabrawler	sketch	flower_veil			held_hard_stone	
cradily	triple_kick	cheek_pouch			held_heal_ribbon	
cramorant	thief	protean			held_icicle_plate	
cranidos	spider_web	fur_coat			held_insect_plate	
crawdaunt	mind_reader	magician			held_iron_ball	
cresselia	nightmare	bulletproof			held_iron_plate	
croagunk	flame_wheel	competitive			held_life_orb	
crobat	snore	strong_jaw			held_magnet	
crocalor	curse	refrigerate			held_meadow_plate	
croconaw	flail	sweet_veil			held_metal_coat	
crustle	conversion_2	stance_change			held_metronome	
cryogonal	aeroblast	gale_wings			held_mind_plate	
cubchoo	cotton_spore	mega_launcher			held_miracle_seed	
cubone	reversal	grass_pelt			held_mobile_scarf	
cufant	spite	symbiosis			held_mystic_water	
cursola	powder_snow	tough_claws			held_never_melt_ice	
cutiefly	protect	pixilate			held_pass_scarf	
cyclizar	mach_punch	gooey			held_pierce_band	
cyndaquil	scary_face	aerilate			held_pink_bow	
dachsbun	feint_attack	parental_bond			held_pixie_plate	
darkrai	sweet_kiss	dark_aura			held_poison_barb	
darmanitan	belly_drum	fairy_aura			held_power_band	
dartrix	sludge_bomb	aura_break			held_reunion_cape	
darumaka	mud_slap	primordial_sea			held_ring_target	
decidueye	octazooka	desolate_land			held_scope_lens	
dedenne	spikes	delta_stream			held_sharp_beak	
deerling	zap_cannon	stamina			held_shed_shell	
deino	foresight	wimp_out			held_shell_bell	
delcatty	destiny_bond	emergency_exit			held_silk_scarf	
delibird	perish_song	water_compaction			held_silver_powder	
delphox	icy_wind	merciless			held_sky_plate	
deoxys	detect	shields_down			held_soft_sand	
dewgong	bone_rush	stakeout			held_special_band	
dewott	lock_on	water_bubble			held_spell_tag	
dewpider	outrage	steelworker			held_splash_plate	
dhelmise	sandstorm	berserk			held_spooky_plate	
dialga	giga_drain	slush_rush			held_sticky_barb	
diancie	endure	long_reach			held_stone_plate	
diggersby	charm	liquid_voice			held_toxic_orb	
diglett	rollout	triage			held_toxic_plate	
ditto	false_swipe	galvanize			held_trap_scarf	
dodrio	swagger	surge_surfer			held_twist_band	
doduo	milk_drink	schooling			held_twisted_spoon	
dolliv	spark	disguise			held_warp_scarf	
dondozo	fury_cutter	battle_bond			held_weather_rock	
donphan	steel_wing	power_construct			held_wide_lens	
dottler	mean_look	corrosion			held_x_ray_specs	
doublade	attract	comatose			held_zap_plate	
dracovish	sleep_talk	queenly_majesty			held_zinc_band	
dracozolt	heal_bell	innards_out			herb_mental	
dragalge	return	dancer			herb_power	
dragapult	present	battery			herb_white	
dragonair	frustration	fluffy			key	
dragonite	safeguard	dazzling			key_ancient	
drakloak	pain_split	soul_heart			loot_adamant_orb	
drampa	sacred_fire	tangling_hair			loot_berserk_gene	
drapion	magnitude	receiver			loot_blue_orb	
dratini	dynamic_punch	power_of_alchemy			loot_gracidea	
drednaw	megahorn	beast_boost			loot_green_orb	
dreepy	dragon_breath	rks_system			loot_griseous_orb	
drifblim	baton_pass	electric_surge			loot_heart_scale	
drifloon	encore	psychic_surge			loot_lustrous_orb	
drilbur	pursuit	misty_surge			loot_meteorite	
drizzile	rapid_spin	grassy_surge			loot_music_box	
drowzee	sweet_scent	full_metal_body			loot_mystery_part	
druddigon	iron_tail	shadow_shield			loot_nugget	
dubwool	metal_claw	prism_armor			loot_pearl	
ducklett	vital_throw	neuroforce			loot_red_orb	
dudunsparce	morning_sun	intrepid_sword			loot_secret_slab	
dugtrio	synthesis	dauntless_shield			loot_spacetime_globe	
dunsparce	moonlight	libero			lost_item_bug	
duosion	hidden_power	ball_fetch			lost_item_dark	
duraludon	cross_chop	cotton_down			lost_item_grass	
durant	twister	propeller_tail			lost_item_ground	
dusclops	rain_dance	mirror_armor			lost_item_normal	
dusknoir	sunny_day	gulp_missile			machine_ability_capsule	
duskull	crunch	stalwart			machine_assembly_box	
dustox	mirror_coat	steam_engine			machine_recall_box	
dwebble	psych_up	punk_rock			machine_storage_box	
eelektrik	extreme_speed	sand_spit			medicine_amber_tear	
eelektross	ancient_power	ice_scales			medicine_dire_hit	
eevee	shadow_ball	ripen			medicine_elixir	
eiscue	future_sight	ice_face			medicine_full_heal	
ekans	rock_smash	power_spot			medicine_full_restore	
eldegoss	whirlpool	mimicry			medicine_guard_spec	
electabuzz	beat_up	screen_cleaner			medicine_max_elixir	
electivire	fake_out	steely_spirit			medicine_max_potion	
electrike	uproar	perish_body			medicine_potion	
electrode	stockpile	wandering_spirit			medicine_x_accuracy	
elekid	spit_up	gorilla_tactics			medicine_x_attack	
elgyem	swallow	neutralizing_gas			medicine_x_defense	
emboar	heat_wave	pastel_veil			medicine_x_sp_atk	
emolga	hail	hunger_switch			medicine_x_sp_def	
empoleon	torment	quick_draw			medicine_x_speed	
enamorus	flatter	unseen_fist			orb_all_aim	
entei	will_o_wisp	curious_medicine			orb_all_dodge	
escavalier	memento	transistor			orb_all_hit	
espathra	facade	dragons_maw			orb_all_power_up	
espeon	focus_punch	chilling_neigh			orb_all_protect	
espurr	smelling_salts	grim_neigh			orb_cleanse	
eternatus	follow_me	as_one_chill			orb_devolve	
excadrill	nature_power	as_one_grim			orb_endure	
exeggcute	charge	lingering_aroma			orb_escape	
exeggutor	taunt	seed_sower			orb_fill_in	
exploud	helping_hand	thermal_exchange			orb_foe_hold	
falinks	trick	anger_shell			orb_foe_seal	
farfetchd	role_play	purifying_salt			orb_freeze	
farigiraf	wish	well_baked_body			orb_halving	
fearow	assist	wind_rider			orb_health	
feebas	ingrain	guard_dog			orb_invert	
fennekin	superpower	rocky_payload			orb_invisify	
feraligatr	magic_coat	wind_power			orb_itemizer	
ferroseed	recycle	zero_to_hero			orb_luminous	
ferrothorn	revenge	commander			orb_mirror	
fidough	brick_break	electromorphosis			orb_mobile	
finizen	yawn	protosynthesis			orb_mug	
finneon	knock_off	quark_drive			orb_nullify	
flaaffy	endeavor	good_as_gold			orb_one_room	
flabebe	eruption	vessel_of_ruin			orb_one_shot	
flamigo	skill_swap	sword_of_ruin			orb_petrify	
flapple	imprison	tablets_of_ruin			orb_pierce	
flareon	refresh	beads_of_ruin			orb_rebound	
fletchinder	grudge	orichalcum_pulse			orb_revival	
fletchling	snatch	hadron_engine			orb_rollcall	
flittle	secret_power	opportunist			orb_scanner	
floatzel	dive	cud_chew			orb_slow	
floette	arm_thrust	sharpness			orb_slumber	
floragato	camouflage	supreme_overlord			orb_spurn	
florges	tail_glow	costar			orb_stayaway	
flutter_mane	luster_purge	toxic_debris			orb_totter	
flygon	mist_ball	armor_tail			orb_trap_see	
fomantis	feather_dance	earth_eater			orb_trapbust	
foongus	teeter_dance	mycelium_might			orb_trawl	
forretress	blaze_kick				orb_weather	
fraxure	mud_sport				seed_ban	
frigibax	ice_ball				seed_blast	
frillish	needle_arm				seed_blinker	
froakie	slack_off				seed_decoy	
frogadier	hyper_voice				seed_doom	
froslass	poison_fang				seed_golden	
frosmoth	crush_claw				seed_hunger	
fuecoco	blast_burn				seed_ice	
furfrou	hydro_cannon				seed_joy	
furret	meteor_mash				seed_last_chance	
gabite	astonish				seed_plain	
gallade	weather_ball				seed_pure	
galvantula	aromatherapy				seed_reviver	
garbodor	fake_tears				seed_sleep	
garchomp	air_cutter				seed_spreader	
gardevoir	overheat				seed_training	
garganacl	odor_sleuth				seed_vanish	
gastly	rock_tomb				seed_vile	
gastrodon	silver_wind				seed_warp	
genesect	metal_sound				tm_acrobatics	
gengar	grass_whistle				tm_aerial_ace	
geodude	tickle				tm_attract	
gholdengo	cosmic_power				tm_avalanche	
gible	water_spout				tm_blizzard	
gigalith	signal_beam				tm_brick_break	
gimmighoul	shadow_punch				tm_brine	
girafarig	extrasensory				tm_bulk_up	
giratina	sky_uppercut				tm_bulldoze	
glaceon	sand_tomb				tm_bullet_seed	
glalie	sheer_cold				tm_calm_mind	
glameow	muddy_water				tm_captivate	
glastrier	bullet_seed				tm_charge_beam	
gligar	aerial_ace				tm_cut	
glimmet	icicle_spear				tm_dark_pulse	
glimmora	iron_defense				tm_dazzling_gleam	
gliscor	block				tm_defog	
gloom	howl				tm_dig	
gogoat	dragon_claw				tm_dive	
golbat	frenzy_plant				tm_double_team	
goldeen	bulk_up				tm_dragon_claw	
golduck	bounce				tm_dragon_pulse	
golem	mud_shot				tm_dragon_tail	
golett	poison_tail				tm_drain_punch	
golisopod	covet				tm_dream_eater	
golurk	volt_tackle				tm_earthquake	
goodra	magical_leaf				tm_echoed_voice	
goomy	water_sport				tm_embargo	
gorebyss	calm_mind				tm_endure	
gossifleur	leaf_blade				tm_energy_ball	
gothita	dragon_dance				tm_explosion	
gothitelle	rock_blast				tm_facade	
gothorita	shock_wave				tm_false_swipe	
gourgeist	water_pulse				tm_fire_blast	
grafaiai	doom_desire				tm_flame_charge	
granbull	psycho_boost				tm_flamethrower	
grapploct	roost				tm_flash	
graveler	gravity				tm_flash_cannon	
great_tusk	miracle_eye				tm_fling	
greavard	wake_up_slap				tm_fly	
greedent	hammer_arm				tm_focus_blast	
greninja	gyro_ball				tm_focus_punch	
grimer	healing_wish				tm_frost_breath	
grimmsnarl	brine				tm_frustration	
grookey	natural_gift				tm_giga_drain	
grotle	feint				tm_giga_impact	
groudon	pluck				tm_grass_knot	
grovyle	tailwind				tm_gyro_ball	
growlithe	acupressure				tm_hail	
grubbin	metal_burst				tm_hidden_power	
grumpig	u_turn				tm_hone_claws	
gulpin	close_combat				tm_hyper_beam	
gumshoos	payback				tm_ice_beam	
gurdurr	assurance				tm_incinerate	
guzzlord	embargo				tm_infestation	
gyarados	fling				tm_iron_tail	
hakamo_o	psycho_shift				tm_light_screen	
happiny	trump_card				tm_low_sweep	
hariyama	heal_block				tm_natural_gift	
hatenna	wring_out				tm_nature_power	
hatterene	power_trick				tm_overheat	
hattrem	gastro_acid				tm_payback	
haunter	lucky_chant				tm_pluck	
hawlucha	me_first				tm_poison_jab	
haxorus	copycat				tm_power_up_punch	
heatmor	power_swap				tm_protect	
heatran	guard_swap				tm_psych_up	
heliolisk	punishment				tm_psychic	
helioptile	last_resort				tm_psyshock	
heracross	worry_seed				tm_quash	
herdier	sucker_punch				tm_rain_dance	
hippopotas	toxic_spikes				tm_recycle	
hippowdon	heart_swap				tm_reflect	
hitmonchan	aqua_ring				tm_rest	
hitmonlee	magnet_rise				tm_retaliate	
hitmontop	flare_blitz				tm_return	
ho_oh	force_palm				tm_roar	
honchkrow	aura_sphere				tm_rock_climb	
honedge	rock_polish				tm_rock_polish	
hoopa	poison_jab				tm_rock_slide	
hoothoot	dark_pulse				tm_rock_smash	
hoppip	night_slash				tm_rock_tomb	
horsea	aqua_tail				tm_roost	
houndoom	seed_bomb				tm_round	
houndour	air_slash				tm_safeguard	
houndstone	x_scissor				tm_sandstorm	
huntail	bug_buzz				tm_scald	
hydreigon	dragon_pulse				tm_secret_power	
hypno	dragon_rush				tm_shadow_ball	
igglybuff	power_gem				tm_shadow_claw	
illumise	drain_punch				tm_shock_wave	
impidimp	vacuum_wave				tm_silver_wind	
incineroar	focus_blast				tm_sky_drop	
indeedee	energy_ball				tm_sludge_bomb	
infernape	brave_bird				tm_sludge_wave	
inkay	earth_power				tm_smack_down	
inteleon	switcheroo				tm_snarl	
iron_bundle	giga_impact				tm_snatch	
iron_hands	nasty_plot				tm_steel_wing	
iron_jugulis	bullet_punch				tm_stone_edge	
iron_leaves	avalanche				tm_strength	
iron_moth	ice_shard				tm_struggle_bug	
iron_thorns	shadow_claw				tm_substitute	
iron_treads	thunder_fang				tm_sunny_day	
iron_valiant	ice_fang				tm_surf	
ivysaur	fire_fang				tm_swagger	
jangmo_o	shadow_sneak				tm_swords_dance	
jellicent	mud_bomb				tm_taunt	
jigglypuff	psycho_cut				tm_telekinesis	
jirachi	zen_headbutt				tm_thief	
jolteon	mirror_shot				tm_thunder	
joltik	flash_cannon				tm_thunder_wave	
jumpluff	rock_climb				tm_thunderbolt	
jynx	defog				tm_torment	
kabuto	trick_room				tm_u_turn	
kabutops	draco_meteor				tm_venoshock	
kadabra	discharge				tm_volt_switch	
kakuna	lava_plume				tm_water_pulse	
kangaskhan	leaf_storm				tm_waterfall	
karrablast	power_whip				tm_whirlpool	
kartana	rock_wrecker				tm_wild_charge	
kecleon	cross_poison				tm_will_o_wisp	
keldeo	gunk_shot				tm_work_up	
kilowattrel	iron_head				tm_x_scissor	
kingambit	magnet_bomb				wand_fear	
kingdra	stone_edge				wand_infatuation	
kingler	captivate				wand_lob	
kirlia	stealth_rock				wand_lure	
klang	grass_knot				wand_path	
klawf	chatter				wand_pounce	
kleavor	judgment				wand_purge	
klefki	bug_bite				wand_slow	
klink	charge_beam				wand_stayaway	
klinklang	wood_hammer				wand_surround	
koffing	aqua_jet				wand_switcher	
komala	attack_order				wand_topsy_turvy	
kommo_o	defend_order				wand_totter	
koraidon	heal_order				wand_transfer	
krabby	head_smash				wand_vanish	
kricketot	double_hit				wand_warp	
kricketune	roar_of_time				wand_whirlwind	
krokorok	spacial_rend					
krookodile	lunar_dance					
kubfu	crush_grip					
kyogre	magma_storm					
kyurem	dark_void					
lairon	seed_flare					
lampent	ominous_wind					
landorus	shadow_force					
lanturn	hone_claws					
lapras	wide_guard					
larvesta	guard_split					
larvitar	power_split					
latias	wonder_room					
latios	psyshock					
leafeon	venoshock					
leavanny	autotomize					
lechonk	rage_powder					
ledian	telekinesis					
ledyba	magic_room					
lickilicky	smack_down					
lickitung	storm_throw					
liepard	flame_burst					
lileep	sludge_wave					
lilligant	quiver_dance					
lillipup	heavy_slam					
linoone	synchronoise					
litleo	electro_ball					
litten	soak					
litwick	flame_charge					
lokix	coil					
lombre	low_sweep					
lopunny	acid_spray					
lotad	foul_play					
loudred	simple_beam					
lucario	entrainment					
ludicolo	after_you					
lugia	round					
lumineon	echoed_voice					
lunala	chip_away					
lunatone	clear_smog					
lurantis	stored_power					
luvdisc	quick_guard					
luxio	ally_switch					
luxray	scald					
lycanroc	shell_smash					
mabosstiff	heal_pulse					
machamp	hex					
machoke	sky_drop					
machop	shift_gear					
magby	circle_throw					
magcargo	incinerate					
magearna	quash					
magikarp	acrobatics					
magmar	reflect_type					
magmortar	retaliate					
magnemite	final_gambit					
magneton	bestow					
magnezone	inferno					
makuhita	water_pledge					
malamar	fire_pledge					
mamoswine	grass_pledge					
manaphy	volt_switch					
mandibuzz	struggle_bug					
manectric	bulldoze					
mankey	frost_breath					
mantine	dragon_tail					
mantyke	work_up					
maractus	electroweb					
mareanie	wild_charge					
mareep	drill_run					
marill	dual_chop					
marowak	heart_stamp					
marshadow	horn_leech					
marshtomp	sacred_sword					
maschiff	razor_shell					
masquerain	heat_crash					
maushold	leaf_tornado					
mawile	steamroller					
medicham	cotton_guard					
meditite	night_daze					
meganium	psystrike					
melmetal	tail_slap					
meloetta	hurricane					
meltan	head_charge					
meowscarada	gear_grind					
meowstic	searing_shot					
meowth	techno_blast					
mesprit	relic_song					
metagross	secret_sword					
metang	glaciate					
metapod	bolt_strike					
mew	blue_flare					
mewtwo	fiery_dance					
mienfoo	freeze_shock					
mienshao	ice_burn					
mightyena	snarl					
milcery	icicle_crash					
milotic	v_create					
miltank	fusion_flare					
mime_jr	fusion_bolt					
mimikyu	flying_press					
minccino	mat_block					
minior	belch					
minun	rototiller					
miraidon	sticky_web					
misdreavus	fell_stinger					
mismagius	phantom_force					
missingno	trick_or_treat					
moltres	noble_roar					
monferno	ion_deluge					
morelull	parabolic_charge					
morgrem	forests_curse					
morpeko	petal_blizzard					
mothim	freeze_dry					
mr_mime	disarming_voice					
mr_rime	parting_shot					
mudbray	topsy_turvy					
mudkip	draining_kiss					
mudsdale	crafty_shield					
muk	flower_shield					
munchlax	grassy_terrain					
munna	misty_terrain					
murkrow	electrify					
musharna	play_rough					
nacli	fairy_wind					
naclstack	moonblast					
naganadel	boomburst					
natu	fairy_lock					
necrozma	kings_shield					
nickit	play_nice					
nidoking	confide					
nidoqueen	diamond_storm					
nidoran_f	steam_eruption					
nidoran_m	hyperspace_hole					
nidorina	water_shuriken					
nidorino	mystical_fire					
nihilego	spiky_shield					
nincada	aromatic_mist					
ninetales	eerie_impulse					
ninjask	venom_drench					
noctowl	powder					
noibat	geomancy					
noivern	magnetic_flux					
nosepass	happy_hour					
numel	electric_terrain					
nuzleaf	dazzling_gleam					
nymble	celebrate					
obstagoon	hold_hands					
octillery	baby_doll_eyes					
oddish	nuzzle					
oinkologne	hold_back					
omanyte	infestation					
omastar	power_up_punch					
onix	oblivion_wing					
oranguru	thousand_arrows					
orbeetle	thousand_waves					
oricorio	lands_wrath					
orthworm	light_of_ruin					
oshawott	origin_pulse					
overqwil	precipice_blades					
pachirisu	dragon_ascent					
palafin	hyperspace_fury					
palkia	breakneck_blitz					
palossand	all_out_pummeling					
palpitoad	supersonic_skystrike					
pancham	acid_downpour					
pangoro	tectonic_rage					
panpour	continental_crush					
pansage	savage_spin_out					
pansear	never_ending_nightmare					
paras	corkscrew_crash					
parasect	inferno_overdrive					
passimian	hydro_vortex					
patrat	bloom_doom					
pawmi	gigavolt_havoc					
pawmo	shattered_psyche					
pawmot	subzero_slammer					
pawniard	devastating_drake					
pelipper	black_hole_eclipse					
perrserker	twinkle_tackle					
persian	catastropika					
petilil	shore_up					
phanpy	first_impression					
phantump	baneful_bunker					
pheromosa	spirit_shackle					
phione	darkest_lariat					
pichu	sparkling_aria					
pidgeot	ice_hammer					
pidgeotto	floral_healing					
pidgey	high_horsepower					
pidove	strength_sap					
pignite	solar_blade					
pikachu	leafage					
pikipek	spotlight					
piloswine	toxic_thread					
pincurchin	laser_focus					
pineco	gear_up					
pinsir	throat_chop					
piplup	pollen_puff					
plusle	anchor_shot					
poipole	psychic_terrain					
politoed	lunge					
poliwag	fire_lash					
poliwhirl	power_trip					
poliwrath	burn_up					
polteageist	speed_swap					
ponyta	smart_strike					
poochyena	purify					
popplio	revelation_dance					
porygon	core_enforcer					
porygon_z	trop_kick					
porygon2	instruct					
primarina	beak_blast					
primeape	clanging_scales					
prinplup	dragon_hammer					
probopass	brutal_swing					
