Key	Comment	EN	FR	DE	ES	PT	IT	KO	JA	JA-JP	ZH-HANS	ZH-HANT	RU	LT
ExclusiveItemEffect.Absorption		When kept in the bag, the Pokémon will regain HP after defeating an enemy.		Wenn es innerhalb des Beutels getragen wird, regenieren sich die KP des Pokémons nachdem es einen Gegner besiegt hat. 	Al llevarlo en la bolsa, el Pokémon regenerará PS tras derrotar a un enemigo.		Quando tenuto in borsa, il Pokémon guadagnerà PS dopo aver sconfitto un nemico.				放在包里时，击败对手后会回复HP。		
ExclusiveItemEffect.ChanceStatOnTypeHit		When kept in the bag, the Pokémon's {0}-type moves may lower the target's {1}.		Wenn es innerhalb des Beutels getragen wird, können {0}-Typ Attacken des Pokémon den {1}-Wert des Ziels senken.	Al llevarlo en la bolsa, los movimientos de tipo {0} del Pokémon pueden bajar a su objetivo su {1}.		Quando tenuto in borsa, le mosse di tipo {0} del Pokémon potrebbero ridurre la statistica {1} dell'avversario.				放在包里时，使用{0}属性招式可能会降低目标的{1}。		
ExclusiveItemEffect.ChanceStatusOnCategoryHit		When kept in the bag, the Pokémon's {1} moves may inflict the {0} status.		Wenn es innerhalb des Beutels getragen wird, können {1} Attacken den Statuseffekt {0} auslösen.	Al llevarlo en la bolsa, los movimientos de categoría {1} del Pokémon pueden causar el estado {0}.						放在包里时，宝可梦的{1}可能会造成{0}。		
ExclusiveItemEffect.ChanceStatusOnTypeHit		When kept in the bag, the Pokémon's {0}-type moves have a chance to inflict the {1} status.		Wenn es innerhalb des Beutels getragen wird, können {0}-Typ Attacken des Pokémon den Statuseffekt {1} auslösen.	Al llevarlo en la bolsa, los movimientos de tipo {0} del Pokémon pueden causar el estado {1}.						放在包里时，宝可梦的{0}属性招式可能会造成{1}。		
ExclusiveItemEffect.ChargeWalker		When kept in the bag, the Pokémon will be able to move when charging attacks.		Wenn es innerhalb des Beutels getragen wird, kann das Pokémon sich bei aufladenen Attacken freibewegen.	Al llevarlo en la bolsa, el Pokémon será capaz de moverse mientras carga ataques.						放在包里时，宝可梦可以在蓄力时移动。		
ExclusiveItemEffect.CheekPouch		When kept in the bag, the Pokémon's HP is restored when it eats a food item.		Wenn es innerhalb des Beutels getragen wird, werden die KP des Pokémons geheilt sobald es ein Nahrungsitem isst.	Al llevarlo en la bolsa se restaura los PS del Pokémon al comer alimentos.						放在包里时，食用食物后会回复HP。		
ExclusiveItemEffect.ChestFinder		When kept in the bag, the Pokémon will find more Treasure Chests when exploring in dungeons.		Wenn es innerhalb des Beutels getragen wird, kann das Pokémon mehr Schatztruhen in Dungeons finden.	Al llevarlo en la bolsa, el Pokémon encontrará más Cofres de Tesoro al explorar mazmorras.						放在包里时，可以在迷宫内找到更多宝箱。		
ExclusiveItemEffect.CloseDodge		When kept in the bag, the Pokémon is more likely to evade attacks from close up.		Wenn es innerhalb des Beutels getragen wird, wird das Pokémon Attacken aus kurzer Reichweite leichter ausweichen können.	Al llevarlo en la bolsa es más probable para el Pokémon esquivar ataques cercanos.						放在包里时，可以更容易躲避近距离攻击。		
ExclusiveItemEffect.ClutchPerformer		When kept in the bag, the Pokémon is more likely to evade attacks when at low HP.		Wenn es innerhalb des Beutels getragen wird, wird das Pokémon Attacken leichter ausweichen können sobald es nur noch wenige HP besitzt.	Al llevarlo en la bolsa es más probable para el Pokémon esquivar ataques cuando tiene pocos PS.						放在包里时，当HP低下，可以更容易躲避攻击。		
ExclusiveItemEffect.CoinWatcher		When kept in the bag, the Pokémon will find more \uE024 when exploring in dungeons.		Wenn es innerhalb des Beutels getragen wird, kann das Pokémon mehr \uE024 in Dungeons finden.	Al llevarlo en la bolsa, el Pokémon encontrará más \uE024 al explorar mazmorras.						放在包里时，可以在迷宫内找到更多的\uE024。		
ExclusiveItemEffect.CounterBasher		When kept in the bag, the Pokémon will counter damage from regular attacks and thrown items.		Wenn es innerhalb des Beutels getragen wird, kontert das Pokémon den Schaden von regulären Attacken und geworfenen Items.	Al llevarlo en la bolsa, el Pokémon devolverá el daño de los ataques normales y los objetos lanzados. 						放在包里时，可以抵抗普通攻击和投掷道具的伤害。		
ExclusiveItemEffect.DeepBreather		When kept in the bag, it restores the PP of a move when the Pokémon reaches a new floor.		Wenn es innerhalb des Beutels getragen wird, werden AP von einer Attacke wiederhergestellt sobald das Pokémon eine neue Ebene erreicht.	Al llevarlo en la bolsa restaura los PP de un movimiento cuando el Pokémon llega a un nuevo piso.						放在包里时，到达新楼层后，会自动回复一个招式的PP。		
ExclusiveItemEffect.DeepBreatherPlus		When kept in the bag, it restores the PP of all moves when the Pokémon reaches a new floor.		Wenn es innerhalb des Beutels getragen wird, werden AP von allen Attacken wiederhergestellt sobald das Pokémon eine neue Ebene erreicht.	Al llevarlo en la bolsa restaura los PP de todos los movimientos cuando el Pokémon llega a un nuevo piso.						放在包里时，到达新楼层后，会自动回复全部招式的PP。		
ExclusiveItemEffect.DevolveOnAttack		When kept in the bag, the Pokémon's regular attacks and thrown items have a chance to devolve the target.		Wenn es innerhalb des Beutels getragen wird, können normale Angriffe und geworfene Items des Pokémon die Entwicklungsstufe des Ziels zurücksetzen.	Al llevarlo en la bolsa, los ataques normales del Pokémon y los objetos lanzados tienen la posibilidad de involucionar al objetivo.						放在包里时，普通攻击和投掷道具可能使目标退化。		
ExclusiveItemEffect.DistanceDodge		When kept in the bag, the Pokémon is more likely to evade attacks from far away.		Wenn es innerhalb des Beutels getragen wird, wird das Pokémon Attacken aus großer Reichweite leichter ausweichen können.	Al llevarlo en la bolsa es más probable para el Pokémon esquivar ataques lejanos. 						放在包里时，会更容易躲避远距离攻击。		
ExclusiveItemEffect.DoubleAttacker		When kept in the bag, it allows the Pokémon's regular attack to strike twice.		Wenn es innerhalb des Beutels getragen wird, kann das Pokémon zweimal mit einem regulären Angriff attackieren.	Al llevarlo en la bolsa permite golpear dos veces con el ataque normal del Pokémon.						放在包里时，宝可梦的普通攻击可以攻击两次。		
ExclusiveItemEffect.DoubleDash		When kept in the bag, it changes the Pokémon's lunging moves into two weaker strikes.		Wenn es innerhalb des Beutels getragen wird, werden die Attacken des Pokémon, welche es nach vorne stürzen lässt, in zwei schwächere Angriffe umgewandelt.							放在包里时，冲撞类招式会分成两次较弱的攻击。		
ExclusiveItemEffect.EndureCategory		When kept in the bag, it prevents the Pokémon from fainting to {0} moves, leaving it with 1 HP.		Wenn es innerhalb des Beutels getragen wird, verhindert es dem Pokémon KO zu gehen durch {0} Attacken. Es landet somit auf 1 KP.	Al llevarlo en la bolsa impide que el Pokémon se debilite por movimientos {0}, dejándolo a 1 PS.						放在包里时，可以防止宝可梦在{0}招式下倒下，剩下1 HP。		
ExclusiveItemEffect.EndureType		When kept in the bag, it prevents the Pokémon from fainting to {0}-type moves, leaving it with 1 HP.		Wenn es innerhalb des Beutels getragen wird, verhindert es dem Pokémon KO zu gehen durch Attacken vom Typ {0}. Es landet somit auf 1 KP.	Al llevarlo en la bolsa impide que el Pokémon se debilite por movimientos de tipo {0}, dejándolo a 1 PS.						放在包里时，可以防止宝可梦在{0}属性招式下倒下，剩下1 HP。		
ExclusiveItemEffect.ErraticAttacker		When kept in the bag, the Pokémon's moves are more intensely affected by type match-ups.		Wenn es innerhalb des Beutels getragen wird, werden die Attacken des Pokémons von Typvorteile und -nachteile deutlich stärker betroffen.	Al llevarlo en la bolsa, los movimientos del Pokémon son más intensamente influidos por los emparejamientos de tipo.						放在包里时，使出的招式受到属性克制的影响会更强烈。		
ExclusiveItemEffect.ErraticDefender		When kept in the bag, moves used on the Pokémon are more intensely affected by type match-ups.		Wenn es innerhalb des Beutels getragen wird, werden Attacken gegen das Pokemon von Typvorteilen und -nachteilen deutlich stärker betroffen.	Al llevarlo en la bolsa, movimientos usados al Pokémon son más intensamente influidos por los emparejamientos de tipo.						放在包里时，被招式攻击受到属性克制的影响会更强烈。		
ExclusiveItemEffect.ExcessiveForce		When kept in the bag, the Pokémon will damage nearby enemies after defeating an enemy.		Wenn es innerhalb des Beutels getragen wird, schadet das Pokémon nahestehende Gegner sobald ein Gegner besiegt wurde.	Al llevarlo en la bolsa, el Pokémon dañará a enemigos cercanos tras derrotar a un enemigo. 						放在包里时，在击败对手后会伤害附近的对手。		
ExclusiveItemEffect.ExplosionGuard		When kept in the bag, the Pokémon will take reduced damage from explosions and splash damage.		Wenn es innerhalb des Beutels getragen wird, erhält das Pokémon reduzierten Schaden aufgrund von Explosionen.	Al llevarlo en la bolsa, el Pokémon recibirá daño reducido de explosiones y daños por salpicadura.						放在包里时，爆炸和溅射的伤害会降低。		
ExclusiveItemEffect.ExplosiveAttack		When kept in the bag, the Pokémon's regular attack explodes outwards with splash damage.		Wenn es innerhalb des Beutels getragen wird, kann der reguläre Angriff explodieren und weitreichenden Schaden anrichten.	Al llevarlo en la bolsa, el ataque normal del Pokémon puede explotar hacia fuera y hacer daño por salpicadura.						放在包里时，普通攻击会有爆炸溅射伤害。		
ExclusiveItemEffect.FastFriend		When kept in the bag, the Pokémon has a higher chance of recruiting wild Pokémon.		Wenn es innerhalb des Beutels getragen wird, hat das Pokémon eine höhere Chance andere wilde Pokémon zu rekrutieren.	Al llevarlo en la bolsa, el Pokémon tiene una mayor posibilidad de reclutar Pokémon salvajes.						放在包里时，会更容易招募野生宝可梦。		
ExclusiveItemEffect.FastHealer		When kept in the bag, the Pokémon's natural HP-recovery speed is boosted.		Wenn es innerhalb des Beutels getragen wird, wird KP-Regeneration des Pokémons angehoben.	Al llevarlo en la bolsa, la velocidad de recuperación de PS natural del Pokémon aumenta.						放在包里时，HP自然回复速度会提高。		
ExclusiveItemEffect.GapFiller	Works for all attacks that hit in a long distance. This includes AOE, Beams, Projectiles, etc. https://i.imgur.com/KCjMwVA.gif	When kept in the bag, some of the Pokémon's moves will fill water, lava, and pits.		Wenn es innerhalb des Beutels getragen wird, können einige Attacken des Pokémons Wasser, Lava und Schluchten ausfüllen.	Al llevarlo en la bolsa, alguno de los movimientos del Pokémon cubrirán agua, lava y agujeros.						放在包里时，宝可梦的一些招式可以填充水、岩浆和坑。		
ExclusiveItemEffect.GapProber		When kept in the bag, the Pokemon's moves and items that hit in a straight line cannot damage allies.		Wenn es innerhalb des Beutels getragen wird, können Angriffe und geworfene Items des Pokémon, die in einer geraden Linie treffen, keine Verbündeten treffen.	Al llevarlo en la bolsa, los movimientos del Pokémon y objetos que golpeen en línea no pueden dañar a aliados.						放在包里时，直线攻击的招式和道具不会伤害队友。		
ExclusiveItemEffect.Gratitude		When kept in the bag, the Pokémon gives back recovered HP when it is healed by another Pokémon.		Wenn es innerhalb des Beutels getragen wird, gibt das Pokémon genesene KP zurück, wenn es von einem anderen Pokémon geheilt wird.	Al llevarlo en la bolsa, el Pokémon devuelve los PS recuperados cuando es curado por otro Pokémon.						放在包里时，当宝可梦被治疗后，会返还部分HP。		
ExclusiveItemEffect.HealInLava		When kept in the bag, the Pokémon recovers HP when in lava.		Wenn es innerhalb des Beutels getragen wird, heilt sich das Pokémon wenn es in Lava läuft.	Al llevarlo en la bolsa, el Pokémon recupera PS cuando esté en la lava.						放在包里时，可以在岩浆中回复HP。		
ExclusiveItemEffect.HealInWater		When kept in the bag, the Pokémon recovers HP when in water.		Wenn es innerhalb des Beutels getragen wird, heilt sich das Pokémon wenn es in Wasser läuft.	Al llevarlo en la bolsa, el Pokémon recupera PS cuando esté en el agua.						放在包里时，可以在水中回复HP。		
ExclusiveItemEffect.HealOnNewFloor		When kept in the bag, the Pokémon is fully healed upon entering a new floor.		Wenn es innerhalb des Beutels getragen wird, heilt sich das Pokémon vollständig, sobald es eine neue Ebene betritt.	Al llevarlo en la bolsa, el Pokémon se cura completamente al entrar a un nuevo piso.						放在包里时，宝可梦进入新的楼层后完全康复。		
ExclusiveItemEffect.HiddenStairFinder		When kept in the bag, the Pokémon will find more Hidden Stairs when exploring in dungeons.		Wenn es innerhalb des Beutels getragen wird, findet das Pokémon mehr versteckte Treppen, wenn es den Dungeon erkundet. 	Al llevarlo en la bolsa, el Pokémon encontrará más Escaleras Secretas al explorar mazmorras.						放在包里时，会在迷宫内找到更多隐藏楼梯。		
ExclusiveItemEffect.HitAndRun		When kept in the bag, the Pokémon will take reduced damage from counter attacks.		Wenn es innerhalb des Beutels getragen wird, erhält das Pokémon weniger Schaden durch Konter Attacken.	Al llevarlo en la bolsa, el Pokémon recibirá daño reducido de contraataques.						放在包里时，受到反击的伤害会减少。		
ExclusiveItemEffect.KnockbackOnAttack		When kept in the bag, the Pokémon's regular attack will knock opponents back.		Wenn es innerhalb des Beutels getragen wird, schleudert das Pokémon gegner mit seinen regulären Angriff zurück.							放在包里时，普通攻击会击退对手。		
ExclusiveItemEffect.LavaTerrain		When kept in the bag, the Pokémon can traverse lava without being burned.		Wenn es innerhalb des Beutels getragen wird, kann das Pokémon Lava überqueren, ohne verbrannt zu werden.	Al llevarlo en la bolsa, el Pokémon puede atravesar la lava sin ser quemado.						放在包里时，宝可梦可以穿越岩浆而不被灼伤。		
ExclusiveItemEffect.LungeAttack		When kept in the bag, it changes the Pokémon's regular attack into a dash.		Wenn es innerhalb des Beutels getragen wird, wird der reguläre Angriff des Pokémon durch einen Sprintangriff ersetzt. 							放在包里时，普通攻击会变为冲撞类。		
ExclusiveItemEffect.MapStatusOnCategoryUse		When kept in the bag, the Pokémon changes the floor to {1} after using a {0} move.		Wenn es innerhalb des Beutels getragen wird, ändert das Pokémon die Ebene zu {1} wenn es eine {0} Attacke benutzt.	Al llevarlo en la bolsa, el Pokémon cambia el piso a {1} después de usar un movimiento {0}.						放在包里时，使用{0}招式后会将楼层变为{1}状态。		
ExclusiveItemEffect.MapSurveyor		When kept in the bag, it partially reveals the floor's layout the Pokémon reaches a new floor.		Wenn es innerhalb des Beutels getragen wird, deckt es einen Teil der Ebene auf, wenn das Pokémon eine neue Ebene betritt. 	Al llevarlo en la bolsa, revela parcialmente la distribución del piso cuando el Pokémon llega a un nuevo piso. 						放在包里时，到达新楼层后会显示一部分布局。		
ExclusiveItemEffect.MasterHurler		When kept in the bag, items thrown by the Pokémon will pierce through enemies.		Wenn es innerhalb des Beutels getragen wird, durchdringen Items, die von dem Pokémon geworfen werden. 							放在包里时，投掷物会穿透对手。		
ExclusiveItemEffect.MetronomePlus		When kept in the bag, it increases the Pokémon's luck when using Metronome.		Wenn es innerhalb des Beutels getragen wird, erhöht es das Glück des Pokémon beim Einsatz der Attacke Metronom.	Al llevarlo en la bolsa, aumenta la suerte del Pokémon al usar Metrónomo.						放在包里时，会增加使用挥指时的运气。		
ExclusiveItemEffect.MisfortuneMirror		When kept in the bag, the Pokémon will more easily dodge attacks if its previous move missed.		Wenn es innerhalb des Beutels getragen wird, ist es wahrscheinlicher, dass das Pokémon Angriffen ausweicht, wenn es den vorherigen Angriff verfehlt hat.	Al llevarlo en la bolsa, el Pokémon puede esquivar más fácilmente los ataques si su anterior movimiento falló.						放在包里时，如果上次攻击没有命中，会更容易躲避攻击。		
ExclusiveItemEffect.MultiRayShot		When kept in the bag, items thrown by the Pokémon will spread out like a fan.		Wenn es innerhalb des Beutels getragen wird, breiten sich geworfene Items des Pokémon fächerartig aus.							放在包里时，投掷的道具会像扇子一样散开。		
ExclusiveItemEffect.None													
ExclusiveItemEffect.Nontraitor		When kept in the bag, the Pokémon cannot damage allies with its moves.		Wenn es innerhalb des Beutels getragen wird, kann das Pokémon Verbündeten mit seinen Attacken keinen Schaden zufügen.	Al llevarlo en la bolsa, el Pokémon no puede dañar a aliados con sus movimientos.						放在包里时，使用招式时不会伤害队友。		
ExclusiveItemEffect.NoStatusInWeather		When kept in the bag, the Pokémon is protected from status conditions when the floor has the {0} status.		Wenn es innerhalb des Beutels getragen wird, wird das Pokémon von Statusveränderungen geschützt, solange die Ebene den {0} Status hat.	Al llevarlo en la bolsa, el Pokémon está protegido de problemas de estado cuando el piso tiene el estado {0}.						放在包里时，当楼层状态为{0}时，不会变为异常状态		
ExclusiveItemEffect.NVECrit		When kept in the bag, it raises the critical-hit ratio of not-very-effective hits.		Wenn es innerhalb des Beutels getragen wird, erhöht es die kritische Trefferwahrscheinlichkeit bei nicht-effektiven Attacken.	Al llevarlo en la bolsa aumenta el porcentaje de críticos en golpes no muy efectivos.						放在包里时，效果不好的招式会更容易击中要害。		
ExclusiveItemEffect.PassThroughAttacker		When kept in the bag, the Pokemon's moves and items that hit in a straight line will pass through walls.		Wenn es innerhalb des Beutels getragen wird, können Attacken und Items des Pokémon, die in einer geraden Linie fliegen, durch Wände gehen.	Al llevarlo en la bolsa, los movimientos del Pokémon y los objetos que golpean en línea recta atravesarán paredes.						放在包里时，直线攻击的招式和投掷道具可以穿过墙壁。		
ExclusiveItemEffect.PPBoost		When kept in the bag, the Pokémon gets an extra {0}PP to all of its moves.		Wenn es innerhalb des Beutels getragen wird, bekommt das Pokémon {0} extra AP für allen Attacken dazu.	Al llevarlo en la bolsa, el Pokémon recibe {0} PP extra a todos sus movimientos.						放在包里时，所有招式会获得额外的{0} PP。		
ExclusiveItemEffect.PPSaver		When kept in the bag, the Pokémon's PP cannot be lowered by the moves and abilities of opposing Pokémon.		Wenn es innerhalb des Beutels getragen wird, können die PP des Pokémon nicht durch die Aktionen und Fähigkeiten gegnerischer Pokémon gesenkt werden.	Al llevarlo en la bolsa, los PP del Pokémon no pueden bajar por movimientos y habilidades de los Pokémon oponentes.						放在包里时，招式的PP不会因为对手的招式和特性而减少。		
ExclusiveItemEffect.PracticeSwinger		When kept in the bag, the Pokémon will do increased damage if its previous move missed.		Wenn es innerhalb des Beutels getragen wird, fügt das Pokémon erhöhten Schaden zu wenn die vorige Attacke nicht trifft.	Al llevarlo en la bolsa, el Pokémon hará un mayor daño si su movimiento anterior falló.						放在包里时，如果上次攻击没有命中，之后就会造成更大的伤害。		
ExclusiveItemEffect.PressurePlus		When kept in the bag, the Pokémon will raise the PP usage of opponents that attack it.		Wenn es innerhalb des Beutels getragen wird, erhöht das Pokémon den AP-Verbrauch von Gegnern, die es angreifen.	Al llevarlo en la bolsa, el Pokémon aumentará el uso de PP de los oponentes que ataquen.						放在包里时，攻击自己的对手会消耗更多PP。		
ExclusiveItemEffect.ProjectileAttack		When kept in the bag, it changes the Pokémon's regular attack into a short projectile.		Wenn es innerhalb des Beutels getragen wird, wird der reguläre Angriff des Pokémon zum kurzen Projektil.							放在包里时，会将宝可梦的普通攻击变为短距离的投掷。		
ExclusiveItemEffect.RemoveAbilityAttack		When kept in the bag, it causes the Pokémon's regular attack to remove the target's ability.		Wenn es innerhalb des Beutels getragen wird, entfernt der reguläre Angriff des Pokémon die Fähigkeit des Ziels.	Al llevarlo en la bolsa causa que los ataques normales del Pokémon  eliminen la habilidad del objetivo.						放在包里时，普通攻击可以消除对手的特性。		
ExclusiveItemEffect.RoyalVeil		When kept in the bag, the Pokémon will gradually restore the HP of its allies when its own HP is full.		Wenn es innerhalb des Beutels getragen wird, heilt das Pokémon schrittweise die KP der Verbündeten, solange die eigenen KP voll sind.	Al llevarlo en la bolsa, el Pokémon recuperará gradualmente los PS de sus aliados cuando sus PS estén al máximo.						放在包里时，当自己的HP满了时，会逐渐回复队友的HP。		
ExclusiveItemEffect.SecondSTAB		When kept in the bag, the Pokémon's {0}-type moves are boosted.		Wenn es innerhalb des Beutels getragen wird, werden Attacken des Typs {0} für das Pokémon stärker.	Al llevarlo en la bolsa se potencia los movimientos de tipo {0} del Pokémon.						放在包里时，{0}属性招式威力会提高。		
ExclusiveItemEffect.SelfCurer		When kept in the bag, the Pokémon recovers faster from status problems.		Wenn es innerhalb des Beutels getragen wird, erholt sich das Pokémon schneller von Statusproblemen.	Al llevarlo en la bolsa, el Pokémon se recupera más rápido de los problemas de estado.						放在包里时，会更快从异常状态中恢复。		
ExclusiveItemEffect.ShopFinder		When kept in the bag, the Pokémon will find more shops when exploring in dungeons.		Wenn es innerhalb des Beutels getragen wird, findet das Pokémon beim Erkunden von Dungeons mehr Läden.							放在包里时，会在迷宫里找到更多商店。		
ExclusiveItemEffect.SleepWalker		When kept in the bag, the Pokémon will be able to move when asleep.		Wenn es innerhalb des Beutels getragen wird, kann das Pokémon sich im Schlaf bewegen.							放在包里时，可以在睡觉时移动。		
ExclusiveItemEffect.SpecialAttacker		When kept in the bag, the category of the Pokémon's regular attack is changed from physical to special.		Wenn es innerhalb des Beutels getragen wird, ändert sich die Kategorie der regulären Angriffe des Pokémon von Physisch zu Spezial.							放在包里时，普通攻击会从物理变为特殊。		
ExclusiveItemEffect.SpikeDropper		When kept in the bag, the Pokémon scatters Spikes when hit by a {0} attack.		Wenn es innerhalb des Beutels getragen wird, verteilt das Pokémon Nägel wenn es von einem {0}-Angriff getroffen wird.							放在包里时，被{0}攻击击中后，会散落尖刺。		
ExclusiveItemEffect.StairSensor		When kept in the bag, it reveals the direction of the staircase whenever the Pokémon reaches a new floor.		Wenn es innerhalb des Beutels getragen wird, zeigt es dem Pokémon beim Erreichen einer neuen Ebene den Weg zur nächsten Treppe.							放在包里时，到达新楼层后，会显示楼梯方向。		
ExclusiveItemEffect.StatDropImmune		When kept in the bag, the Pokémon cannot have its {0} lowered.		Wenn es innerhalb des Beutels getragen wird, kann der {0}-Wert des Pokémon nicht verringert werden.							放在包里时，{0}不会降低。		
ExclusiveItemEffect.StatMirror		When kept in the bag, stat changes inflicted on the Pokémon are passed to the Pokémon that caused it.		Wenn es innerhalb des Beutels getragen wird, werden Statusveränderungen, welche dem Pokémon zugefügt werden, an die Verursacher weitergegeben.							放在包里时，对宝可梦造成的状态变化会传递回去。		
ExclusiveItemEffect.StatOnCategoryUse		When kept in the bag, the Pokémon's {0} is raised slightly when it uses a {1} move.		Wenn es innerhalb des Beutels getragen wird, erhöht sich der {0}-Wert vom Pokémon ein wenig, wenn es eine {1}-Attacke verwendet.							放在包里时，使用{1}招式后会提高{0}。		
ExclusiveItemEffect.StatusImmune		When kept in the bag, the Pokémon becomes immune to the {0} status.		Wenn es innerhalb des Beutels getragen wird, ist das Pokémon immun gegen das Statusproblem {0}.							放在包里时，会免疫{0}状态。		
ExclusiveItemEffect.StatusMirror		When kept in the bag, status problems inflicted on the Pokémon are passed to the Pokémon that caused it.		Wenn es innerhalb des Beutels getragen wird, gibt das Pokémon Statusprobleme an den Verursacher weiter.							放在包里时，对宝可梦造成的异常状态会传递回去。		
ExclusiveItemEffect.StatusOnAttack		When kept in the bag, the Pokémon's regular attacks and thrown items have a chance to inflict the {0} status.		Wenn es innerhalb des Beutels getragen wird, haben reguläre Angriffe und geworfene Items des Pokémon eine Chance das Statusproblem {0} zu verursachen.							放在包里时，普通攻击和投掷道具可能造成{0}状态。		
