Key		EN	DE	IT	JA	JA-JP	ZH-HANS	FR	ES	PT
0000-charging_razor_wind-0001|data.Desc		The Pokémon is charging Razor Wind. It will unleash the move on its next turn.	Dieses Pokémon lädt Klingensturm auf. Es wird ihn in der nächsten Runde entfesseln.	Il Pokémon carica le forze per attaccare con Ventagliente nel turno successivo.			这只宝可梦正在为旋风刀蓄力，下回合将使出旋风刀。	Le Pokémon charge l'attaque Coupe-Vent. Il libère l'attaque au prochain tour.	El Pokémon está cargando Viento Cortante. Liberará el movimiento en el próximo turno.	
0000-charging_skull_bash-0000|data.Name		Charging Skull Bash	Schädelwumme aufladend	Caricando Capocciata			火箭头槌蓄力	Charge Coud'Krâne	Cargando Cabezazo	
0000-charging_skull_bash-0001|data.Desc		The Pokémon is charging Skull Bash. It will unleash the move on its next turn.	Dieses Pokémon lädt Schädelwumme auf. Es wird ihn in der nächsten Runde entfesseln.	Il Pokémon carica le forze per attaccare con Capocciata nel turno successivo.			这只宝可梦正在为火箭头槌蓄力，下回合将使出火箭头槌。	Le Pokémon charge l'attaque Coud'Krâne. Il libère l'attaque au prochain tour.	El Pokémon está cargando Cabezazo. Liberará el movimiento en el próximo turno.	
0000-charging_sky_attack-0000|data.Name		Charging Sky Attack	Himmelsfeger aufladend	Caricando Aeroattacco			神鸟猛击蓄力	Charge Piqué	Cargando Ataque Aéreo	
0000-charging_sky_attack-0001|data.Desc		The Pokémon is charging Sky Attack. It will unleash the move on its next turn.	Dieses Pokémon lädt Himmelsfeger auf. Es wird ihn in der nächsten Runde entfesseln.	Il Pokémon carica le forze per attaccare con Aeroattacco nel turno successivo.			这只宝可梦正在为神鸟猛击蓄力，下回合将使出神鸟猛击。	Le Pokémon charge l'attaque Piqué. Il libère l'attaque au prochain tour.	El Pokémon está cargando Ataque Aéreo. Liberará el movimiento en el próximo turno.	
0000-charging_solar_beam-0000|data.Name		Charging Solar Beam	Solarstrahl aufladend	Caricando Solarraggio			日光束蓄力	Charge Lance-Soleil	Cargando Rayo Solar	
0000-charging_solar_beam-0001|data.Desc		The Pokémon is charging Solar Beam. It will unleash the move on its next turn.	Dieses Pokémon lädt Solarstrahl auf. Es wird ihn in der nächsten Runde entfesseln.	Il Pokémon carica le forze per attaccare con Solarraggio nel turno successivo.			这只宝可梦正在为日光束蓄力，下回合将使出日光束。	Le Pokémon charge l'attaque Lance-Soleil. Il libère l'attaque au prochain tour.	El Pokémon está cargando Rayo Solar. Liberará el movimiento en el próximo turno.	
0000-chasing-0000|data.Name		Chasing	Verfolgend	Inseguimento			追逐	Poursuite	Persecución	
0000-chasing-0001|data.Desc		Every time the target makes a move, this Pokémon will automatically warp to it. This status wears off after a few turns.	Jedes Mal, wenn das Ziel sich bewegt, wird dieses Pokémon zum Ziel teleportiert. Dieser Status lässt nach einigen Zügen nach.	Ogni volta che il nemico si muove, il Pokémon gli si teletrasporta accanto automaticamente. Questo stato svanisce dopo un po' di turni.			每当目标移动时，这只宝可梦就会自动传送到目标附近。该状态在几回合后解除。	Chaque fois que la cible se déplace, le Pokémon est téléporté près d'elle. Ce statut disparaît après quelque tours.	Cada vez que el objetivo se mueva, el Pokémon automáticamente se teletransporta hasta él. Este estado desaparace tras unos turnos.	
0000-clamp-0000|data.Name		Clamp	eingeklemmt	Tenaglia			钳制		Tenaza	
0000-clamp-0001|data.Desc		The Pokémon is rendered incapable of any action, and takes gradual damage from the foe. This status wears off after a few turns.	Das Pokémon ist unfähig, jegliche Handlung zu durchführen und nimmt vom Gegner stetig Schaden. Dieser Status lässt nach einigen Zügen nach.	Il Pokémon è intrappolato nella tenaglia del nemico dove subisce danni un po' alla volta e non è in grado di compiere qualsiasi azione. Questo stato svanisce dopo un po' di turni.			这只宝可梦无法做任何事情，并且会持续受到对手的伤害。该状态在几回合后解除。	Le Pokémon est incapable d'effectuer une action et subit des dégâts progressifs de l'ennemi. Ce statut disparaît après quelques tours.	El Pokémon es incapaz de realizar ninguna acción, y recibe daño gradual del enemigo. Este estado desaparece tras unos turnos.	
0000-confuse-0000|data.Name		Confused	Verwirrt	Confuso			混乱	Confus	Confuso	Confuso
0000-confuse-0001|data.Desc		The Pokémon is confused, causing its movements and attacks to vary wildly. Attacks that target foes can also target friends, and vice versa.	Das Pokémon ist verwirrt, wodurch die Richtung von Bewegungen und Attacken wild variiert. Angriffe, welche den Gegner als Ziel wählen, können nun auf Verbündete gewirkt werden und umgekehrt.	Il Pokémon è confuso e non è più in grado di controllare la direzione dei suoi spostamenti e delle sue mosse, pertanto potrebbe colpire anche gli alleati.			这只宝可梦混乱了，它的移动方式和攻击方式变得不受控制，攻击对手时可能误伤队友，反之亦然。	Le Pokémon est confus et la direction de ses attaques est aléatoire. Ses attaques peuvent toucher ses alliés.	El Pokémon está confuso, causando que sus movimientos y ataques varíen a lo loco. Los ataques a objetivos enemigos también pueden dañar a aliados, y viceversa.	
0000-conversion-0000|data.Name		Conversion	Umwandlung	Conversione			纹理	Conversion	Conversión	
0000-conversion-0001|data.Desc		The Pokémon will change its type to match its moves. This status wears off after a few turns.	Das Pokémon wird seinen Typ nach seinen Attacken verändern. Dieser Status lässt nach einigen Zügen nach.	Il Pokémon cambia il suo tipo per adattarsi alle sue mosse. Questo stato svanisce dopo un po' di turni.			这只宝可梦的属性将会与使出的招式属性同步。该状态在几回合后解除。	Le Pokémon va changer de type pour correspondre à ses capacités. Ce statut disparaît après quelques tours.	El Pokémon cambiará su tipo para coincidir con sus movimientos. Este estado desaparece tras unos turnos.	
0000-conversion_2-0000|data.Name		Conversion 2	Umwandlung 2	Conversione2			纹理2	Conversion 2	Conversión 2	
0000-conversion_2-0001|data.Desc		The Pokémon will change its type to resist incoming moves. This status wears off after a few turns.	Das Pokémon verändert seinen Typ, um eingehende Attacken widerstehen zu können. Dieser Status lässt nach einigen Zügen nach.	Il Pokémon cambia il suo tipo per resistere alle mosse che sta per ricevere. Questo stato svanisce dopo un po' di turni.			这只宝可梦的属性将会改变其为抵抗对手的属性。该状态在几回合后解除。	Le Pokémon va changer de type pour résister des capacités infligés. Ce statut disparaît après quelques tours.	El Pokémon cambiará su tipo para resistir próximos movimientos. Este estado desaparece tras unos turnos.	
0000-cooldown-0000|data.Name		Cooldown					冷却			
0000-cooldown-0001|data.Desc		The Pokémon has one of its moves on cooldown and cannot use it.					这只宝可梦有一个招式在冷却，还无法使用。			
0000-counter-0000|data.Name		Counter	Konter	Contrattacco			双倍奉还	Riposte	Contraataque	
0000-counter-0001|data.Desc		The Pokémon will return damage from physical attacks back at the user with double the power. This status wears off after a few turns.	Das Pokémon wirft jeglichen Schaden von physischen Attacken doppelt so stark an seinen Angreifer zurück. Dieser Status lässt nach einigen Zügen nach.	Il Pokémon restituisce il doppio dei danni subiti da attacchi fisici al nemico. Questo stato svanisce dopo un po' di turni.			这只宝可梦将会把受到的物理攻击伤害以双倍返还给攻击者。该状态在几回合后解除。	Le Pokémon renvoie le double des dégâts des Attaques Physiques à l'ennemi. Ce statut disparaît après quelques tours.	El Pokémon devolverá el daño de los ataques físicos al usuario con el doble de potencia. Este estado desaparece tras unos turnos.	
0000-crafty_shield-0000|data.Name		Crafty Shield					戏法防守			
0000-crafty_shield-0001|data.Desc		The Pokémon is protected from status moves. This status wears off after a few turns.					这只宝可梦受到了保护，不会受到变化招式的影响。该状态在几回合后解除。			
0000-crits_landed-0000|data.Name		Crits Landed	Kritische Treffer gelandet							
0000-crits_landed-0001|data.Desc										
0000-cud_chew-0000|data.Name		Cud Chew								
0000-cud_chew-0001|data.Desc		The Pokémon has eaten a berry, and will eat it again a few turns in the future.								
0000-cursed-0000|data.Name		Cursed	Verflucht	Maledizione			诅咒	Malédiction	Maldecido	
0000-cursed-0001|data.Desc		The Pokémon is cursed and will take damage each time it attacks a foe. This status wears off after a few turns.	Das Pokémon ist verflucht und nimmt jedes Mal Schaden, wenn es einen Gegner angreift. Dieser Status lässt nach einigen Zügen nach.	Il Pokémon viene maledetto e subisce dei danni ogni qualvota che attacca un avversario. Questo stato svanisce dopo un po' di turni.			这只宝可梦被诅咒了，每次攻击对手后都会受到伤害。该状态在几回合后解除。	Le Pokémon est maudit et va prendre des dégâts chaque fois qu'il attaque un ennemi. Ce statut disparaît après quelques tours.	El Pokémon está maldecido y recibirá daño cada turno que ataque a un enemigo. Este estado desaparece tras unos turnos.	
0000-decoy-0000|data.Name		Decoy	Köder	Esca			诱饵	Appât	Señuelo	
0000-decoy-0001|data.Desc		The Pokémon is made into a Decoy, making it a target of everyone's attacks. This status wears off after many turns have passed.	Das Pokémon wird zum Köder, wodurch es zum Ziel aller Angriffe in der Nähe wird. Dieser Status lässt nach vielen Zügen nach.	Il Pokémon diventa un'Esca, quindi il bersaglio preferito degli attacchi nemici. Questo stato svanisce dopo diversi turni.			这只宝可梦变成了一个诱饵，成为了被所有宝可梦攻击的目标。该状态在大量回合后解除。	Le Pokémon devient un appât, il est la cible des attaques de tout le monde. Ce statut disparaît après plusieurs tours.	El Pokémon se convierte en un Señuelo, haciéndolo un objetivo de los ataques de todos. Este estado desaparece tras pasar varios turnos.	
0000-defense_curl-0000|data.Name		Defense Curl	Einigler	Ricciolscudo			变圆	Boul'Armure	Rizo Defensa	
0000-defense_curl-0001|data.Desc										
0000-destiny_bond-0000|data.Name		Destiny Bond	Abgangsbund	Destinobbligato			同命	Lien du Destin	Mismo Destino	
0000-destiny_bond-0001|data.Desc		Any damage done to this Pokémon from direct attacks is also done to the target of the Destiny Bond. This status wears off after a few turns, or if the Pokémon moves.	Jeglicher Schaden, der an diesem Pokémon angerichtet wird, wird auch beim Ziel des Abgangsbundes verursacht. Dieser Status lässt entweder nach einigen Zügen nach oder wenn sich das Pokémon bewegt.	Qualsiasi danno da un attacco diretto inflitto al Pokémon viene inflitto anche al bersaglio di Destinobbligato. Questo stato svanisce dopo un po' di turni o se il Pokémon si muove.			这只宝可梦受到任何直接攻击并造成伤害后，也会对被同命的目标造成伤害。该状态在几回合后，或在移动后解除。	Tout dégat de capacités directes effectué à ce Pokémon sont transmises à la cible du Lien du Destin. Ce statut disparait au bout de quelques tours oàu si le Pokémon bouge.	Todo el daño recibido por el Pokémon por ataques directos también lo recibe el objetivo de Mismo Destino. Este estado desparace tras unos turnos, o hasta que el Pokémon se mueva.	
0000-detect-0000|data.Name		Detect	Scanner	Individua			看穿	Détection	Detección	
0000-detect-0001|data.Desc		The Pokémon is protected from all moves. This status wears off after a few turns.	Das Pokémon ist gegen alle Attacken geschützt. Dieser Status lässt nach ein paar Runden nach.	Il Pokémon è protetto da tutte le mosse. Questo stato svanisce dopo un po' di turni.			这只宝可梦受到了保护，不会受到任何招式影响。该状态在几回合后解除。			
0000-digging-0000|data.Name		Digging	Schaufelnd	Fossa			挖洞	Tunnel	Excavando	
0000-digging-0001|data.Desc		The Pokémon is digging underground and can avoid most moves and obstacles. It will resurface in a few turns, or when it chooses to attack.	Dieses Pokémon gräbt sich in den Boden und kann dadurch den meisten Angriffen und Hindernissen ausweichen. Es taucht entweder in einigen Zügen wieder auf oder wenn es sich entscheidet anzugreifen.	Il Pokémon scava una fossa ed evita la maggior parte delle mosse e degli ostacoli. Riapparare dopo un po' di turni o quando sceglie di attaccare.			这只宝可梦潜入了地下，可以躲避大多数招式和障碍。在几回合后或主动选择攻击后回到地面。	Le Pokémon creuse sous le sol, évitant ainsi la plupart des attaques et obstacles. Il refait surface après plusieurs tours ou lorqu'il choisit d'attaquer.	El Pokémon está excavando bajo tierra y puede esquivar muchos movimientos y obstáculos. Volverá a la superficie en unos turnos, o cuando decida atacar.	
0000-disable-0000|data.Name		Disable	Aussetzer	Inibitore			招式禁用	Entrave		
0000-disable-0001|data.Desc		The Pokémon has one of its moves disabled and cannot use it.	Eine Attacke des Pokémon ist blockiert und kann nicht benutzt werden.	Una delle mosse del Pokémon viene disabilitata e non può essere utilizzata.			这只宝可梦的一个招式被禁用了，将无法使用该招式。	Une capacité du Pokémon est entravée, il ne peut plus l'utiliser.		
0000-diving-0000|data.Name		Diving	Tauchend	Sub			潜水	Plongée	Buceando	
0000-diving-0001|data.Desc		The Pokémon is hiding underwater and can avoid most moves. It will resurface in a few turns, or when it chooses to attack.	Das Pokémon taucht unter Wasser ab und kann dadurch den meisten Angriffen und Hindernissen ausweichen. Es taucht entweder in einigen Zügen wieder auf oder wenn es sich entscheidet anzugreifen.	Il Pokémon va sott'acqua ed evita la maggior parte delle mosse. Riappare dopo un po' di turni o quando sceglie di attaccare.			这只宝可梦正潜入水下，可以躲避大多数招式。在几回合后或主动选择攻击后回到水面。	Le Pokémon se cache sous l'eau, évitant ainsi la plupart des attaques. Il refait surface après plusieurs tours ou lorqu'il choisit d'attaquer.	El Pokémon se está ocultando bajo el agua y puede esquivar muchos movimientos. Volverá a la superficie en unos turnos, o cuando decida atacar.	
0000-doom_desire-0000|data.Name		Doom Desire	Kismetwunsch	Desiderio Fatale			破灭之愿		Deseo Oculto	
0000-doom_desire-0001|data.Desc		The Pokémon will be attacked at a few turns in the future. Nearby allies will also take splash damage when the attack hits.	Das Pokémon wird in der nahen Zukunft angegriffen. Sich in der Nähe befindene Verbündete des Ziels erhalten auch Schaden wenn die Attacke trifft.	Il Pokémon viene attaccatto dopo un po' di turni. Gli alleati vicini vengono allontanati quando l'attacco colpisce.			这只宝可梦将在未来的几回合受到攻击。当攻击到来，附近的队友也会受到溅射伤害。		El Pokémon será atacado en unos turnos en el futuro. Aliados cercanos recibirán daño por salpicadura cuando el ataque impacte.	
0000-electrified-0000|data.Name		Electrified	Elektrifiziert	Elettrocontagio			输电	Électrifié		
0000-electrified-0001|data.Desc		The Pokémon has all of its moves converted to the Electric-type. This status wears off after a few turns.	Alle Attacken des Pokémon sind zum Elektro-Typ umgewandelt worden. Dieser Status lässt nach ein paar Runden nach.	Il tipo di tutte le mosse del Pokémon viene convertito nel tipo Elettro. Questo stato svanisce dopo un po' di turni.			这只宝可梦的招式都变为了电属性。该状态在几回合后解除。			
0000-embargo-0000|data.Name		Embargo	Itemsperre	Divieto			查封	Embargo	Embargo	
0000-embargo-0001|data.Desc		The Pokémon is rendered incapable of using any items, and its held item loses its effect. This status wears off after many turns have passed.	Das Pokémon kann keine Items benutzen und sein gehaltenes Item verliert jeglichen Effekt. Dieser Status lässt nach vielen Zügen nach.	Il Pokémon non può utilizzare strumenti e lo strumento tenuto perde il suo effetto. Questo stato svanisce dopo diversi turni.			这只宝可梦无法使用道具，携带的道具也会失去效果。该状态在大量回合后解除。	Le Pokémon est incapable d'utiliser des objets et perd l'effet de son objet tenu. Ce statut disparaît après plusieurs tours.	El Pokémon es incapaz de usar cualquier objeto, y los objetos que lleve pierden su efecto. Este estado desaparece tras pasar varios turnos.	
0000-encore-0000|data.Name		Encore	Zugabe	Ripetizione			再来一次	Encore	Otra Vez	
0000-encore-0001|data.Desc		The Pokémon is given an encore, forcing it to repeat the last move it used. This status wears off after a few turns.	Das Pokémon gibt eine Zugabe, wodurch es gezwungen ist, die zuletzt eingesetzte Attacke zu nutzen. Dieser Status lässt nach einigen Zügen nach.	Il Pokémon è costretto a ripetere l'ultima mossa utilizzata. Questo stato svanisce dopo un po' di turni.			这只宝可梦接受了再来一次，迫使它重复使用上一次的招式。该状态在几回合后解除。	Le Pokémon subit un Encore le forçant à répéter la dernière capacité utilisé. Ce statut disparaît après quelques tours.		
0000-endure-0000|data.Name		Endure	Ausdauer	Resistenza			挺住	Ténacité	Aguante	
0000-endure-0001|data.Desc		The Pokémon is bracing itself, preventing it from fainting from a direct attack. This status wears off after a few turns, or if the Pokémon moves.	Das Pokémon macht sich bereit, den nächsten direkten Angriff zu widerstehen, wodurch es nicht besiegt werden kann. Dieser Status lässt entweder nach einigen Zügen nach oder wenn sich das Pokémon bewegt.	Qualunque sia il danno, il Pokémon rimane con almeno 1 PS. Questo stato svanisce dopo un po' di turni o se il Pokémon si muove.			这只宝可梦挺住了，不会因为直接攻击而被打倒。该状态在几回合后，或移动后解除。	Le Pokémon rassemble ses forces, il ne peut plus tomber K.O d'une attaque directe. Ce statut disparaît après quelques tours ou si le Pokémon bouge.	El Pokémon se está preparando, impidiendo debilitarse de un ataque directo. Este estado desaparece tras unos turnos, o si el Pokémon se mueve.	
0000-enraged-0000|data.Name		Enraged	Raserei	Ira			愤怒	Frénétique	Furioso	
0000-enraged-0001|data.Desc		The Pokémon will gain a boost to its Attack each time it takes damage from an attack. This status wears off after a few turns.	Das Pokémon erhält jedes Mal einen Angriffswertschub, wenn es von einem Angriff Schaden erhält. Dieser Status lässt nach einigen Zügen nach.	Il Pokémon è in preda alla rabbia e il suo Attacco aumenta ogni volta che subisce un attacco. Questo stato svanisce dopo un po' di turni.			这只宝可梦每次受到攻击时，其攻击都会提高。该状态在几回合后解除。	Le Pokémon gagne un boost d'Attaque à chaque fois qu'il subit des dégâts. Ce statut disparaît après quelques tours.	El Pokémon recibirá un aumento de su Ataque cada vez que reciba daño de un ataque. Este estado desaparece tras unos turnos.	
0000-exposed-0000|data.Name		Exposed	Offengelegt	Rivelazione			被识破	Vulnérable	Expuesto	
0000-exposed-0001|data.Desc		All attacks made on the Pokémon will ignore its resistances, immunities, and evasion changes.	Alle Attacken, die dieses Pokémon als Ziel auswählen, ignorieren Resistenzen, Immunitäten und Fluchtwertsveränderungen.	Tutti gli attacchi subiti dal Pokémon ignorano resistenze, immunità e cambiamenti all'elusione.			所有对这只宝可梦的攻击将无视其相应的抗性、免疫和闪避率变化。	Toutes les attaques infligés au Pokémon ne prennent plus en compte ses faiblesses, résistances et son esquive	Todos los ataques hechos al Pokémon ignorarán sus resistencias, inmunidades y cambios de evasión.	
0000-fairy_lock-0000|data.Name		Fairy Lock					妖精之锁			
0000-fairy_lock-0001|data.Desc		The Pokémon will become immobilized after attacking.					这只宝可梦在发动攻击后会被禁足。			
0000-fire_pledge-0000|data.Name		Fire Pledge	Feuersäulen	Fiammapatto			火之誓约	Aire de Feu		
0000-fire_pledge-0001|data.Desc		The Pokémon is ready to unleash a follow-up attack whenever a foe is attacked. This status wears off after a few turns.	Das Pokémon ist bereit jedes Mal, wenn ein Gegner angegriffen wird, eine nachfolgende Attacke einzusetzen. Dieser Status lässt nach einigen Zügen nach.	Il Pokémon è pronto a sferrare un ulteriore attacco non appena un nemico viene attaccato. Questo stato svanisce dopo un po' di turni.			这只宝可梦随时准备在对手受到攻击后发动后续攻击。该状态在几回合后解除。	Le Pokémon est prêt à libérer une attaque suivie dès qu'un ennemi est attaqué. Ce statut disparaît après quelques tours.		
0000-fire_spin-0000|data.Name		Fire Spin	Feuerwirbel	Turbofuoco			火焰旋涡	Danse Flamme	Giro Fuego	
0000-fire_spin-0001|data.Desc		The Pokémon is trapped in a vortex of fire, taking gradual damage and preventing it from moving. This status wears off after a few turns.	Das Pokémon ist in einem Wirbel aus Flammen gefangen, wodurch es stetig Schaden erhält und jegliche Bewegungen von ihm verhindert werden. Dieser Status lässt nach einigen Zügen nach.	Il Pokémon viene intrappolato in un vortice di fuoco che lo immobilizza e gli infligge danni un po' alla volta. Questo stato svanisce dopo un po' di turni.			这只宝可梦被困在了火焰旋涡中，每回合都会受到少量伤害并且无法移动。该状态在几回合后解除。	Le Pokémon est piégé dans un vortex de feu, il est immobilisé et prend régulièrement des dégâts. Ce statut disparaît après quelques tours.	El Pokémon es atrapado en un vórtice de fuego, recibiendo daño gradual e impidiendo moverse. Este estado desaparece tras unos turnos.	
0000-flinch-0000|data.Name		Cringing	Zurückschrecken	Tentennamento			畏缩	Apeuré	Encogido	
0000-flinch-0001|data.Desc		The Pokémon is cringing and cannot attack or use items. This status wears off on the next turn.	Das Pokémon ist zurückgeschreckt und kann weder angreifen noch Items nutzen. Dieser Status lässt im nächsten Zug nach.	Il Pokémon non può sferrare mosse o utilizzare strumenti. Questo stato svanisce il turno successivo.			这只宝可梦畏缩了，无法使用道具或进行攻击。该状态在下一回合解除。	Le Pokémon a peur et ne peut pas attaquer ou utiliser d'objet. Ce statut disparaît au tour suivant.	El Pokémon está encogido y no puede atacar o usar objetos. Este estado desaparece en el siguiente turno.	
