Key	Comment	EN	FR	DE	ES	PT	IT	KO	JA	JA-JP	ZH-HANS	ZH-HANT	RU
0000-all_protect-0000|data.Name		All Protect					Proteggitutti				全面保护																	
0000-charge-0001|data.Desc		The Pokémon is charging electrical energy, boosting the power of an Electric-type attack. This status wears off after a few turns.	Le Pokémon est chargé d'énergie électrique, ses capacités Électrik sont boostées. Ce statut disparaît après quelques tours.	Das Pokémon lädt elektrische Energie auf, wodurch es die Kraft von Elektro-Attacken verstärkt. Dieser Status lässt nach einigen Zügen nach.	El Pokémon está cargando energía eléctrica, potenciando los ataques de tipo Eléctrico. Este estado desaparece tras unos turnos.		Il Pokémon si carica di energia elettrica aumentando la potenza delle mosse di tipo Elettro. Questo stato svanisce dopo un po' di turni.				这只宝可梦正在蓄积电能，电属性招式的威力增加。该状态在几回合后解除。																	
0000-charging_focus_punch-0000|data.Name		Charging Focus Punch	Charge Mitra-Poing	Power-Punch aufladend	Cargando Puño Certero		Caricando Centripugno				真气拳蓄力																	
0000-charging_focus_punch-0001|data.Desc		The Pokémon is charging Focus Punch. It will unleash the move on its next attack.	Le Pokémon charge l'attaque Mitra-Poing. Il libère l'attaque au prochain tour.	Dieses Pokémon lädt Power-Punch auf. Es wird ihn in der nächsten Runde entfesseln.	El Pokémon está cargando Puño Certero. Liberará el movimiento en el próximo turno.		Il Pokémon carica le forze per attaccare con Centripugno nel turno successivo.				这只宝可梦正在为真气拳蓄力，下回合将使出真气拳。																	
0000-charging_razor_wind-0000|data.Name		Charging Razor Wind	Charge Coupe-Vent	Klingensturm aufladend	Cargando Viento Cortante		Caricando Ventagliente				旋风刀蓄力																	
0000-charging_razor_wind-0001|data.Desc		The Pokémon is charging Razor Wind. It will unleash the move on its next turn.	Le Pokémon charge l'attaque Coupe-Vent. Il libère l'attaque au prochain tour.	Dieses Pokémon lädt Klingensturm auf. Es wird ihn in der nächsten Runde entfesseln.	El Pokémon está cargando Viento Cortante. Liberará el movimiento en el próximo turno.		Il Pokémon carica le forze per attaccare con Ventagliente nel turno successivo.				这只宝可梦正在为旋风刀蓄力，下回合将使出旋风刀。																	
0000-charging_skull_bash-0000|data.Name		Charging Skull Bash	Charge Coud'Krâne	Schädelwumme aufladend	Cargando Cabezazo		Caricando Capocciata				火箭头槌蓄力																	
0000-charging_skull_bash-0001|data.Desc		The Pokémon is charging Skull Bash. It will unleash the move on its next turn.	Le Pokémon charge l'attaque Coud'Krâne. Il libère l'attaque au prochain tour.	Dieses Pokémon lädt Schädelwumme auf. Es wird ihn in der nächsten Runde entfesseln.	El Pokémon está cargando Cabezazo. Liberará el movimiento en el próximo turno.		Il Pokémon carica le forze per attaccare con Capocciata nel turno successivo.				这只宝可梦正在为火箭头槌蓄力，下回合将使出火箭头槌。																	
0000-charging_sky_attack-0000|data.Name		Charging Sky Attack	Charge Piqué	Himmelsfeger aufladend	Cargando Ataque Aéreo		Caricando Aeroattacco				神鸟猛击蓄力																	
0000-charging_sky_attack-0001|data.Desc		The Pokémon is charging Sky Attack. It will unleash the move on its next turn.	Le Pokémon charge l'attaque Piqué. Il libère l'attaque au prochain tour.	Dieses Pokémon lädt Himmelsfeger auf. Es wird ihn in der nächsten Runde entfesseln.	El Pokémon está cargando Ataque Aéreo. Liberará el movimiento en el próximo turno.		Il Pokémon carica le forze per attaccare con Aeroattacco nel turno successivo.				这只宝可梦正在为神鸟猛击蓄力，下回合将使出神鸟猛击。																	
0000-charging_solar_beam-0000|data.Name		Charging Solar Beam	Charge Lance-Soleil	Solarstrahl aufladend	Cargando Rayo Solar		Caricando Solarraggio				日光束蓄力																	
0000-charging_solar_beam-0001|data.Desc		The Pokémon is charging Solar Beam. It will unleash the move on its next turn.	Le Pokémon charge l'attaque Lance-Soleil. Il libère l'attaque au prochain tour.	Dieses Pokémon lädt Solarstrahl auf. Es wird ihn in der nächsten Runde entfesseln.	El Pokémon está cargando Rayo Solar. Liberará el movimiento en el próximo turno.		Il Pokémon carica le forze per attaccare con Solarraggio nel turno successivo.				这只宝可梦正在为日光束蓄力，下回合将使出日光束。																	
0000-chasing-0000|data.Name		Chasing	Poursuite	Verfolgend	Persecución		Inseguimento				追逐																	
0000-chasing-0001|data.Desc		Every time the target makes a move, this Pokémon will automatically warp to it. This status wears off after a few turns.	Chaque fois que la cible se déplace, le Pokémon est téléporté près d'elle. Ce statut disparaît après quelque tours.	Jedes Mal, wenn das Ziel sich bewegt, wird dieses Pokémon zum Ziel teleportiert. Dieser Status lässt nach einigen Zügen nach.	Cada vez que el objetivo se mueva, el Pokémon automáticamente se teletransporta hasta él. Este estado desaparace tras unos turnos.		Ogni volta che il nemico si muove, il Pokémon gli si teletrasporta accanto automaticamente. Questo stato svanisce dopo un po' di turni.				每当目标移动时，这只宝可梦就会自动传送到目标附近。该状态在几回合后解除。																	
0000-clamp-0000|data.Name	This string needs to fit in MSG_TRAP_END, ex. "Bulbasaur was freed from Clamp!"	Clamp		eingeklemmt	Tenaza		Tenaglia				钳制																	
0000-clamp-0001|data.Desc		The Pokémon is rendered incapable of any action, and takes gradual damage from the foe. This status wears off after a few turns.	Le Pokémon est incapable d'effectuer une action et subit des dégâts progressifs de l'ennemi. Ce statut disparaît après quelques tours.	Das Pokémon ist unfähig, jegliche Handlung zu durchführen und nimmt vom Gegner stetig Schaden. Dieser Status lässt nach einigen Zügen nach.	El Pokémon es incapaz de realizar ninguna acción, y recibe daño gradual del enemigo. Este estado desaparece tras unos turnos.		Il Pokémon è intrappolato nella tenaglia del nemico dove subisce danni un po' alla volta e non è in grado di compiere qualsiasi azione. Questo stato svanisce dopo un po' di turni.				这只宝可梦无法做任何事情，并且会持续受到对手的伤害。该状态在几回合后解除。																	
0000-confuse-0000|data.Name		Confused	Confus	Verwirrt	Confuso	Confuso	Confuso				混乱																	
0000-confuse-0001|data.Desc		The Pokémon is confused, causing its movements and attacks to vary wildly. Attacks that target foes can also target friends, and vice versa.	Le Pokémon est confus et la direction de ses attaques est aléatoire. Ses attaques peuvent toucher ses alliés.	Das Pokémon ist verwirrt, wodurch die Richtung von Bewegungen und Attacken wild variiert. Angriffe, welche den Gegner als Ziel wählen, können nun auf Verbündete gewirkt werden und umgekehrt.	El Pokémon está confuso, causando que sus movimientos y ataques varíen a lo loco. Los ataques a objetivos enemigos también pueden dañar a aliados, y viceversa.		Il Pokémon è confuso e non è più in grado di controllare la direzione dei suoi spostamenti e delle sue mosse, pertanto potrebbe colpire anche gli alleati.				这只宝可梦混乱了，它的移动方式和攻击方式变得不受控制，攻击对手时可能误伤队友，反之亦然。																	
0000-conversion-0000|data.Name		Conversion	Conversion	Umwandlung	Conversión		Conversione				纹理																	
0000-conversion-0001|data.Desc		The Pokémon will change its type to match its moves. This status wears off after a few turns.	Le Pokémon va changer de type pour correspondre à ses capacités. Ce statut disparaît après quelques tours.	Das Pokémon wird seinen Typ nach seinen Attacken verändern. Dieser Status lässt nach einigen Zügen nach.	El Pokémon cambiará su tipo para coincidir con sus movimientos. Este estado desaparece tras unos turnos.		Il Pokémon cambia il suo tipo per adattarsi alle sue mosse. Questo stato svanisce dopo un po' di turni.				这只宝可梦的属性将会与使出的招式属性同步。该状态在几回合后解除。																	
0000-conversion_2-0000|data.Name		Conversion 2	Conversion 2	Umwandlung 2	Conversión 2		Conversione2				纹理2																	
0000-conversion_2-0001|data.Desc		The Pokémon will change its type to resist incoming moves. This status wears off after a few turns.		Das Pokémon verändert seinen Typ, um eingehende Attacken widerstehen zu können. Dieser Status lässt nach einigen Zügen nach.	El Pokémon cambiará su tipo para resistir próximos movimientos. Este estado desaparece tras unos turnos.		Il Pokémon cambia il suo tipo per resistere alle mosse che sta per ricevere. Questo stato svanisce dopo un po' di turni.				这只宝可梦的属性将会改变其为抵抗对手的属性。该状态在几回合后解除。																	
0000-counter-0000|data.Name		Counter	Riposte	Konter	Contraataque		Contrattacco				双倍奉还																	
0000-counter-0001|data.Desc		The Pokémon will return damage from physical attacks back at the user with double the power. This status wears off after a few turns.	Le Pokémon renvoie le double des dégâts des Attaques Physiques à l'ennemi. Ce statut disparaît après quelques tours.	Das Pokémon wirft jeglichen Schaden von physischen Attacken doppelt so stark an seinen Angreifer zurück. Dieser Status lässt nach einigen Zügen nach.	El Pokémon devolverá el daño de los ataques físicos al usuario con el doble de potencia. Este estado desaparece tras unos turnos.		Il Pokémon restituisce il doppio dei danni subiti da attacchi fisici al nemico. Questo stato svanisce dopo un po' di turni.				这只宝可梦将会把受到的物理攻击伤害以双倍返还给攻击者。该状态在几回合后解除。																	
0000-crits_landed-0000|data.Name		Crits Landed																										
0000-crits_landed-0001|data.Desc																												
0000-cursed-0000|data.Name		Cursed	Malédiction	Verflucht	Maldecido		Maledizione				诅咒																	
0000-cursed-0001|data.Desc		The Pokémon is cursed and will take damage each time it attacks a foe. This status wears off after a few turns.	Le Pokémon est maudit et va prendre des dégâts chaque fois qu'il attaque un ennemi. Ce statut disparaît après quelques tours.	Das Pokémon ist verflucht und nimmt jedes Mal Schaden, wenn es einen Gegner angreift. Dieser Status lässt nach einigen Zügen nach.	El Pokémon está maldecido y recibirá daño cada turno que ataque a un enemigo. Este estado desaparece tras unos turnos.		Il Pokémon viene maledetto e subisce dei danni ogni qualvota che attacca un avversario. Questo stato svanisce dopo un po' di turni.				这只宝可梦被诅咒了，每次攻击对手后都会受到伤害。该状态在几回合后解除。																	
0000-decoy-0000|data.Name		Decoy	Appât	Köder	Señuelo		Esca				诱饵																	
0000-decoy-0001|data.Desc		The Pokémon is made into a Decoy, making it a target of everyone's attacks. This status wears off after many turns have passed.	Le Pokémon devient un appât, il est la cible des attaques de tout le monde. Ce statut disparaît après plusieurs tours.	Das Pokémon wird zum Köder, wodurch es zum Ziel aller Angriffe in der Nähe wird. Dieser Status lässt nach vielen Zügen nach.	El Pokémon se convierte en un Señuelo, haciéndolo un objetivo de los ataques de todos. Este estado desaparece tras pasar varios turnos.		Il Pokémon diventa un'Esca, quindi il bersaglio preferito degli attacchi nemici. Questo stato svanisce dopo diversi turni.				这只宝可梦变成了一个诱饵，成为了被所有宝可梦攻击的目标。该状态在大量回合后解除。																	
0000-defense_curl-0000|data.Name		Defense Curl	Boul'Armure	Einigler	Rizo Defensa		Ricciolscudo				变圆																	
0000-defense_curl-0001|data.Desc																												
0000-destiny_bond-0000|data.Name		Destiny Bond	Prlvt Destin	Abgangsbund	Mismo Destino		Destinobbligato				同命																	
0000-destiny_bond-0001|data.Desc		Any damage done to this Pokémon from direct attacks is also done to the target of the Destiny Bond. This status wears off after a few turns, or if the Pokémon moves.		Jeglicher Schaden, der an diesem Pokémon angerichtet wird, wird auch beim Ziel des Abgangsbundes verursacht. Dieser Status lässt entweder nach einigen Zügen nach oder wenn sich das Pokémon bewegt.	Todo el daño recibido por el Pokémon por ataques directos también lo recibe el objetivo de Mismo Destino. Este estado desparace tras unos turnos, o hasta que el Pokémon se mueva.		Qualsiasi danno da un attacco diretto inflitto al Pokémon viene inflitto anche al bersaglio di Destinobbligato. Questo stato svanisce dopo un po' di turni o se il Pokémon si muove.				这只宝可梦受到任何直接攻击并造成伤害后，也会对被同命的目标造成伤害。该状态在几回合后，或宝可梦移动后解除。																	
0000-detect-0000|data.Name		Detect	Détection	Scanner	Detección		Individua				看穿																	
0000-detect-0001|data.Desc		The Pokémon is protected from all moves. This status wears off after a few turns.					Il Pokémon è protetto da tutte le mosse. Questo stato svanisce dopo un po' di turni.				这只宝可梦受到了保护，不会受到任何招式影响。该状态在几回合后解除。																	
0000-digging-0000|data.Name		Digging	Tunnel	Schaufelnd	Excavando		Fossa				挖洞																	
0000-digging-0001|data.Desc		The Pokémon is digging underground and can avoid most moves and obstacles. It will resurface in a few turns, or when it chooses to attack.	Le Pokémon creuse sous le sol, évitant ainsi la plupart des attaques et obstacles. Il refait surface après plusieurs tours ou lorqu'il choisit d'attaquer.	Dieses Pokémon gräbt sich in den Boden und kann dadurch den meisten Angriffen und Hindernissen ausweichen. Es taucht entweder in einigen Zügen wieder auf oder wenn es sich entscheidet anzugreifen.	El Pokémon está excavando bajo tierra y puede esquivar muchos movimientos y obstáculos. Volverá a la superficie en unos turnos, o cuando decida atacar.		Il Pokémon scava una fossa ed evita la maggior parte delle mosse e degli ostacoli. Riapparare dopo un po' di turni o quando sceglie di attaccare.				这只宝可梦潜入了地下，可以躲避大多数招式和障碍。在几回合后或主动选择攻击后回到地面。																	
0000-disable-0000|data.Name		Disable	Entrave	Aussetzer			Inibitore				招式禁用																	
0000-disable-0001|data.Desc		The Pokémon has one of its moves disabled and cannot use it.	Une capacité du Pokémon est entravée, il ne peut plus l'utiliser.	Eine Attacke des Pokémon ist blockiert und kann nicht benutzt werden.			Una delle mosse del Pokémon viene disabilitata e non può essere utilizzata.				这只宝可梦的一个招式被禁用了，将无法使用该招式。																	
0000-diving-0000|data.Name		Diving	Plongée	Tauchend	Buceando		Sub				潜水																	
0000-diving-0001|data.Desc		The Pokémon is hiding underwater and can avoid most moves. It will resurface in a few turns, or when it chooses to attack.	Le Pokémon se cache sous l'eau, évitant ainsi la plupart des attaques. Il refait surface après plusieurs tours ou lorqu'il choisit d'attaquer.	Das Pokémon taucht unter Wasser ab und kann dadurch den meisten Angriffen und Hindernissen ausweichen. Es taucht entweder in einigen Zügen wieder auf oder wenn es sich entscheidet anzugreifen.	El Pokémon se está ocultando bajo el agua y puede esquivar muchos movimientos. Volverá a la superficie en unos turnos, o cuando decida atacar.		Il Pokémon va sott'acqua ed evita la maggior parte delle mosse. Riappare dopo un po' di turni o quando sceglie di attaccare.				这只宝可梦正潜入水下，可以躲避大多数招式。在几回合后或主动选择攻击后回到水面。																	
0000-doom_desire-0000|data.Name		Doom Desire		Kismetwunsch	Deseo Oculto		Desiderio Fatale				破灭之愿																	
0000-doom_desire-0001|data.Desc		The Pokémon will be attacked at a few turns in the future. Nearby allies will also take splash damage when the attack hits.		Das Pokémon wird in der nahen Zukunft angegriffen. Sich in der Nähe befindene Verbündete des Ziels erhalten auch Schaden wenn die Attacke trifft.	El Pokémon será atacado en unos turnos en el futuro. Aliados cercanos recibirán daño por salpicadura cuando el ataque impacte.		Il Pokémon viene attaccatto dopo un po' di turni. Gli alleati vicini vengono allontanati quando l'attacco colpisce.				这只宝可梦将在未来的几回合受到攻击。当攻击到来，附近的队友也会受到溅射伤害。																	
0000-electrified-0000|data.Name		Electrified	Électrifié	Elektrifiziert			Elettrocontagio				输电																	
0000-electrified-0001|data.Desc		The Pokémon has all of its moves converted to the Electric-type. This status wears off after a few turns.					Il tipo di tutte le mosse del Pokémon viene convertito nel tipo Elettro. Questo stato svanisce dopo un po' di turni.				这只宝可梦的招式都变为了电属性。该状态在几回合后解除。																	
0000-embargo-0000|data.Name		Embargo	Embargo	Itemsperre	Embargo		Divieto				查封																	
0000-embargo-0001|data.Desc		The Pokémon is rendered incapable of using any items, and its held item item loses its effect. This status wears off after many turns have passed.	Le Pokémon est incapable d'utiliser des objets et perd l'effet de son objet tenu. Ce statut disparaît après plusieurs tours.	Das Pokémon kann keine Items benutzen und sein gehaltenes Item verliert jeglichen Effekt. Dieser Status lässt nach vielen Zügen nach.	El Pokémon es incapaz de usar cualquier objeto, y los objetos que lleve pierden su efecto. Este estado desaparece tras pasar varios turnos.		Il Pokémon non può utilizzare strumenti e lo strumento tenuto perde il suo effetto. Questo stato svanisce dopo diversi turni.				这只宝可梦无法使用道具，携带的道具也会失去效果。该状态在大量回合后解除。																	
0000-encore-0000|data.Name		Encore	Encore	Zugabe	Otra Vez		Ripetizione				再来一次																	
0000-encore-0001|data.Desc		The Pokémon is given an encore, forcing it to repeat the last move it used. This status wears off after a few turns.	Le Pokémon subit un Encore le forçant à répéter la dernière capacité utilisé. Ce statut disparaît après quelques tours.	Das Pokémon gibt eine Zugabe, wodurch es gezwungen ist, die zuletzt eingesetzte Attacke zu nutzen. Dieser Status lässt nach einigen Zügen nach.			Il Pokémon è costretto a ripetere l'ultima mossa utilizzata. Questo stato svanisce dopo un po' di turni.				这只宝可梦接受了再来一次，迫使它重复使用上一次的招式。该状态在几回合后解除。																	
0000-endure-0000|data.Name		Endure	Ténacité	Ausdauer	Aguante		Resistenza				挺住																	
0000-endure-0001|data.Desc		The Pokémon is bracing itself, preventing it from fainting from a direct attack. This status wears off after a few turns, or if the Pokémon moves.	Le Pokémon rassemble ses forces, il ne peut plus tomber K.O d'une attaque directe. Ce statut disparaît après quelques tours ou si le Pokémon bouge.	Das Pokémon macht sich bereit, den nächsten direkten Angriff zu widerstehen, wodurch es nicht besiegt werden kann. Dieser Status lässt entweder nach einigen Zügen nach oder wenn sich das Pokémon bewegt.	El Pokémon se está preparando, impidiendo debilitarse de un ataque directo. Este estado desaparece tras unos turnos, o si el Pokémon se mueve.		Qualunque sia il danno, il Pokémon rimane con almeno 1 PS. Questo stato svanisce dopo un po' di turni o se il Pokémon si muove.				这只宝可梦挺住了，不会因为直接攻击而被打倒。该状态在几回合后，或移动后解除。																	
0000-enraged-0000|data.Name		Enraged	Frénétique	Raserei	Furioso		Ira				愤怒																	
0000-enraged-0001|data.Desc		The Pokémon will gain a boost to its Attack each time it takes damage from an attack. This status wears off after a few turns.	Le Pokémon gagne un boost d'Attaque à chaque fois qu'il subit des dégâts. Ce statut disparaît après quelques tours.	Das Pokémon erhält jedes Mal einen Angriffswertschub, wenn es von einem Angriff Schaden erhält. Dieser Status lässt nach einigen Zügen nach.	El Pokémon recibirá un aumento de su Ataque cada vez que reciba daño de un ataque. Este estado desaparece tras unos turnos.		Il Pokémon è in preda alla rabbia e il suo Attacco aumenta ogni volta che subisce un attacco. Questo stato svanisce dopo un po' di turni.				这只宝可梦每次受到攻击时，其攻击都会提高。该状态在几回合后解除。																	
0000-exposed-0000|data.Name		Exposed	Vulnérable	Offengelegt	Expuesto		Rivelazione				被识破																	
0000-exposed-0001|data.Desc		All attacks made on the Pokémon will ignore its resistances, immunities, and evasion changes.	Toutes les attaques infligés au Pokémon ne prennent plus en compte ses faiblesses, résistances et son esquive	Alle Attacken, die dieses Pokémon als Ziel auswählen, ignorieren Resistenzen, Immunitäten und Fluchtwertsveränderungen.	Todos los ataques hechos al Pokémon ignorarán sus resistencias, inmunidades y cambios de evasión.		Tutti gli attacchi subiti dal Pokémon ignorano resistenze, immunità e cambiamenti all'elusione.				所有对这只宝可梦的攻击将无视其相应的抗性、 免疫和闪避率变化。																	
0000-fire_pledge-0000|data.Name		Fire Pledge	Aire de Feu	Feuersäulen			Fiammapatto				火之誓约																	
0000-fire_pledge-0001|data.Desc		The Pokémon is ready to unleash a follow-up attack whenever a foe is attacked. This status wears off after a few turns.	Le Pokémon est prêt à libérer une attaque suivie dès qu'un ennemi est attaqué. Ce statut disparaît après quelques tours.	Das Pokémon ist bereit jedes Mal, wenn ein Gegner angegriffen wird, eine nachfolgende Attacke einzusetzen. Dieser Status lässt nach einigen Zügen nach.			Il Pokémon è pronto a sferrare un ulteriore attacco non appena un nemico viene attaccato. Questo stato svanisce dopo un po' di turni.				这只宝可梦随时准备在对手受到攻击后发动后续攻击。该状态在几回合后解除。																	
0000-fire_spin-0000|data.Name		Fire Spin	Danse Flamme	Feuerwirbel	Giro Fuego		Turbofuoco				火焰旋涡																	
0000-fire_spin-0001|data.Desc		The Pokémon is trapped in a vortex of fire, taking gradual damage and preventing it from moving. This status wears off after a few turns.	Le Pokémon est piégé dans un vortex de feu, il est immobilisé et prend régulièrement des dégâts. Ce statut disparaît après quelques tours.	Das Pokémon ist in einem Wirbel aus Flammen gefangen, wodurch es stetig Schaden erhält und jegliche Bewegungen von ihm verhindert werden. Dieser Status lässt nach einigen Zügen nach.	El Pokémon es atrapado en un vórtice de fuego, recibiendo daño gradual e impidiendo moverse. Este estado desaparece tras unos turnos.		Il Pokémon viene intrappolato in un vortice di fuoco che lo immobilizza e gli infligge danni un po' alla volta. Questo stato svanisce dopo un po' di turni.				这只宝可梦被困在了火焰旋涡中，每回合都会受到少量伤害并且无法移动。该状态在几回合后解除。																	
0000-flinch-0000|data.Name		Cringing	Apeuré	Zurückschrecken	Encogido		Tentennamento				畏缩																	
0000-flinch-0001|data.Desc		The Pokémon is cringing and cannot attack or use items. This status wears off on the next turn.	Le Pokémon a peur et ne peut pas attaquer ou utiliser d'objet. Ce statut disparaît au tour suivant.	Das Pokémon ist zurückgeschreckt und kann weder angreifen noch Items nutzen. Dieser Status lässt im nächsten Zug nach.	El Pokémon está encogido y no puede atacar o usar objetos. Este estado desaparece en el siguiente turno.		Il Pokémon non può sferrare mosse o utilizzare strumenti. Questo stato svanisce il turno successivo.				这只宝可梦畏缩了，无法使用道具或进行攻击。该状态在下一回合解除。																	
0000-flying-0000|data.Name		Flying	Vol	Fliegend	Volando		Volo				飞翔																	
