Key		EN	DE	ES	ZH-HANS	FR	IT	KO	JA	JA-JP	ZH-HANT
0008-sand_veil-0000|data.Name		Sand Veil	Sandschleier	Velo Arena	沙隐	Voile Sable	Sabbiavelo	모래숨기	すながくれ	すながくれ	沙隱
0008-sand_veil-0001|data.Desc		Avoids attacks from a distance when in a sandstorm.	Weicht allen Angriffen aus der Entfernung aus, wenn ein Sandstorm wütet.		在沙暴的时候，免疫远程攻击。			모래바람이 불 때는 원거리 공격을 회피할 수 있다.			
0009-static-0000|data.Name		Static	Statik	Elec. Estática	静电	Statik	Statico	정전기	せいでんき	せいでんき	靜電
0009-static-0001|data.Desc		The Pokémon is charged with static electricity, so contact with it may cause paralysis.	Kann bei Berührung durch statisch aufgeladenen Körper paralysieren.	La electricidad estática que lo envuelve puede paralizar al mínimo contacto.	身上带有静电，有时会让接触到的对手麻痹。	Le Pokémon charge son corps en électricité statique, et tout contact avec lui peut paralyser.	Il contatto fisico con il corpo percorso dall’elettricità statica del Pokémon può causare paralisi.	정전기를 몸에 둘러 접촉한 상대를 마비시킬 때가 있다.	せいでんきを　からだに　まとい さわった　あいてを まひさせる　ことがある。	静電気を　体に　まとい 触った　相手を まひさせる　ことがある。	身上帶有靜電， 有時會令接觸到的對手麻痺。
0010-volt_absorb-0000|data.Name		Volt Absorb	Voltabsorber	Absorbe Elec	蓄电	Absorb Volt	Assorbivolt	축전	ちくでん	ちくでん	蓄電
0010-volt_absorb-0001|data.Desc		Restores HP if hit by an Electric-type move.	Treffer durch Elektro-Attacken regenerieren KP.	Recupera PS al recibir ataques de tipo Eléctrico.	受到电属性的招式攻击时，不会受到伤害，而是会回复。	Récupère des PV si touché par une capacité Électrik.	Ridà PS se il Pokémon subisce una mossa di tipo Elettro.	전기를 받으면 회복한다.	でんきを　うけると かいふくする。	でんきを　受けると 回復する。	受到電屬性的招式攻擊時， 不會受到傷害，而是會回復。
0011-water_absorb-0000|data.Name		Water Absorb	H2O-Absorber	Absorbe Agua	储水	Absorb Eau	Assorbacqua	저수	ちょすい	ちょすい	儲水
0011-water_absorb-0001|data.Desc		Restores HP if hit by a Water-type move.	Treffer durch Wasser-Attacken regenerieren KP.	Recupera PS al recibir ataques de tipo Agua.	受到水属性的招式攻击时，不会受到伤害，而是会回复。	Récupère des PV si touché par une capacité Eau.	Ridà PS se il Pokémon subisce una mossa di tipo Acqua.	물을 받으면 회복한다.	 ずを　うけると かいふくする。	 ずを　受けると 回復する。	受到水屬性的招式攻擊時， 不會受到傷害，而是會回復。
0012-oblivious-0000|data.Name		Oblivious	Dösigkeit	Despiste	迟钝	Benêt	Indifferenza	둔감	どんかん	どんかん	遲鈍
0012-oblivious-0001|data.Desc		Protects the Pokémon from Attract or Rage Powder.	Schützt das Pokémon vor Anziehung und Wutpulver.		保护宝可梦不受迷人和愤怒粉的影响。			헤롱헤롱이나 분노파우더에 면역을 가진다.			
0013-cloud_nine-0000|data.Name		Cloud Nine	Wolke Sieben	Aclimatación	无关天气	Ciel Gris	Antimeteo	날씨부정	ノーてんき	ノーてんき	無關天氣
0013-cloud_nine-0001|data.Desc		The Pokémon eliminates weather when it is battling.	Das Pokémon hebt Wettereffekte auf, wenn es sich im Kampf befindet.		宝可梦在战斗时消除天气。			포켓몬이 싸우는 동안 날씨의 영향을 받지 않는다.			
0014-compound_eyes-0000|data.Name		Compound Eyes	Facettenauge	Ojo Compuesto	复眼	Œil Composé	Insettocchi	복안	ふくがん	ふくがん	複眼
0014-compound_eyes-0001|data.Desc		Boosts the Pokémon's Attack Range.	Erhöht die Reichweite von Angriffen des Pokémons.		提高宝可梦的攻击范围。			기술의 공격 범위가 올라간다.			
0015-insomnia-0000|data.Name		Insomnia	Insomnia	Insomnio	不眠	Insomnia	Insonnia	불면	ふみん	ふみん	不眠
0015-insomnia-0001|data.Desc		The Pokémon is suffering from insomnia and cannot fall asleep.	Verhindert Einschlafen.	Su resistencia al sueño le impide quedarse dormido.	因为是不会睡觉的体质，所以不会变为睡眠状态。	Le Pokémon est incapable de dormir.	Il Pokémon soffre d’insonnia e non può finire addormentato.	잠들지 못하는 체질이라 잠듦 상태가 되지 않는다.	ねむれない　たいしつ　なので ねむり　じょうたいに　ならない。	眠れない　体質　なので ねむり状態に　ならない。	因為擁有不會睡覺的體質， 所以不會陷入睡眠狀態。
0016-color_change-0000|data.Name		Color Change	Farbwechsel	Cambio Color	变色	Déguisement	Cambiacolore	변색	へんしょく	へんしょく	變色
0016-color_change-0001|data.Desc		The Pokémon's type becomes the type of the move used on it.	Ändert seinen Typ zu dem der Attacke des Angreifers.	Adopta el tipo del último movimiento del que se es blanco.	自己的属性会变为从对手处所受招式的属性。	Le Pokémon adopte le type de la capacité ennemie.	Il Pokémon acquisisce il tipo della mossa subita.	당한 기술의 타입으로 변화한다.	うけた　わざの　タイプに へんかする。	受けた　技の　タイプに 変化する。	自己的屬性會變為 從對手所受招式的屬性。
0017-immunity-0000|data.Name		Immunity	Immunität	Inmunidad	免疫	Vaccin	Immunità	면역	めんえき	めんえき	免疫
0017-immunity-0001|data.Desc		The immune system of the Pokémon prevents it from getting poisoned.	Das starke Immunsystem des Pokémon verhindert Vergiftungen.	Su sistema inmunitario evita el envenenamiento.	因为体内拥有免疫能力，不会变为中毒状态。	Le Pokémon est naturellement immunisé contre toute forme de poison.	L’immunità naturale del Pokémon gli impedisce di essere avvelenato.	체내에 면역을 가지고 있어 독 상태가 되지 않는다.	たいないに　めんえきを　もっているため どく　じょうたいに　ならない。	体内に　免疫を　持っているため どく状態に　ならない。	因為體內擁有免疫能力， 不會陷入中毒狀態。
0018-flash_fire-0000|data.Name		Flash Fire	Feuerfänger	Absorbe Fuego	引火	Torche	Fuocardore	타오르는불꽃	もらいび	もらいび	引火
0018-flash_fire-0001|data.Desc		Powers up the Pokémon's Fire-type moves if it's hit by one.	Verstärkt Feuer-Attacken, wenn von Feuer-Attacken getroffen.	Potencia movimientos de tipo Fuego si ha sufrido antes alguno.	受到火属性的招式攻击时，吸收火焰，自己使出的火属性招式会变强。	Booste les capacités Feu si touché par attaque Feu.	Potenzia le proprie mosse Fuoco se se ne subisce una.	불꽃을 받으면 불꽃 기술이 강해진다.	ほのおを　うけると ほのおわざが　つよくなる。	ほのおを　受けると ほのお技が　強くなる。	受到火屬性的招式攻擊時， 吸收火焰，讓自己使出的 火屬性招式變強。
0019-shield_dust-0000|data.Name		Shield Dust	Puderabwehr	Polvo Escudo	鳞粉	Écran Poudre	Polvoscudo	인분	りんぷん	りんぷん	鱗粉
0019-shield_dust-0001|data.Desc		This Pokémon's dust blocks the additional effects of attacks taken.	Blockiert durch Puder die Zusatzeffekte gegnerischer Angriffe.	El polvo de escamas que lo envuelve lo protege de los efectos secundarios de los ataques recibidos.	被鳞粉守护着，不会受到招式的追加效果影响。	Le Pokémon dispose d’un écran naturel qui le protège des effets additionnels des attaques ennemies.	Il Pokémon è protetto da uno strato di scaglie che annulla gli effetti secondari delle mosse subite.	인분에 보호받아 기술의 추가 효과를 받지 않게 된다.	りんぷんに　まもられて わざの　ついかこうかを　うけなくなる。	りんぷんに　守られて 技の　追加効果を　受けなくなる。	被鱗粉守護著， 不會受到招式的追加效果影響。
0020-own_tempo-0000|data.Name		Own Tempo	Tempomacher	Ritmo Propio	我行我素	Tempo Perso	Mente Locale	마이페이스	マイペース	マイペース	我行我素
0020-own_tempo-0001|data.Desc		This Pokémon has its own tempo, and that prevents it from becoming confused.	Das Pokémon lässt sich nicht aus der Ruhe bringen und verhindert so Verwirrung.	Como le gusta hacer las cosas a su manera, los rivales no logran confundirlo.	因为我行我素，不会变为混乱状态。	Le Pokémon vit sa vie à son propre rythme, ce qui l’immunise contre la confusion.	Il Pokémon affronta la vita al proprio ritmo e per questo non può essere colpito dalla confusione.	마이페이스라서 혼란 상태가 되지 않는다.	マイペースなので こんらん　じょうたいに　ならない。	マイペースなので こんらん状態に　ならない。	因為我行我素， 不會陷入混亂狀態。
0021-suction_cups-0000|data.Name		Suction Cups	Saugnapf	Ventosas	吸盘	Ventouse	Ventose	흡반	きゅうばん	きゅうばん	吸盤
0021-suction_cups-0001|data.Desc		Prevents the Pokémon from being forced off its location.	Verhindert, dass das Pokémon von seinem Platz weggeschlagen wird.		防止宝可梦被强制其改变位置。			끈적한 흡반을 이용해 위치를 이동시키는 효과를 무시한다.			
0022-intimidate-0000|data.Name		Intimidate	Bedroher	Intimidación	威吓	Intimidation	Prepotenza	위협	いかく	いかく	威嚇
0022-intimidate-0001|data.Desc		Lowers the Attack stat of opposing Pokémon nearby.	Senkt den Angriffswert von gegnerischen Pokémon in der Nähe. 		降低附近对手的攻击。			근처 적 포켓몬의 공격 스탯을 낮춘다.			
0023-shadow_tag-0000|data.Name		Shadow Tag	Wegsperre	Sombra Trampa	踩影	Marque Ombre	Pedinombra	그림자밟기	かげふみ	かげふみ	踩影
0023-shadow_tag-0001|data.Desc		This Pokémon steps on the opposing Pokémon's shadow to prevent it from escaping.	Hindert den Gegner an der Flucht beziehungsweise am Auswechseln, indem es ihm den Weg versperrt.	Evita que el enemigo huya o sea cambiado por otro.	踩住对手的影子使其无法逃走或替换。	Empêche le Pokémon ennemi de quitter le combat.	Calpesta l’ombra del nemico impedendogli la fuga o la sostituzione.	상대의 그림자를 밟아 도망치거나 교체할 수 없게 한다.	あいての　かげを　ふみ にげたり　こうたい　できなくする。	相手の　影を　踏み 逃げたり　交代　できなくする。	踩住對手的影子 使其無法逃走或替換。
0024-rough_skin-0000|data.Name		Rough Skin	Rauhaut	Piel Tosca	粗糙皮肤	Peau Dure	Cartavetro	까칠한피부	さめはだ	さめはだ	粗糙皮膚
0024-rough_skin-0001|data.Desc		This Pokémon inflicts damage with its rough skin to the attacker on contact.	Angreifer werden durch die raue Haut des Pokémon bei direkten Attacken verletzt.	Hiere con su piel áspera al rival que lo ataque con un movimiento de contacto.	受到攻击时，用粗糙的皮肤弄伤接触到自己的对手。	Blesse l’attaquant lorsque le Pokémon subit une attaque directe.	Se il Pokémon è colpito da un attacco diretto, grazie alla sua pelle ruvida infligge danni a sua volta.	공격을 받았을 때 자신에게 접촉한 상대를 까칠까칠한 피부로 상처를 입힌다.	こうげきを　うけたとき じぶんに　ふれた　あいてを ざらざらの　はだで　キズつける。	攻撃を　受けたとき 自分に　触れた　相手を ざらざらの　肌で　キズつける。	受到攻擊時， 用粗糙的皮膚弄傷 接觸到自己的對手。
0025-wonder_guard-0000|data.Name		Wonder Guard	Wunderwache	Superguarda	神奇守护	Garde Mystik	Magidifesa	불가사의부적	ふしぎなまもり	ふしぎなまもり	神奇守護
0025-wonder_guard-0001|data.Desc		Its mysterious power only lets super effective moves hit the Pokémon.	Wundersame Kräfte bewirken, dass nur sehr effektive Treffer bei ihm Schaden anrichten.	Gracias a un poder misterioso, solo le hacen daño los movimientos supereficaces.	不可思议的力量，只有效果绝佳的招式才能击中。	Une puissance mystérieuse protège le Pokémon contre toutes les capacités, sauf celles « super efficaces ».	Un potere misterioso protegge il Pokémon e lo rende vulnerabile solo alle mosse superefficaci.	효과가 굉장한 기술만 맞는 불가사의한 힘.	こうかばつぐんの　わざしか あたらない　ふしぎな　ちから。	効果バツグンの　技しか 当たらない　不思議な　力。	不可思議的力量， 只有效果絕佳的招式才會擊中自己。
0026-levitate-0000|data.Name		Levitate	Schwebe	Levitación	飘浮	Lévitation	Levitazione	부유	ふゆう	ふゆう	飄浮
0026-levitate-0001|data.Desc		By floating in the air, the Pokémon receives full immunity to all Ground-type moves.	Verleiht volle Immunität gegen alle Boden-Attacken durch Schwebezustand.	Su capacidad de flotar sobre el suelo le proporciona inmunidad frente a los movimientos de tipo Tierra.	从地面浮起，从而不会受到地面属性招式的攻击。	Le Pokémon flotte, ce qui l’immunise contre les capacités de type Sol.	La capacità di levitare senza toccare il suolo conferisce immunità agli attacchi di tipo Terra.	땅에서 뜨는 것으로 땅타입의 기술을 받지 않는다.	じめんから　うくことによって じめんタイプの　わざを　うけない。	地面から　浮くことによって じめんタイプの　技を　受けない。	從地面浮起， 從而不會受到地面屬性招式的攻擊。
0027-effect_spore-0000|data.Name		Effect Spore	Sporenwirt	Efecto Espora	孢子	Pose Spore	Spargispora	포자	ほうし	ほうし	孢子
0027-effect_spore-0001|data.Desc		Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.	Wird dieses Pokémon durch eine direkte Attacke angegriffen, kann das beim Gegner Paralyse, Vergiftung oder Schlaf auslösen.	Puede dormir, envenenar o paralizar al Pokémon con el que entre en contacto al recibir un ataque.	受到攻击时，有时会把接触到自己的对手变为中毒、 麻痹或睡眠状态。	Peut paralyser, empoisonner ou endormir l’attaquant lorsque le Pokémon subit une attaque directe.	Può causare avvelenamento, paralisi o sonno a chi manda a segno un attacco diretto.	공격으로 자신에게 접촉한 상대를 독이나 마비, 잠듦 상태로 만들 때가 있다.	こうげきで　じぶんに　ふれた　あいてを どくや　まひや　ねむり　じょうたいに する　ことがある。	攻撃で　自分に　触れた　相手を どくや　まひや　ねむり状態に する　ことがある。	透過攻擊有時會使接觸到自己的對手， 陷入中毒、 麻痺或睡眠狀態。
0028-synchronize-0000|data.Name		Synchronize	Synchro	Sincronía	同步	Synchro	Sincronismo	싱크로	シンクロ	シンクロ	同步
0028-synchronize-0001|data.Desc		Passes major status problems to opposing Pokémon.	Gibt Statusprobleme an gegnerische Pokémon weiter.		将自己的主要异常状态传染给对手。			대부분의 상태이상을 적 포켓몬에게 넘긴다.			
0029-clear_body-0000|data.Name		Clear Body	Neutraltorso	Cuerpo Puro	恒净之躯	Corps Sain	Corpochiaro	클리어바디	クリアボディ	クリアボディ	恆淨之軀
0029-clear_body-0001|data.Desc		Prevents other Pokémon from lowering its stats.	Hindert Angreifer daran, Statuswerte zu senken.	Evita que bajen las características.	不会因为对手的招式或特性而被降低能力。	Empêche les stats du Pokémon de baisser.	Le statistiche del Pokémon non possono essere ridotte.	상대가 능력을 떨어뜨릴 수 없다.	あいてに　のうりょくを さげられない。	相手に　能力を さげられない。	不會因對手的招式或特性 而被降低能力。
0030-natural_cure-0000|data.Name		Natural Cure	Innere Kraft	Cura Natural	自然回复	Médic Nature	Alternacura	자연회복	しぜんかいふく	しぜんかいふく	自然回復
0030-natural_cure-0001|data.Desc		Cures all status problems on the Pokémon when it is at full HP.	Heilt alle Statusprobleme des Pokémons, wenn es volle KP besitzt.		当HP满的时候，异常状态就会被治愈。			포켓몬의 HP가 최대일때 모든 상태이상을 치유한다.			
0031-lightning_rod-0000|data.Name		Lightning Rod	Blitzfänger	Pararrayos	避雷针	Paratonnerre	Parafulmine	피뢰침	ひらいしん	ひらいしん	避雷針
0031-lightning_rod-0001|data.Desc		The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.	Zieht Elektro-Attacken an. Statt durch diese Schaden zu nehmen, erhöht es den eigenen Spezial-Angriff.	Además de atraer y neutralizar los movimientos de tipo Eléctrico, sube el Ataque Especial.	将电属性的招式吸引到自己身上，不会受到伤害，而是会提高特攻。	Le Pokémon détourne sur lui les capacités de type Électrik et les neutralise, tout en montant son Attaque Spéciale.	Attira e neutralizza mosse di tipo Elettro e aumenta l’Attacco Speciale.	전기타입의 기술을 자신에게 끌어모아 데미지를 받지 않고 특수공격을 올린다.	でんきタイプの　わざを　じぶんに よせつけ　ダメージを　うけずに とくこうが　あがる。	でんきタイプの　技を　自分に 寄せつけ　ダメージを　受けずに 特攻が　上がる。	將電屬性的招式吸引到自己身上， 不但不會受到傷害，反而會提高特攻。
0032-serene_grace-0000|data.Name		Serene Grace	Edelmut	Dicha	天恩	Sérénité	Leggiadro	하늘의은총	てんのめぐみ	てんのめぐみ	天恩
0032-serene_grace-0001|data.Desc		Boosts the likelihood of additional effects occurring when attacking.	Erhöht die Wahrscheinlichkeit, dass Zusatzeffekte von Attacken auftreten.	Aumenta la probabilidad de que los movimientos causen efectos secundarios.	托天恩的福，招式的追加效果容易出现。	Augmente les chances d’infliger des effets additionnels.	Gli effetti secondari delle mosse sono più probabili.	하늘의 은총 덕분에 기술의 추가 효과가 나오기 쉽다.	てんのめぐみの　おかげで わざの　ついかこうかが　でやすい。	天の恵みの　おかげで 技の　追加効果が　でやすい。	受到上天保佑， 容易出現招式的追加效果。
0033-swift_swim-0000|data.Name		Swift Swim	Wassertempo	Nado Rápido	悠游自如	Glissade	Nuotovelox	쓱쓱	すいすい	すいすい	悠游自如
0033-swift_swim-0001|data.Desc		Boosts the Pokémon's Movement Speed in rain.	Steigert bei Regen das Tempo des Pokémons.		下雨天气时，移动速度会提高。			비가 올 때 행동속도가 올라간다.			
0034-chlorophyll-0000|data.Name		Chlorophyll	Chlorophyll	Clorofila	叶绿素	Chlorophylle	Clorofilla	엽록소	ようりょくそ	ようりょくそ	葉綠素
0034-chlorophyll-0001|data.Desc		Boosts the Pokémon's Movement Speed in sunshine.	Steigert bei Sonnenschein das Tempo des Pokémons.		晴朗天气时，移动速度会提高。			날씨가 쾌청할 때 행동속도가 올라간다.			
0035-illuminate-0000|data.Name		Illuminate	Erleuchtung	Iluminación	发光	Lumiattirance	Risplendi	발광	はっこう	はっこう	發光
0035-illuminate-0001|data.Desc		It may warp an ally to the Pokémon when it is hurt.	Eventuell teleportiert das Pokémon einen Verbündeten zu sich, wenn es verletzt wurde.		受到攻击时，可能会将队友传送至身边。			아군이 피해를 입었을 때 이 포켓몬의 근처로 순간이동시킬 수도 있다.			
0036-trace-0000|data.Name		Trace	Fährte	Rastro	复制	Calque	Traccia	트레이스	トレース	トレース	複製
0036-trace-0001|data.Desc		The Pokémon copies the Ability of the Pokémon that attacks it.	Das Pokémon kopiert die Fähigkeit von angreifenden Gegnern.		受到攻击时，复制对手的特性。			공격한 상대의 특성을 복사한다.			
0037-huge_power-0000|data.Name		Huge Power	Kraftkoloss	Potencia	大力士	Coloforce	Macroforza	천하장사	ちからもち	ちからもち	大力士
0037-huge_power-0001|data.Desc		Boosts the Pokémon's Attack stat.	Stärkt physische Attacken.	Aumenta el Ataque.	提高宝可梦的攻击。	Augmente l’Attaque du Pokémon.	Migliora la statistica Attacco del Pokémon.	물리공격의 위력이 올라간다.	ぶつり　こうげきの いりょくが　あがる。	物理攻撃の 威力が　あがる。	
0038-poison_point-0000|data.Name		Poison Point	Giftdorn	Punto Tóxico	毒刺	Point Poison	Velenopunto	독가시	どくのトゲ	どくのトゲ	毒刺
0038-poison_point-0001|data.Desc		Contact with the Pokémon may poison the attacker.	Vergiftet den Angreifer eventuell bei Berührung.	Puede envenenar al mínimo contacto.	有时会让接触到自己的对手变为中毒状态。	Peut empoisonner l’attaquant s’il y a contact.	Può avvelenare chi manda a segno una mossa fisica.	접촉한 상대를 중독시킬 때가 있다.	ふれた　あいてに　どくを おわせる　ことがある。	触れた　相手に　どくを おわせる　ことがある。	有時會讓接觸到自己的 對手陷入中毒狀態。
0039-inner_focus-0000|data.Name		Inner Focus	Konzentrator	Foco Interno	精神力	Attention	Fuocodentro	정신력	せいしんりょく	せいしんりょく	精神力
0039-inner_focus-0001|data.Desc		The Pokémon's intensely focused, and that protects the Pokémon from flinching.	Verhindert durch erhöhte Konzentrationsfähigkeit Zurückschrecken.	Gracias a su profunda concentración, no retrocede ante los ataques del rival.	通过锻炼精神，不会因对手的攻击而畏缩。	Le Pokémon a un mental à toute épreuve qui empêche les capacités ennemies de lui faire peur.	La capacità di concentrazione del Pokémon evita che tentenni per gli attacchi del nemico.	단련한 정신으로 인하여 상대의 공격에 풀죽지 않는다.	きたえられた　せいしんに　よって あいての　こうげきに　ひるまない。	鍛えられた　精神に　よって 相手の　攻撃に　ひるまない。	靠著經過鍛鍊精神， 不會因對手的攻擊而畏縮。
0040-magma_armor-0000|data.Name		Magma Armor	Magmapanzer	Escudo Magma	熔岩铠甲	Armumagma	Magmascudo	마그마의무장	マグマのよろい	マグマのよろい	熔岩鎧甲
0040-magma_armor-0001|data.Desc		The Pokémon is covered with hot magma, which prevents the Pokémon from becoming frozen. Thrown items will also burn up on contact.	Dank eines Panzers aus Magma kann dieses Pokémon nicht eingefroren werden. Geworfene Items verbrennen bei Berührung.		将炽热的熔岩覆盖在身上，不会变为冰冻状态。投掷来的道具也会被烧掉。			뜨거운 마그마를 몸에 둘러서 얼음 상태가 되지 않는다. 던지는 아이템은 접촉 시 불타버린다.			
0041-water_veil-0000|data.Name		Water Veil	Aquahülle	Velo Agua	水幕	Ignifu-Voile	Idrovelo	수의베일	みずのベール	みずのベール	水幕
0041-water_veil-0001|data.Desc		The Pokémon is covered with a water veil, which prevents the Pokémon from getting a burn.	Verhindert durch eine Hülle aus Wasser Verbrennungen.	Evita las quemaduras gracias a la capa de agua que lo envuelve.	将水幕裹在身上，不会变为灼伤状态。	Le voile qui recouvre le Pokémon le protège des brûlures.	Un velo d’acqua riveste il corpo del Pokémon impedendogli di venire scottato.	물의 베일을 몸에 둘러서 화상 상태가 되지 않는다.	みずのベールを　みにまとい やけど　じょうたいに　ならない。	水のベールを　身にまとい やけど状態に　ならない。	將水幕裹在身上， 不會陷入灼傷狀態。
0042-magnet_pull-0000|data.Name		Magnet Pull	Magnetfalle	Imán	磁力	Magnépiège	Magnetismo	자력	じりょく	じりょく	磁力
0042-magnet_pull-0001|data.Desc		Pulls Steel-type targets to this Pokémon.	Zieht Pokémon des Typen Stahls an dieses Pokémon heran.		用磁力将钢属性的宝可梦吸到身边。			강철타입 포켓몬을 끌어당긴다.			
0043-soundproof-0000|data.Name		Soundproof	Lärmschutz	Insonorizar	隔音	Anti-Bruit	Antisuono	방음	ぼうおん	ぼうおん	隔音
0043-soundproof-0001|data.Desc		Soundproofing of the Pokémon itself gives full immunity to all sound-based moves.	Bietet durch Schalldämmung volle Immunität gegen alle Lärm-Attacken.	Su aislamiento acústico lo protege de movimientos que usan sonido.	通过屏蔽声音，不受到声音招式的攻击。	Protège le Pokémon de toutes les capacités sonores.	Il Pokémon è dotato di una sorta di isolamento acustico che lo rende immune alle mosse basate sul suono.	소리를 차단하는 것으로 소리 공격을 받지 않는다.	おとを　しゃだん　することに　よって おとの　こうげきを　うけない。	音を　遮断　することに　よって 音の　攻撃を　受けない。	透過遮蔽聲音， 不受到聲音招式的攻擊。
0044-rain_dish-0000|data.Name		Rain Dish	Regengenuss	Cura Lluvia	雨盘	Cuvette	Copripioggia	젖은접시	あめうけざら	あめうけざら	雨盤
0044-rain_dish-0001|data.Desc		The Pokémon gradually regains HP when battling in rain.	Stellt bei Regen langsam und stetig KP wieder her.	Recupera PS de forma gradual cuando llueve.	下雨天气时，会缓缓回复HP。	Récupère progressivement des PV par temps de pluie.	Il Pokémon recupera PS quando piove.	비가 올 때 조금씩 HP를 회복한다.	あめのとき　すこしずつ ＨＰを　かいふくする。	雨のとき　少しずつ ＨＰを　回復する。	天氣為下雨時， 會漸漸回復ＨＰ。
0045-sand_stream-0000|data.Name		Sand Stream	Sandsturm	Chorro Arena	扬沙	Sable Volant	Sabbiafiume	모래날림	すなおこし	すなおこし	揚沙
0045-sand_stream-0001|data.Desc		The Pokémon summons a sandstorm when it is battling.	Das Pokémon löst einen Sandsturm aus, sobald es sich im Kampf befindet.		战斗，会把天气变为沙暴。			싸우는 동안 모래바람을 일으킨다.			
0046-pressure-0000|data.Name		Pressure	Erzwinger	Presión	压迫感	Pression	Pressione	프레셔	プレッシャー	プレッシャー	壓迫感
0046-pressure-0001|data.Desc		By putting pressure on the opposing Pokémon, it raises their PP usage.	Zwingt den Gegner dazu, beim Einsatz von Attacken mehr AP zu verbrauchen.	Presiona al rival para que sus PP se acaben antes.	给予对手压迫感，大量减少其使用招式的PP。	Force l’ennemi à dépenser plus de PP.	Mette pressione al nemico, facendogli consumare più PP.	프레셔를 줘서 상대가 쓰는 기술의 PP를 많이 줄인다.	プレッシャーを　あたえて あいての　つかう　わざの　ＰＰを おおく　へらす。	プレッシャーを　あたえて 相手の　使う　技の　ＰＰを 多く　減らす。	給予對手壓迫感， 大量減少其使用招式的ＰＰ。
0047-thick_fat-0000|data.Name		Thick Fat	Speckschicht	Sebo	厚脂肪	Isograisse	Grassospesso	두꺼운지방	あついしぼう	あついしぼう	厚脂肪
