Key	Comment	EN	FR	DE	ES	PT	IT	KO	JA	JA-JP	ZH-HANS	ZH-HANT	RU
0000-blizzard-0000|data.Name	Not displayed to players.	Blizzard		Blizzard	Ventisca		Tormenta				暴风雪			
0000-grassy_terrain-0000|data.Name		Grassy Terrain	Champ Herbu	Grasfeld	Campo de hierba		Campo Erboso				青草场地
0000-grassy_terrain-0001|data.Desc		Grass-type attacks are boosted, Ground-type attacks are weakened, and all Pokémon on the floor slowly gain HP except Flying types.		Pflanzen-Attacken sind verstärkt, Boden-Attacken geschwächt und alle Pokémon außer Flug-Pokémon auf der Ebene erhalten langsam KP zurück.	Los ataques de tipo Planta se potencian, los ataques de tipo Tierra se debilitan y todos los Pokémon en el suelo ganan PS lentamente, excepto los de tipo Volador.		La potenza delle mosse di tipo Erba aumenta, mentre quella delle mosse di tipo Terra diminuisce. Tutti i Pokémon nel piano ripristinano PS lentamente eccetto quelli di tipo Volante.				草属性攻击增强，地面属性攻击降低，且除飞行属性外所有的宝可梦都会缓慢回复HP。
0000-gravity-0000|data.Name		Gravity	Gravitée	Erdanziehung	Gravedad		Gravità				重力
0000-gravity-0001|data.Desc		All Pokémon on the floor become less evasive and are forced to drop to the ground.		Alle Pokémon auf der Ebene können weniger ausweichen und sind gezwungen, auf den Boden zu fallen.	Todos los Pokémon del piso se vuelven menos evasivos y están forzados a caer al suelo.		Tutti i Pokémon presenti nel piano sono meno evasivi e costretti a toccare terra.				地面上的宝可梦会更难闪避，会飞行的宝可梦会掉到地上。
0000-hail-0000|data.Name		Hail	Grêle	Hagel	Granizo		Grandine				冰雹
0000-hail-0001|data.Desc		All Pokémon on the floor will take damage except Ice-types.	Tout les Pokémon de l'étage subiront des dégâts sauf les types Glace.	Alle Pokémon außer Eis werden Schaden nehmen.	Todos los Pokémon del piso recibirán daño excepto los de tipo Hielo.		Tutti i Pokémon nel piano subiscono danno eccetto quelli di tipo Ghiaccio.				除了冰属性，地面上的所有宝可梦都会受到伤害。
0000-harsh_sun-0000|data.Name		Harsh Sun	Soleil Intense	Strenge Sonne	Sol abrasador		Luce solare accecante				大日照
0000-harsh_sun-0001|data.Desc											
0000-heavy_rain-0000|data.Name		Heavy Rain	Pluie Battante	Starkregen	Diluvio		Acquazzone				大雨
0000-heavy_rain-0001|data.Desc											
0000-intrusion_check-0000|data.Name		Intrusion Check									
0000-intrusion_check-0001|data.Desc											
0000-inverse-0000|data.Name		Inverse	Inversement	Umkehr	Inverso		Inverso				反转
0000-inverse-0001|data.Desc		All type matchups are reversed.	L'efficacité des types est inversée.	Alle Typvor- und Nachteile sind umgekehrt.	Todos las eficacias de tipo se han invertido.		L'efficacia dei tipi viene invertita.				所有属性克制关系均反转。
0000-items_sniffed-0000|data.Name		Items Sniffed																								
0000-items_sniffed-0001|data.Desc																	
0000-magic_room-0000|data.Name		Magic Room	Zone Magique	Magieraum	Zona Mágica		Magicozona				魔法空间
0000-magic_room-0001|data.Desc		All Pokémon on the floor have their held items and abilities disabled.	Tout les Pokémon de l'étage perdent l'effet de leurs objets tenus.	Die Items und Fähigkeiten aller Pokémon auf der Ebene werden unbrauchbar.	Todos los Pokémon del piso tienen los objetos llevados y las habilidades desactivados.		Tutti i Pokémon nel piano hanno lo strumento tenuto e l'abilità annulati.				楼层内所有宝可梦的携带道具和特性都会失效。
0000-map_clear_check-0000|data.Name		Map Clear Check									
0000-map_clear_check-0001|data.Desc											
0000-map_surveyed-0000|data.Name	Not displayed to players.  Low Priority.	Map Surveyed		Karte überschaut	Mapa Inspeccionado						
0000-map_surveyed-0001|data.Desc											
0000-mercy_revive-0000|data.Name	Not displayed to players.  Low Priority.	Mercy Revive		Gnädige Wiederbelebung							
0000-mercy_revive-0001|data.Desc											
0000-misty_terrain-0000|data.Name		Misty Terrain	Champ Brumeux	Nebelfeld	Campo de niebla		Campo Nebbioso				薄雾场地
0000-misty_terrain-0001|data.Desc		Dragon-type attacks are weakened, and all Pokémon are protected from major status problems.	Les attaques de type Dragon sont affaiblies et tout les Pokémon sont protégés des principaux problèmes de status.	Drachen-Attacken sind geschwächt und alle Pokémon auf der Ebene sind vor Statusproblemen geschützt.	Los ataques de tipo Dragón se debilitan, y todos los Pokémon están protegidos de graves problemas de estado.		La potenza delle mosse di tipo Drago diminuisce e tutti i Pokémon sono protetti dai principali problemi di stato.				龙属性攻击威力降低，且所有宝可梦都会受到保护，不会陷入异常状态。
0000-monster_mansion-0000|data.Name	Not displayed to players.  Low Priority.	Monster Mansion									
0000-monster_mansion-0001|data.Desc											
0000-move_ban-0000|data.Name		Move Ban	Interdiction de Capacité	Attackenverbannung	Prohibición de movimiento						招式禁用
0000-move_ban-0001|data.Desc		A move has been banned and can no longer be used.	Une capacité est interdite, elle ne peut plus être utilisée.	Eine Attacke wurde gebannt und kann nicht mehr länger benutzt werden.	Un movimiento ha sido prohibido y no se puede usar más.						一个招式被禁用了，不能再使用。
0000-mysterious_distortion-0000|data.Name		Mysterious Distortion									不可思议的扭曲
0000-mysterious_distortion-0001|data.Desc		The space-time is distorted on this floor...									这层楼的时空扭曲了......
0000-mysterious_force-0000|data.Name		Mysterious Force	Aura Mystère	Mysteriöse Kraft	Fuerza Misteriosa		Forza Misteriosa				神秘力量
0000-mysterious_force-0001|data.Desc		A mysterious force prevents Orbs, Machines, and special items from working.		Eine mysteriöse Kraft verhindert den Einsatz von Orbs, Maschinen und speziellen Items.	Una fuerza misteriosa que evita que las Esferas, máquinas y otros objetos especiales funcionen.		 				一种神秘的力量，阻止了不可思议之玉、 机器和特殊道具的使用。
0000-outlaw_clear_check-0000|data.Name		Outlaw Clear Check									
0000-outlaw_clear_check-0001|data.Desc											
0000-psychic_terrain-0000|data.Name		Psychic Terrain					Campo Psichico				
0000-psychic_terrain-0001|data.Desc		Psychic-type attacks are boosted, and Pokémon can evade moves from close up.									
0000-rain-0000|data.Name		Rain	Pluvieux	Regen	Lluvioso						下雨
0000-rain-0001|data.Desc		Water-type attacks are boosted and Fire-type attacks are weakened.	Les attaques de type de type Eau sont boostées et les attaques de type Feu affaiblies.	Wasser-Attacken sind verstärkt und Feuer-Attacken sind geschwächt.	Los ataque de tipo Agua se potencian y los ataques de tipo Fuego se debilitan.						水属性攻击威力提高，火属性攻击威力降低。
0000-rescued-0000|data.Name		Rescued									
0000-rescued-0001|data.Desc											
0000-sandstorm-0000|data.Name		Sandstorm	Tempête de sable	Sandstorm	Tormenta de arena						沙暴		.
0000-sandstorm-0001|data.Desc		All Pokémon on the floor will take damage except Rock, Ground, and Steel-types. The Sp. Def of Rock-types is boosted.		Alle Pokémon, welche nicht Gestein, Boden und Stahl als Typ besitzen, werden auf der Ebene Schaden nehmen. Die Spezial-Verteidigung von Gestein-Typen ist erhöht.	Todos los Pokémon del piso recibirán daño, excepto los de tipo Roca, Tierra y Acero. Aumenta la Defensa Especial de los de tipo Roca.						除了岩石，地面和钢属性的宝可梦，楼层内的所有宝可梦都会受到伤害。岩石属性的特防会提高。
0000-scanner-0000|data.Name		Scanner			Escáner						侦查
0000-scanner-0001|data.Desc											
0000-shop_security-0000|data.Name		Shop Security									
0000-shop_security-0001|data.Desc											
0000-shopping-0000|data.Name		Shopping									
0000-shopping-0001|data.Desc											
0000-snow-0000|data.Name	Not displayed to players.	Snow	Neigeux	Schnee	Nieve						下雪
0000-snow-0001|data.Desc											
0000-somethings_stirring-0000|data.Name		Something's stirring...		Da ist irgendwas...	Algo se está moviendo...						有什么在活动....
0000-somethings_stirring-0001|data.Desc		Something's approaching. The exploration team must leave the floor before it arrives, or they will be forced out of the dungeon.		Es scheint näher zu kommen. Das Erkundungsteam muss die nächste Ebene erreichen bevor es ankommt oder es wird gezwungen den Dungeon zu verlassen.	Algo se está acercando. El equipo de exploración debe abandonar el piso antes de que llegue, o serán forzados a salir de la mazmorra.						有什么东西在靠近。探险队必须在它到达前离开楼层，否则就会强制离开迷宫。
0000-stairs_sensed-0000|data.Name	Not displayed to players.  Low Priority.	Stairs Sensed		Treppen wahrgenommen	Escaleras Detectadas						楼梯感应
0000-stairs_sensed-0001|data.Desc											
0000-sunny-0000|data.Name		Sunny	Ensoleillé	Sonnig	Soleado			쾌청			日照强烈
0000-sunny-0001|data.Desc		Fire-type attacks are boosted and Water-type attacks are weakened.	Les attaques de type de type Feu sont boostées et les attaques de type Eau affaiblies.	Feuer-Attacken sind verstärkt und Wasser-Attacken sind geschwächt.	Los ataques de tipo Fuego se potencian y los ataques de tipo Agua se debilitan.						火属性攻击威力提高，水属性攻击威力降低。
0000-thief-0000|data.Name	Not displayed to players.  Low Priority.	Thief			Ladrón						盗贼
0000-thief-0001|data.Desc											
0000-trick_room-0000|data.Name		Trick Room	Distorsion	Bizarroraum	Espacio Raro			트릭룸			戏法空间
0000-trick_room-0001|data.Desc		Effects on all Pokémon's Movement Speed are reversed.		Verursacht, dass das Tempo aller Pokémon umgekehrt sind.	Los efectos de la Velocidad de Movimiento de los Pokémon se invierten.						所有宝可梦的移动速度效果反转。
0000-wind-0000|data.Name		Wind	Courant d'Air	Wind	Viento						起风
0000-wind-0001|data.Desc		Flying-type Pokémon are protected from their weaknesses.	Les Pokémon de type Vol sont protégés de leurs faiblesses.	Flug-Pokémon sind gegen ihre Schwächen geschützt.	Los Pokémon de tipo Volador están protegidos de sus debilidades.						飞行属性宝可梦的弱点被保护了。
0000-wonder_room-0000|data.Name		Wonder Room	Zone Étrange	Wunderraum	Zona Extraña						奇妙空间
0000-wonder_room-0001|data.Desc		Physical attacks become Special attacks, and vice versa.	Les attaques physiques deviennent des attaques spéciales et inversement.	Physische Attacken werden zu speziellen Attacken und umgekehrt.	Los ataques Físicos se vuelve Especiales, y viceversa.						物理攻击会变成特殊攻击，反之亦然。
