Key		EN	FR	DE	ES	PT	KO	IT	JA	JA-JP	ZH-HANS	ZH-HANT
0002-berry_apicot-0001|data.Desc		A very mystifying Berry. There is no telling how it can be used, or what may happen if it is used. It maximizes Special Defense.	Une Baie particulièrement déconcertante. On ne sait pas comment l'utiliser ni quelles peuvent être les conséquences. Augmente la Défense Spéciale.	Eine rätselhafte Beere. Man kann nicht sagen, wie und was sie ist. Sie maximiert die Spezial Verteidigung.			수수께끼의 열매. 어떻게 쓰는지, 사용하면 어떤 일이 일어날지 알수가 없다. 먹으면 특수방어를 최대로 만들 것 같은 기분이 든다.					
0002-berry_aspear-0000|data.Name		Aspear Berry	Baie Willia	Wilbirbeere	Baya Perasi	Fruta Aspear	배리열매	Baccaperina	ナナシのみ	ナナシのみ	利木果	利木果
0002-berry_aspear-0001|data.Desc												
0002-berry_babiri-0000|data.Name		Babiri Berry	Baie Babiri	Babiribeere	Baya Baribá		바리비열매	Baccababiri	リリバのみ	リリバのみ	霹霹果	霹霹果
0002-berry_babiri-0001|data.Desc		This berry is very tough with a strong flavor. It was used to make medicine in the past. It changes the Pokémon to the Steel-type.		Diese Beere ist sehr hart mit einem starken Geschmack. Es wurde in der Vergangenheit zur Herstellung von Medizin benutzt. Es wechselt den Typ des Pokémon zu Stahl.			매우 단단한데다가 맛은 자극적이다. 과거에는 약재로 쓰였다. 먹은 포켓몬을 강철타입으로 변화시킨다.					
0002-berry_charti-0000|data.Name		Charti Berry	Baie Charti	Chiaribeere	Baya Alcho		루미열매	Baccaciofo	ヨロギのみ	ヨロギのみ	草蚕果	草蠶果
0002-berry_charti-0001|data.Desc		It is often used for pickles because of its very dry flavor. It can also be eaten raw for its provocative taste. It changes the Pokémon to the Rock-type.		Es wird oft für Gurken genutzt, da es einen sehr trockenen Geschmack besitzt. Sie kann für ihren provokativen Geschmack auch roh gegessen werden. Es wechselt den Typ des Pokémon zu Stein.			아주 떫기에 피클의 재료로 자주 쓰인다. 자극적인 맛을 좋아하는 포켓몬은 그대로 먹기도 한다. 먹은 포켓몬을 바위타입으로 변화시킨다.					
0002-berry_cheri-0000|data.Name		Cheri Berry	Baie Ceriz	Amrenabeere	Baya Zreza	Fruta Cheri	버치열매	Baccaliegia	クラボのみ	クラボのみ	樱子果	櫻子果
0002-berry_cheri-0001|data.Desc												
0002-berry_chesto-0000|data.Name		Chesto Berry	Baie Maron	Maronbeere	Baya Atania	Fruta Chesto	유루열매	Baccastagna	カゴのみ	カゴのみ	零余果	零餘果
0002-berry_chesto-0001|data.Desc												
0002-berry_chilan-0000|data.Name		Chilan Berry	Baie Zalis	Latchibeere	Baya Chilan		카리열매	Baccacinlan	ホズのみ	ホズのみ	灯浆果	燈漿果
0002-berry_chilan-0001|data.Desc		This berry can be cored out and dried to make a whistle. Blowing through its hole makes an indescribable sound. It changes the Pokémon to the Normal-type.		Diese Beere kann entkernt und getrocknet werden, um eine Pfeife zu schaffen. Bläst man dabei durch das Loch, bekommt man einen unbeschreibbaren Ton. Es wechselt den Typ des Pokémon zu Normal.	Esta baya puede ser extraida y secada para crear un silbato. Soplando a través de su agujero se produce un sonido indescriptible. Cambia el tipo de Pokémon a Normal.		속을 파내고 말려 피리를 만들 수 있는 열매. 불면 뭐라 말할 수가 없는 기묘한 소리가 난다고. 먹은 포켓몬을 노멀타입으로 변화시킨다.					
0002-berry_chople-0000|data.Name		Chople Berry	Baie Pomroz	Rospelbeere	Baya Pomaro		로플열매	Baccarosmel	ヨプのみ	ヨプのみ	莲蒲果	蓮蒲果
0002-berry_chople-0001|data.Desc		This berry contains a substance that generates heat. It can even heat up a chilly heart. It changes the Pokémon to the Fighting-type.		Diese Beere besitzt eine Substanz, welche Hitze generieren kann. Es kann sogar ein kaltes Herz aufwärmen. Es wechselt den Typen des Pokémon zu Kampf.	Esta baya contiene una sustancia que genera calor. Puede calentar incluso un corazón frío. Cambia el tipo del Pokémon a Lucha		과육 속에 열을 발생시키는 성분이 있다. 차가운 마음도 따뜻하게 만들 수 있다고. 먹은 포켓몬을 격투타입으로 변화시킨다.					
0002-berry_coba-0000|data.Name		Coba Berry	Baie Cobaba	Kobabeere	Baya Kouba		바코열매	Baccababa	バコウのみ	バコウのみ	棱瓜果	稜瓜果
0002-berry_coba-0001|data.Desc		This berry is said to be a new kind that is a cross of two berries brought together by winds from far away. It changes the Pokémon to the Flying-type.		Es wird erzählt, dass es sich um eine neue Art Beere handelt. Sie soll nämlich eine Kreuzung zwischen zwei Beeren sein, die der Wind zusammengebracht hat. Es wechselt den Typ des Pokémon zu Fug.	Esta baya se dice que es un nuevo tipo que es un cruce entre dos bayas reunidos por los vientos desde un lugar lejano. Cambia el tipo del Pokémon a Volador.		멀리 있던 각각의 나무열매가 바람에 날려와 열매를 맺어 신종의 나무열매가 되었다고 한다. 먹은 포켓몬을 비행타입으로 변화시킨다.					
0002-berry_colbur-0000|data.Name		Colbur Berry	Baie Lampou	Burleobeere	Baya Dillo	Fruta Colbur	마코열매	Baccaxan	ナモのみ	ナモのみ	刺耳果	刺耳果
0002-berry_colbur-0001|data.Desc		Tiny hooks grow on the surface of this berry. It latches on to Pokémon so it can be carried to far-off places. It changes the Pokémon to the Dark-type.		Kleine Haken wachsen auf der Oberfläche dieser Beere. Es hängt sich an das Pokémon, um somit an zu weit entfernten Orte getragen werden zu können. Es wechselt den Typen des Pokémon zu Unlicht.	Pequeñas púas crecen en la superficie de esta baya. Se agarra al Pokémon para poderse llevar a grandes distancias. Cambia el tipo de Pokémon a Siniestro.		표면에 자란 가시들로 포켓몬에게 들러붙어 먼 땅까지 운반된다는 열매. 먹은 포켓몬을 악타입으로 변화시킨다.					
0002-berry_custap-0000|data.Name		Custap Berry	Baie Chérim	Eipfelbeere	Baya Chiri		애슈열매	Baccacrela	イバンのみ	イバンのみ	释陀果	釋陀果
0002-berry_custap-0001|data.Desc												
0002-berry_enigma-0000|data.Name		Enigma Berry	Baie Enigma	Enigmabeere	Baya Enigma		의문열매	Baccaenigma	ナゾのみ	ナゾのみ	谜芝果	謎芝果
0002-berry_enigma-0001|data.Desc		A completely enigmatic Berry that appears to have the power of stars. It restores HP when hit by a super-effective move.	Une Baie complètement énigmatique qui semble avoir le pouvoir des étoiles. Elle restaure les PV lorsqu'elle est touchée par un coup super efficace.	Eine enigmatische Beere. Sie scheint die Macht der Sterne zu besitzen. Füllt KP auf, wenn man von einem sehr effektiven Angriff getroffen wird.			별들의 힘을 지닌 것으로 보이는 수수께끼의 열매. 먹으면 효과가 굉장한 기술로 인해 데미지를 입었을 때 체력을 회복하게 된다.					
0002-berry_ganlon-0000|data.Name		Ganlon Berry	Baie Lingan	Linganbeere	Baya Gonlan		용아열매	Baccalongan	リュガのみ	リュガのみ	龙睛果	龍睛果
0002-berry_ganlon-0001|data.Desc		A Berry surrounded by mystery, rumored to be imbued with the power of the land. It maximizes Defense.	Une Baie mystérieuse, censée contenir le pouvoir de la terre. Augmente la Défense.	Eine geheimnisvolle Beere. Man sagt, sie enthalte die Kraft des Landes. Sie maximiert die Verteidigung.			대지의 기운을 담고 있다는 의문의 열매. 먹으면 방어를 최대로 만든다.					
0002-berry_haban-0000|data.Name		Haban Berry	Baie Fraigo	Terirobeere	Baya Anjiro		하반열매	Baccahaban	ハバンのみ	ハバンのみ	莓榴果	莓榴果
0002-berry_haban-0001|data.Desc		If a large enough volume of this berry is boiled down, its bitterness fades away. It makes a good jam. It changes the Pokémon to the Dragon-type.		Wenn diese Beere genügend heruntergekocht wird, dann verschwindet die Bitterkeit. Daraus lässt sich gute Marmelade machen. Es wechselt den Typen des Pokémon zu Drache.	Si un volumen grande de esta baya se reduce, su amargura se desvanece. Con ella se hace una buena mermelada. Cambia el tipo del Pokémon a Dragón.		많은 하반열매를 한꺼번에 졸이면 쓴맛이 사라지고 먹을만한 잼이 나온다고 한다. 먹은 포켓몬을 드래곤타입으로 변화시킨다.					
0002-berry_hondew-0000|data.Name		Hondew Berry	Baie Lonme	Honmelbeere	Baya Meluce		로매열매	Baccamelon	ロメのみ	ロメのみ	哈密果	哈密果
0002-berry_hondew-0001|data.Desc												
0002-berry_jaboca-0000|data.Name		Jaboca Berry	Baie Jaboca	Jabocabeere	Baya Jaboca		자보열매	Baccajaba	ジャポのみ	ジャポのみ	嘉珍果	嘉珍果
0002-berry_jaboca-0001|data.Desc		The cluster of drupelets that make up this berry pop rhythmically if the berry is handled roughly. If a physical attack hits the Pokémon, the damage will be reflected to all enemies nearby.	Le grappe de drupéoles qui compose cette Baie éclate en rythme si on la manipule avec trop de vigueur. Si une attaque physique touche le Pokémon, les dégâts seront reflétés à tout les ennemis proches.	Die winzigen Beeren auf der Oberfläche dieser Beere platzen auf rhythmische Weise auf, wenn man sie hart anfasst. Falls eine physische Attacke das Pokémon trifft, wird der Schaden an alle benachbarten Gegner reflektiert.			이 열매의 낱알들은 거칠게 다루면 튀면서 리드미컬한 소리를 낸다. 먹은 포켓몬은 물리공격을 받았을 때 데미지를 근처 적들에게 반사시킨다.					
0002-berry_kasib-0000|data.Name		Kasib Berry	Baie Sédra	Zitarzbeere	Baya Drasi		수불열매	Baccacitrus	カシブのみ	カシブのみ	佛柑果	佛柑果
0002-berry_kasib-0001|data.Desc		Considered to have a special power from the olden days, this berry is sometimes dried and used as a good-luck charm. It changes the Pokémon to the Ghost-type.		Man sagt, diese Beere besitze mystische Kräfte. Daher wird sie manchmal getrocknet und als Glücksbringer verwendet. Es wechselt den Typ des Pokémon zu Geist.	Considerado que tiene un poder especial desde tiempo antiguos, esta baya se suele secar y usar para amuletos de buena suerte. Cambia el tipo del Pokémon a Fantasma.		고대의 특별한 힘을 지녔다고 여겨지기에 말려서 행운의 부적으로 쓰기도 한다는 열매. 먹은 포켓몬을 고스트타입으로 변화시킨다.					
0002-berry_kebia-0000|data.Name		Kebia Berry	Baie Kébia	Grarzbeere	Baya Kebia		으름열매	Baccakebia	ビアーのみ	ビアーのみ	通通果	通通果
0002-berry_kebia-0001|data.Desc		This berry is a brilliant green on the outside. Inside, it is packed with a dry-flavored, black-colored flesh. It changes the Pokémon to the Poison-type.		Diese Beere erstrahlt in einem hellen Grün. Ihr Fleisch hingegen ist schwarz und hat einen trockenen Geschmack. Es wechselt den Typ des Pokémon zu Gift.	Por fuera, esta baya es de un color verde brillante. Por dentro, tiene un sabor seco y su fruta posee un color negro. Cambia el tipo de Pokémon a Veneno. 		겉은 선명한 녹색이다. 안쪽에는 떫은 흑색의 과육으로 가득차 있다. 먹은 포켓몬을 독타입으로 변화시킨다.					
0002-berry_kee-0000|data.Name		Kee Berry	Baie Éka	Akibeere	Baya Biglia		악키열매	Baccalighia	アッキのみ	アッキのみ	亚开果	亞開果
0002-berry_kee-0001|data.Desc												
0002-berry_kelpsy-0000|data.Name		Kelpsy Berry	Baie Alga	Setangbeere	Baya Algama		시마열매	Baccalga	ネコブのみ	ネコブのみ	藻根果	藻根果
0002-berry_kelpsy-0001|data.Desc												
0002-berry_leppa-0000|data.Name		Leppa Berry	Baie Mepo	Jonagobeere	Baya Zanama	Fruta Leppa	과사열매	Baccamela	ヒメリのみ	ヒメリのみ	苹野果	蘋野果
0002-berry_leppa-0001|data.Desc		A berry that takes a long time to grow. It fully restores PP.	Une baie qui prend du temps à pousser. Elle restaure les PP du Pokémon.	Eine Beere, die eine lange Zeit zum wachsen braucht. Es füllt die AP vollständig auf.	Una baya que tarda mucho tiempo en crecer. Restaura por completo todos los PP.	Uma fruta que leva bastante tempo para crescer. Restaura todos os PP completamente.	성장시간이 길다는 열매. 먹으면 PP를 완전히 회복한다.					
0002-berry_liechi-0000|data.Name		Liechi Berry	Baie Lichii	Lydzibeere	Baya Lichi		치리열매	Baccalici	チイラのみ	チイラのみ	枝荔果	枝荔果
0002-berry_liechi-0001|data.Desc		A mysterious Berry, rumored to contain the power of the sea. It maximizes Attack.	Une Baie mystérieuse, censée contenir le pouvoir de la mer. Augmente l'Attaque.	Eine geheimnisvolle Beere. Man sagt, sie enthalte die Kraft des Meeres. Sie maximiert den Angriff.	Una misteriosa Baya, que se rumorea que contiene la fuerza del mar. Maximiza el Ataque.		불가사의한 열매. 소문에 따르면 바다의 힘을 머금고 있다고. 먹으면 공격을 최대로 만든다.					
0002-berry_lum-0000|data.Name		Lum Berry	Baie Prine	Prunusbeere	Baya Ziuela	Fruta Lum	리샘열매	Baccaprugna	ラムのみ	ラムのみ	木子果	木子果
0002-berry_lum-0001|data.Desc		A berry that matures slowly, storing nutrients beneficial to Pokémon health. It cures many status problems.	Une baie qui mûrit lentement, elle contient des nutriments essentiel à la santé du Pokémon. Elle soigne de nombreux problème de statut.	Eine Beere, welche langsam reift, um somit Nährstoffe zu speichern. Sie ist gesund und heilt viele Statusprobleme.	Una baya que madura lentamente, guardando beneficiosos nutrientes para la salud del Pokémon. Cura varios problemas de estado.	Uma fruta que amadurece lentamente, armazenando nutrientes importantes para a saude de Pokémon. Cura vários problemas de estado.	포켓몬의 몸에 좋은 성분을 내부에 천천히 비축하며 자라는 열매. 먹으면 대부분의 상태이상을 치료한다.					
0002-berry_maranga-0000|data.Name		Maranga Berry	Baie Rangma	Tarabeere	Baya Maranga		타라프열매	Baccapane	タラプのみ	タラプのみ	香罗果	香羅果
0002-berry_maranga-0001|data.Desc												
0002-berry_micle-0000|data.Name		Micle Berry	Baie Micle	Wunfrubeere	Baya Lagro		미클열매	Baccaracolo	ミクルのみ	ミクルのみ	奇秘果	奇秘果
0002-berry_micle-0001|data.Desc		This berry has a very dry flavor. It has the effect of making other food eaten at the same time taste sweet. It maximizes Accuracy.	Cette Baie a une saveur très sèche. En accompagnement, elle a la particularité de donner un goût sucré aux aliments. Augmente la Précision.	Diese Beere hat ein trockenes Aroma. Isst man sie mit anderen Lebensmitteln, erhalten diese eine gewisse Süße. Sie maximiert die Genauigkeit.			아주 떫은 열매다. 동시에 먹은 음식을 달게 느껴지게 만드는 효과가 있다. 먹으면 명중률을 최대로 만든다.					
0002-berry_occa-0000|data.Name		Occa Berry	Baie Chocco	Koakobeere	Baya Caoca		오카열매	Baccacao	オッカのみ	オッカのみ	巧可果	巧可果
0002-berry_occa-0001|data.Desc		This berry is said to have grown plentiful in the tropics of the past. It boasts an intensely hot spiciness. It changes the Pokémon to the Fire-type.		Man sagt, diese Beere wuchs früher in den Tropen. Sie hat einen sehr scharfen Geschmack. Es wechselt den Typen des Pokémon zu Feuer.	Esta baya se dice que en el pasado crecía abundantemente en los trópicos. Presume de un intenso sabor picante. Cambia el tipo del Pokémon a Fuego.		옛날, 열대지방에서 많이 생산되었다고 하는 나무열매다. 작열하는 매운 맛이 자랑이다. 먹은 포켓몬을 불타입으로 변화시킨다.					
0002-berry_oran-0000|data.Name		Oran Berry	Baie Oran	Sinelbeere	Baya Aranja	Fruta Laran	오랭열매	Baccarancia	オレンのみ	オレンのみ	橙橙果	橙橙果
0002-berry_oran-0001|data.Desc		A peculiar berry with a mix of flavors. It fully restores HP.	Une baie particulière avec un subtil mélange de saveur. Elle restaure tout les PV du Pokémon.	Eine eigenartige Beere mit einer Mischung aus Geschmäckern. Es füllt die KP vollständig auf.	Baya peculiar con una mezcla de sabores. Restaura por completo los PS.	Uma fruta peculiar com uma mistura de sabores. Restaura os PV por completo.	여러가지 맛이 섞인 신기한 열매. 먹으면 체력을 완전히 회복한다.					
0002-berry_passho-0000|data.Name		Passho Berry	Baie Pocpoc	Foepasbeere	Baya Pasio		꼬시개열매	Baccapasflo	イトケのみ	イトケのみ	千香果	千香果
0002-berry_passho-0001|data.Desc		This berry's flesh is dotted with tiny bubbles of air that keep it afloat in water. It changes the Pokémon to the Water-type.		Das Beerenfleisch ist mit kleinen Bläschen aus Luft gepunktet, welche sie im Wasser schwimmen lässt. Es wechselt den Typ des Pokémon zu Wasser.			껍질에는 작은 기포가 가득해 물에서도 잘 뜬다. 먹은 포켓몬을 물타입으로 변화시킨다.					
0002-berry_payapa-0000|data.Name		Payapa Berry	Baie Yapap	Pyapabeere	Baya Payapa		야파열매	Baccapayapa	ウタンのみ	ウタンのみ	福禄果	福祿果
0002-berry_payapa-0001|data.Desc		This berry is said to sense emotions for the way it swells roundly when anything approaches. It changes the Pokémon to the Psychic-type.		Von dieser Beere wird erzählt, dass sie Emotionen wahrnehmen kann indem sie ründlich anschwellt, falls irgendetwas nähert. Es wechselt den Typ des Pokémon zu Psycho.			무언가 접근할 때마다 둥글게 부풀어오르는 것은 마음을 감지하는 것이라고 한다. 먹은 포켓몬을 에스퍼타입으로 변화시킨다.					
0002-berry_pecha-0000|data.Name		Pecha Berry	Baie Pêcha	Pirsifbeere	Baya Meloc	Fruta Pecha	복슝열매	Baccapesca	モモンのみ	モモンのみ	桃桃果	桃桃果
0002-berry_pecha-0001|data.Desc												
0002-berry_persim-0000|data.Name		Persim Berry	Baie Kika	Persimbeere	Baya Caquic	Fruta Persim	시몬열매	Baccaki	キーのみ	キーのみ	柿仔果	柿仔果
0002-berry_persim-0001|data.Desc												
0002-berry_petaya-0000|data.Name		Petaya Berry	Baie Pitaye	Tahaybeere	Baya Yapati		야타비열매	Baccapitaya	ヤタピのみ	ヤタピのみ	龙火果	龍火果
0002-berry_petaya-0001|data.Desc		A mysterious Berry rumored to contain the power of all living things. It maximizes Special Attack.	Une Baie mystérieuse, censée contenir le pouvoir de la vie. Augmente l'Attaque Spéciale.	Eine geheimnisvolle Beere. Man sagt, sie enthalte die Kraft allen Lebens. Sie maximiert den Spezial Angriff.			살아있는 모든 것의 힘이 담겨 있다는 소문의 열매. 특수공격을 최대로 만든다.					
0002-berry_qualot-0000|data.Name		Qualot Berry	Baie Qualot	Qualotbeere	Baya Ispero		파비열매	Baccaloquat	タポルのみ	タポルのみ	比巴果	比巴果
0002-berry_qualot-0001|data.Desc												
0002-berry_rawst-0000|data.Name		Rawst Berry	Baie Fraive	Fragiabeere	Baya Safre	Fruta Rawst	복분열매	Baccafrago	チーゴのみ	チーゴのみ	莓莓果	莓莓果
0002-berry_rawst-0001|data.Desc												
0002-berry_rindo-0000|data.Name		Rindo Berry	Baie Ratam	Grindobeere	Baya Tamar		린드열매	Baccarindo	リンドのみ	リンドのみ	罗子果	羅子果
0002-berry_rindo-0001|data.Desc		This berry has a disagreeable "green" flavor and scent typical of vegetables. It is rich in health-promoting fiber. It changes the Pokémon to the Grass-type.		Diese Beere besitzt einen unangenehm "grünen" Geschmack und Duft von üppigen Gemüse. Es ist reich an gesundheitsfördernden Fasern. Es wechselt den Typ des Pokémon zu Pflanze.	Esta baya tiene un desagradable sabor verde y huele a vegetales. Es rica en fibras que benefician la salud. Cambia el tipo de Pokémon a Planta.		식물 특유의 풋내는 호불호가 갈리지만 건강한 섬유질이 풍부하다. 먹은 포켓몬을 풀타입으로 변화시킨다.					
0002-berry_roseli-0000|data.Name		Roseli Berry	Baie Selro	Hibisbeere	Baya Hibis		로셀열매	Baccarcadè	ロゼルのみ	ロゼルのみ	洛玫果	洛玫果
0002-berry_roseli-0001|data.Desc		A mysterious berry. It changes the Pokémon to the Fairy-type.		Eine mysteriöse Beere. Es wechselt den Typ des Pokémon zu Fee.			불가사의한 열매. 먹은 포켓몬을 페어리타입으로 변화시킨다.					
0002-berry_rowap-0000|data.Name		Rowap Berry	Baie Pommo	Roselbeere	Baya Magua		애터열매	Baccaroam	レンブのみ	レンブのみ	雾莲果	霧蓮果
0002-berry_rowap-0001|data.Desc		In days of old, people worked the top-shaped pieces of this berry free and used them as toys. If a special attack hits the Pokémon, the damage will be reflected to all enemies nearby.	Autrefois, on détachait les morceaux supérieurs de cette Baie pour en faire des jouets. Si une attaque spécial touche le Pokémon, les dégâts seront reflétés à tout les ennemis proches.	Früher haben die Menschen die kreiselförmige Oberfläche dieser Beere abgetrennt und sie als Spielzeug verwendet. Falls eine spezielle Attacke das Pokémon trifft, wird der Schaden an alle benachbarten Gegner reflektiert.			열매를 떼어내면 하나하나가 팽이 모양이다. 옛날에는 이것을 장난감 삼았다고 한다. 먹은 포켓몬은 특수공격을 받았을 때 데미지를 근처 적들에게 반사시킨다.					
0002-berry_salac-0000|data.Name		Salac Berry	Baie Sailak	Salkabeere	Baya Aslac		캄라열매	Baccasalak	カムラのみ	カムラのみ	沙鳞果	沙鱗果
0002-berry_salac-0001|data.Desc		A Berry surrounded by mystery, rumored to be imbued with the power of the sky. It maximizes Movement Speed.		Eine geheimnisvolle Beere. Man sagt, sie enthalte die Kraft des Himmels. Sie maximiert die Bewegungsgeschwindigkeit			하늘의 기운을 담고 있다는 의문의 열매. 행동속도를 최대로 만든다.					
0002-berry_shuca-0000|data.Name		Shuca Berry	Baie Jouca	Schukebeere	Baya Acardo		슈캐열매	Baccanaca	シュカのみ	シュカのみ	腰木果	腰木果
0002-berry_shuca-0001|data.Desc		The sweetness-laden pulp has just the hint of a hard-edged and fragrant bite to it. It changes the Pokémon to the Ground-type.		Das von Süße beladene Fruchtfleisch lässt auf einen hartkantigen und würzigen Biss vermuten. Es wechselt den Typ des Pokémon zu Boden.	La dulce pulpa de esta baya camufla su dureza y la dulzura que desprende provoca a morderla. Cambia el tipo de Pokémon a Tierra.		단맛이 가득한 과육 속에 단단하고 향기로운 풍미를 희미하게 느낄 수 있다. 먹은 포켓몬을 땅타입으로 변화시킨다.					
0002-berry_sitrus-0000|data.Name		Sitrus Berry	Baie Sitrus	Tsitrubeere	Baya Zidra	Fruta Cítrica	자뭉열매	Baccacedro	オボンのみ	オボンのみ	文柚果	文柚果
0002-berry_sitrus-0001|data.Desc		A large berry with a well-rounded flavor. It gradually restores HP for a few turns.	Une grosse baie avec une saveur bien équilibrée. Elle restaure progressivement les PV pendant quelques tours.	Eine große Beere mit vielseitigem Geschmack. Sie regeneriert ein paar Züge lang zusätzliche KP.		Uma fruta grande com um sabor bem balanceado. Restaura PV gradualmente por alguns turnos.	균형잡힌 맛의 커다란 열매. 먹으면 몇 턴동안 천천히 체력을 회복한다.					
0002-berry_starf-0000|data.Name		Starf Berry	Baie Frista	Krambobeere	Baya Arabol		스타열매	Baccambola	スターのみ	スターのみ	星桃果	星桃果
0002-berry_starf-0001|data.Desc		So strong, it was abandoned at the world's edge. It is still considered a mirage to this very day. It sharply raises all stats.	Cette Baie est considérée comme un mirage. On dit qu'elle était si puissante qu'on dut l'abandonner au bout du monde. Augmente brusquement chaque stats.	Diese Beere wird als Illusion angesehen. Sie soll so mächtig gewesen sein, dass sie an den Rand der Welt verbannt wurde. Sie erhöht alle Werte drastisch.			너무나 강력했기에 세계의 끝에 버려졌었다. 현재까지도 신기루로 여겨지는 진귀한 열매. 먹으면 모든 스탯을 꽤 올려준다. 					
