Key		EN	DE	PT	IT	ZH-HANS	FR	ES	KO	JA	JA-JP	ZH-HANT
0009-thunder_punch-0001|data.Desc		The target is punched with an electrified fist. This may also leave the target with paralysis.	Ein elektrischer Schlag, der das Ziel eventuell paralysiert.	O alvo é socado com um punho eletrizante. Possui chance de paralisar o alvo.	Il Pokémon attacca il bersaglio con un pugno elettrico che può paralizzarlo.	用充满电流的拳头攻击对手。有时会让对手陷入麻痹状态。	Un coup de poing électrique vient frapper l’ennemi. Peut le paralyser.	Puñetazo eléctrico. Puede paralizar.	전격을 담은 펀치로 상대를 공격한다. 마비 상태로 만들 때가 있다.	でんげきを　こめた　パンチで あいてを　こうげきする。 まひ　じょうたいに　することが　ある。	電撃を　こめた　パンチで 相手を　攻撃する。 まひ状態に　することが　ある。	用帶有電流的拳頭 攻擊對手。 有時會讓對手陷入麻痺狀態。
0010-scratch-0000|data.Name		Scratch	Kratzer	Arranhão	Graffio	抓	Griffe	Arañazo	할퀴기	ひっかく	ひっかく	抓
0010-scratch-0001|data.Desc		Hard, pointed, sharp claws rake the target to inflict damage.	Das Ziel wird mit scharfen Klauen zerkratzt.	Garras afiadas e pontudas rasgam o inimigo para infligir dano.	Il Pokémon attacca il bersaglio graffiandolo con artigli acuminati, duri e affilati.	用坚硬且无比锋利的爪子抓对手进行攻击。	Lacère l’ennemi avec des griffes acérées pour lui infliger des dégâts.	Araña con afiladas garras.	단단하고 뾰족한 날카로운 손톱으로 상대를 할퀴어서 공격한다.	かたく　とがった　するどい　ツメで あいてを　ひっかいて　こうげきする。	硬く　とがった　鋭い　ツメで 相手を　ひっかいて　攻撃する。	用堅硬且無比鋒利的爪子 抓對手進行攻擊。
0011-vice_grip-0000|data.Name		Vice Grip	Klammer	Agarramento Viciado	Presa	夹住	Force Poigne	Agarre	찝기	はさむ	はさむ	夾住
0011-vice_grip-0001|data.Desc		The target is gripped and squeezed from both sides to inflict damage. The target becomes immobilized.	Das Ziel wird umklammert und zusammengequetscht um Schaden zuzufügen. Es wird dadurch immobilisiert.	O alvo é apertado, inflingindo dano, e imobilizando-o.	Il Pokémon stringe il bersaglio in una morsa, infliggendogli danni e immobilizzandolo.	将对手从两侧夹住，给予伤害。使对手无法移动。			상대를 양쪽에서 집어서 데미지를 준다. 상대는 경직 상태에 걸린다.			
0012-guillotine-0000|data.Name		Guillotine	Guillotine	Guilhotina	Ghigliottina	断头钳	Guillotine	Guillotina	가위자르기	ハサミギロチン	ハサミギロチン	斷頭鉗
0012-guillotine-0001|data.Desc		A vicious, tearing attack with big pincers. The target faints instantly if it hits.	Kräftige Scheren-Attacke. Führt beim Ziel sofort zum K.O.	Um golpe brutal com pinças, que nocauteia o alvo instantaneamente caso acerte.	Il Pokémon attacca il bersaglio con pericolose tenaglie. Se la mossa va a segno, il Pokémon colpito va KO.	用大钳子或剪刀等夹断对手进行攻击。只要命中就会击倒对手。	De méchantes pinces lacèrent l’ennemi, le mettant K.O. sur le coup s’il est touché.	Ataque con pinzas que debilita al oponente de un golpe si acierta.	큰 집게로 상대를 베어 갈라 공격한다. 맞으면 일격에 기절한다.	おおきな　ハサミで あいてを　きりさいて　こうげきする。 あたれば　いちげきで　ひんしに　する。	大きな　ハサミで 相手を　切り裂いて　攻撃する。 当たれば　一撃で　ひんしに　する。	
0013-razor_wind-0000|data.Name		Razor Wind	Klingensturm	Vento Cortante	Ventagliente	旋风刀	Coupe-Vent	Viento Cortante	칼바람	かまいたち	かまいたち	旋風刀
0013-razor_wind-0001|data.Desc		A two-turn attack. Blades of wind hit opposing Pokémon on the second turn. Critical hits land more easily.	Eine Attacke, die über zwei Runden geht. Hohe Volltrefferquote.	Um ataque de dois turnos. Lâminas de vento atingem o alvo no segundo turno. Acertos críticos acontecem mais frequentemente do que o normal.	Il Pokémon genera un turbine al primo turno e attacca al secondo. Probabile brutto colpo.	制造风之刃，于第2回合攻击对手。容易击中要害。	Attaque en deux tours. Des lames de vent frappent l’ennemi au second tour. Taux de critiques élevé.	Primero se prepara y en el segundo turno ataca al oponente con ráfagas de viento cortante. Alta probabilidad de ser crítico.	바람의 칼날을 만들어 2턴째에 상대를 공격한다. 급소에 맞기 쉽다.	かぜの　やいばを　つくり ２ターンめに　あいてを　こうげきする。 きゅうしょに　あたりやすい。	風の　刃を　つくり ２ターン目に　相手を　攻撃する。 急所に　当たりやすい。	製造出風之刃， 在下一回合攻擊對手。 容易擊中要害。
0014-swords_dance-0000|data.Name		Swords Dance	Schwerttanz	Dança das Espadas	Danzaspada	剑舞	Danse-Lames	Danza Espada	칼춤	つるぎのまい	つるぎのまい	劍舞
0014-swords_dance-0001|data.Desc		A frenetic dance to uplift the fighting spirit. This sharply raises the Attack stat.	Ein wilder, ermutigender Kampftanz, der den Angriffs-Wert stark erhöht.	Uma dança frenética que levanta o espírito de combate. Aumenta o ataque consideravelmente.	Danza frenetica che incrementa lo spirito combattivo. Chi la usa aumenta di molto il suo Attacco.	激烈地跳起战舞提高气势。大幅提高自己的攻击。			싸움의 춤을 격렬하게 추며 기세를 높인다. 자신의 공격을 크게 올린다.			激烈地跳起戰舞提升氣勢。 大幅提高自己的攻擊。
0015-cut-0000|data.Name		Cut	Zerschneider	Cortar	Taglio	居合斩	Coupe	Corte	풀베기	いあいぎり	いあいぎり	居合斬
0015-cut-0001|data.Desc		The target is cut with a scythe or claw.	Ein Basisangriff mit Schere oder Klaue.	Corta o alvo com garras, etc.	Il Pokémon attacca il bersaglio con artigli o falci affilate.	用镰刀或爪子等切斩对手进行攻击。	Coupe l’ennemi avec des lames ou des griffes.	Corta al adversario con garras, guadañas, etc.	낫이나 발톱 등으로 상대를 베어 공격한다.	カマや　ツメなどで あいてを　きりつけて　こうげきする。	カマや　ツメなどで 相手を　切りつけて　攻撃する。	用鐮刀或爪子等 斬切對手進行攻擊。
0016-gust-0000|data.Name		Gust	Windstoß	Lufada de Vento	Raffica	起风	Tornade	Tornado	바람일으키기	かぜおこし	かぜおこし	起風
0016-gust-0001|data.Desc		A gust of wind is whipped up by wings and launched at the target to inflict damage.	Trifft das Ziel mit einem Windstoß durch einen Flügelschlag.	Golpeia o alvo com vento gerado por asas.	Il Pokémon attacca il bersaglio con una folata di vento sollevata dalle ali.	用翅膀将刮起的狂风袭向对手进行攻击。	Le lanceur bat des ailes pour générer une bourrasque qui blesse l’ennemi.	Crea un tornado con las alas y lo lanza contra el objetivo.	날개로 일으킨 격한 바람을 상대에게 부딪쳐서 공격한다.	つばさで　おこした　はげしい　かぜを あいてに　ぶつけて　こうげきする。	翼で　おこした　激しい　風を 相手に　ぶつけて　攻撃する。	用翅膀刮起狂風， 吹向對手進行攻擊。
0017-wing_attack-0000|data.Name		Wing Attack	Flügelschlag	Ataque de Asa	Attacco d'Ala	翅膀攻击	Cru-Aile	Ataque Ala	날개치기	つばさでうつ	つばさでうつ	翅膀攻擊
0017-wing_attack-0001|data.Desc		The target is struck with large, imposing wings spread wide to inflict damage.	Trifft das Ziel mit ausgebreiteten Flügeln.	O alvo é atingido por asas enormes, causando dano.	Il Pokémon attacca il bersaglio spiegando delle grandi ali possenti.	大大地展开美丽的翅膀，将其撞向对手进行攻击。	L’ennemi est frappé par de larges ailes déployées pour infliger des dégâts.	Golpea al objetivo con unas grandes alas.	크게 펼친 훌륭한 날개를 상대에게 부딪쳐서 공격한다.	おおきく　ひろげた　りっぱな　つばさを あいてに　ぶつけて　こうげきする。	大きく　ひろげた　りっぱな　翼を 相手に　ぶつけて　攻撃する。	用大大伸展開來的美麗翅膀， 撞向對手進行攻擊。
0018-whirlwind-0000|data.Name		Whirlwind	Wirbelwind	Rajada de Vento	Turbine	吹飞	Cyclone	Remolino	날려버리기	ふきとばし	ふきとばし	吹飛
0018-whirlwind-0001|data.Desc		The user generates a powerful wind that blows away other Pokémon.	Weht andere Pokémon mit einem starken Wind weg.	O usuário gera uma corrente de vento forte, que afasta outros Pokémon.	Il Pokémon genera un potente turbine che fa volare via gli altri Pokémon.	使用者刮起强风，吹飞其他宝可梦。			격한 바람을 일으켜 다른 포켓몬을 날려버린다.			
0019-fly-0000|data.Name		Fly	Fliegen	Voar	Volo	飞翔	Vol	Vuelo	공중날기	そらをとぶ	そらをとぶ	飛翔
0019-fly-0001|data.Desc		The user soars and then strikes its target any time in the next 5 turns.	Steigt empor und trifft das Ziel in den nächsten 5 Runden.	O usuário alça voo, e atinge seu alvo a qualquer momento nos próximos 5 turnos.	Il Pokémon vola nel cielo per poi colpire il bersaglio in uno dei cinque turni successivi.	使用者飞起来，然后在后5个回合内的任何时候攻击对手。			높이 날아오른 뒤 적을 5턴 이내에 공격한다.			
0020-bind-0000|data.Name		Bind	Klammergriff	Ligação	Legatutto	绑紧	Étreinte	Atadura	조이기	しめつける	しめつける	綁緊
0020-bind-0001|data.Desc		Things such as long bodies or tentacles are used to bind and squeeze the target for three turns.	Umklammert und quetscht das Ziel über drei Runden.	Coisas longas, como tentáculos e corpos longos, são usados para prender e apertar o alvo por três turnos.	Il Pokémon utilizza cose come la lunghezza del suo corpo o i suoi tentacoli per legare e stringere il bersaglio per tre turni.	使用长长的身体或藤蔓等，在3回合内绑紧对手进行攻击。			긴 몸이나 덩굴 등을 써서 3턴 동안 상대를 조여 공격한다.			使用長長的身體或藤蔓等， 在 3 回合內 綁緊對手進行攻擊。
0021-slam-0000|data.Name		Slam	Slam	Pancada Brusca	Schianto	摔打	Souplesse	Atizar	힘껏치기	たたきつける	たたきつける	摔打
0021-slam-0001|data.Desc		The target is slammed with a long tail, vines, or the like to inflict damage.	Schlag mit einem langen Schweif, einer Ranke oder Ähnlichem.	O alvo é derrubado com uma cauda longa, ou vinhas e similares, causando dano.	Il Pokémon attacca il bersaglio con la coda, con una liana o con qualcosa di simile.	使用长长的尾巴或藤蔓等摔打对手进行攻击。	Fouette l’ennemi avec la queue ou une liane, par exemple, pour infliger des dégâts.	Golpea con las extremidades.	긴 꼬리나 덩굴 등을 사용해 상대를 힘껏 쳐서 공격한다.	ながい　しっぽや　つるなどを　つかい あいてを　たたきつけて　こうげきする。	長い　しっぽや　つるなどを　使い 相手を　たたきつけて　攻撃する。	將長長的尾巴或藤蔓等 甩向對手進行攻擊。
0022-vine_whip-0000|data.Name		Vine Whip	Rankenhieb	Chicote de Vinha	Frustata	藤鞭	Fouet Lianes	Látigo Cepa	덩굴채찍	つるのムチ	つるのムチ	藤鞭
0022-vine_whip-0001|data.Desc		The target is struck with slender, whiplike vines to inflict damage.	Peitschenähnlicher Schlag mit Ranken.	O alvo é golpeado com vinhas finas, parecidas com chicotes.	Il Pokémon attacca il bersaglio sferzandolo con liane sottili simili a fruste.	用如同鞭子般弯曲而细长的藤蔓摔打对手进行攻击。	Fouette l’ennemi avec de fines lianes pour infliger des dégâts.	Azota al objetivo con ramas finas.	채찍처럼 휘어지는 가늘고 긴 덩굴로 상대를 힘껏 쳐서 공격한다.	ムチのように　しなる　ほそながい　つるで あいてを　たたきつけて　こうげきする。	ムチのように　しなる　細長い　つるで 相手を　たたきつけて　攻撃する。	將如同鞭子般彎曲而細長的藤蔓 甩向對手進行攻擊。
0023-stomp-0000|data.Name		Stomp	Stampfer	Pisotear	Pestone	踩踏	Écrasement	Pisotón	짓밟기	ふみつけ	ふみつけ	踩踏
0023-stomp-0001|data.Desc		The target is stomped with a big foot. This may also make the target flinch.	Stampfen mit dem Fuß. Das Ziel schreckt eventuell zurück.	O alvo é golpeado com um pisoteio forte, que pode fazer com que o alvo recue.	Il Pokémon attacca il bersaglio pestandolo con un grosso piede e può anche farlo tentennare.	用大脚踩踏对手进行攻击。有时会使对手畏缩。	Écrase l’ennemi avec un énorme pied. Peut aussi l’apeurer.	Tremendo pisotón que puede hacer retroceder al objetivo.	큰 발로 상대를 짓밟아서 공격한다. 상대를 풀죽게 만들 때가 있다.	おおきな　あしで あいてを　ふ つけて　こうげきする。 あいてを　ひるませる　ことが　ある。	大きな　足で 相手を　踏 つけて　攻撃する。 相手を　ひるませることが　ある。	用大腳踩踏對手進行攻擊。 有時會讓對手畏縮。
0024-double_kick-0000|data.Name		Double Kick	Doppelkick	Chute Duplo	Doppiocalcio	二连踢	Double Pied	Doble Patada	두번치기	にどげり	にどげり	二連踢
0024-double_kick-0001|data.Desc		The target is quickly kicked twice in succession using both feet.	Der Anwender tritt in einer Runde zweimal schnell zu.	Golpeia o alvo com chutes, o atingindo duas vezes.	Il Pokémon attacca il bersaglio calciandolo con entrambi i piedi, infliggendogli danni due volte di fila.	用2只脚踢飞对手进行攻击。连续2次给予伤害。	Deux coups de pied qui frappent l’ennemi deux fois d’affilée.	Una patada doble. Golpea dos veces.	2개의 다리로 상대를 걷어차서 공격한다. 2회 연속으로 데미지를 준다.	２ほんの　あしで　あいてを　けとばして こうげきする。２かい　れんぞくで ダメージを　あたえる。	２本の　足で　相手を　けとばして 攻撃する。２回連続で ダメージを　与える。	用２隻腳踢飛對手進行攻擊。 連續２次給予傷害。
0025-mega_kick-0000|data.Name		Mega Kick	Megakick	Megachute	Megacalcio	百万吨重踢	Ultimawashi	Megapatada	메가톤킥	メガトンキック	メガトンキック	百萬噸重踢
0025-mega_kick-0001|data.Desc		The target is attacked by a kick launched with muscle-packed power.	Das Ziel wird mit einem extrem heftigen Tritt angegriffen.	O alvo é golpeado com um chute extremamente forte.	Il Pokémon attacca il bersaglio con un calcio sferrato con la forza di muscoli poderosi.	使出力大无穷的重踢踢飞对手进行攻击。	Un coup de pied surpuissant et intense qui frappe l’ennemi.	Patada de extrema fuerza.	굉장한 힘을 담은 킥으로 상대를 걷어차서 공격한다.	ものすごい　ちからを　こめた　キックで あいてを　けとばして　こうげきする。	ものすごい　力を　こめた　キックで 相手を　けとばして　攻撃する。	用灌注了巨大力量的重踢 踢飛對手進行攻擊。
0026-jump_kick-0000|data.Name		Jump Kick	Sprungkick	Chute de Pulo	Calciosalto	飞踢	Pied Sauté	Patada Salto	점프킥	とびげり	とびげり	飛踢
0026-jump_kick-0001|data.Desc		The user jumps up high, then strikes with a kick. If the kick misses, the user hurts itself.	Der Angreifer hüpft hoch und tritt zu. Bei Misserfolg schadet er sich selbst.	O usuário salta, e acerta o alvo com um chute. Caso o chute erre, o usuário se machuca.	Il Pokémon salta in alto per attaccare con un calcio. Se non va a buon fine, chi la usa si ferisce.	使出高高的腾空踢攻击对手。如果踢偏则自己会受到伤害。	Le lanceur s’envole pour décocher un coup de pied sauté. S’il échoue, le lanceur se blesse.	Da un salto y pega una patada. Si falla, se hiere a si mismo.	높이 점프해서 킥으로 상대를 공격한다. 빗나가면 자신이 데미지를 입는다.	たかい　ジャンプからの　キックで あいてを　こうげきする。 はずすと　じぶんが　ダメージを　うける。	高い　ジャンプからの　キックで 相手を　攻撃する。 はずすと　自分が　ダメージを　受ける。	高高跳起之後使出飛踢攻擊對手。 沒踢中對手時自己會受到傷害。
0027-rolling_kick-0000|data.Name		Rolling Kick	Fegekick	Chute Giratório	Calciorullo	回旋踢	Mawashi Geri	Patada Giro	돌려차기	まわしげり	まわしげり	迴旋踢
0027-rolling_kick-0001|data.Desc		The user lashes out with a quick, spinning kick. This may also make the target flinch.	Heftiger Tritt aus einer schnellen Drehbewegung. Lässt das Ziel eventuell zurückschrecken.	O usuário ataca com um chute giratório rápido. Pode fazer com que o alvo recue.	Il Pokémon infierisce sul bersaglio con un calcio rotante. Può anche farlo tentennare.	一边使身体快速旋转，一边踢飞对手进行攻击。有时会使对手畏缩。	Le lanceur effectue un coup de pied tournoyant et extrêmement rapide. Peut apeurer l’ennemi.	Da una patada rápida y circular. Puede hacer retroceder al objetivo.	몸을 재빨리 회전시키며 걷어차서 공격한다. 상대를 풀죽게 만들 때가 있다.	からだを　すばやく　かいてん　させながら けとばして　こうげきする。 あいてを　ひるませる　ことが　ある。	体を　素早く　回転させながら けとばして　攻撃する。 相手を　ひるませる　ことが　ある。	一邊使身體快速旋轉， 一邊踢飛對手進行攻擊。 有時會使對手畏縮。
0028-sand_attack-0000|data.Name		Sand Attack	Sandwirbel	Ataque de Areia	Turbosabbia	泼沙	Jet de Sable	Ataque Arena	모래뿌리기	すなかけ	すなかけ	潑沙
0028-sand_attack-0001|data.Desc		Sand is hurled in the target's face, reducing the target's Accuracy.	Senkt Genauigkeit des Zieles, indem ihm Sand ins Gesicht geworfen wird.	Areia é lançada na face do alvo, reduzindo sua precisão.	Il Pokémon getta sabbia in faccia al bersaglio e ne riduce la precisione.	向对手脸上泼沙子，从而降低命中率。	Lance du sable au visage de l’ennemi pour baisser sa Précision.	Arroja arena a la cara y baja la Precisión.	상대의 얼굴에 모래를 뿌려서 명중률을 떨어뜨린다.	あいての　かおに　すなを　かけて めいちゅうりつを　さげる。	相手の　顔に　砂を　かけて 命中率を　さげる。	向對手的臉上潑沙， 降低對手的命中率。
0029-headbutt-0000|data.Name		Headbutt	Kopfnuss	Cabeçada	Bottintesta	头锤	Coup d'Boule	Golpe Cabeza	박치기	ずつき	ずつき	頭錘
0029-headbutt-0001|data.Desc		The user sticks out its head and attacks by charging straight into the target. This may also make the target flinch.	Rammt das Ziel mit einer Kopfnuss. Ziel schreckt eventuell zurück.	Uma cabeçada potente é lançada contra o alvo, podendo fazer com que o mesmo recue.	Il Pokémon attacca lanciandosi diritto di testa contro il bersaglio. Può anche farlo tentennare.	将头伸出，笔直地扑向对手进行攻击。有时会使对手畏缩。	Le lanceur donne un coup de tête. Peut apeurer l’ennemi.	Lanza un potente cabezazo que puede hacer retroceder al objetivo.	머리를 내밀어 곧장 돌진하여 공격한다. 상대를 풀죽게 만들 때가 있다.	あたまを　つきだして まっすぐ　つっこんで　こうげきする。 あいてを　ひるませる　ことが　ある。	頭を　突きだして まっすぐ　つっこんで　攻撃する。 相手を　ひるませることが　ある。	將頭伸出， 直直衝向對手進行攻擊。 有時會讓對手畏縮。
0030-horn_attack-0000|data.Name		Horn Attack	Hornattacke	Ataque de Chifre	Incornata	角撞	Koud'Korne	Cornada	뿔찌르기	つのでつく	つのでつく	角撞
0030-horn_attack-0001|data.Desc		The target is jabbed with a sharply pointed horn to inflict damage. Critical hits land more easily.	Spießt das Ziel mit einem spitzen Horn auf.	O alvo é golpeado com um chifre extremamente afiado. Acertos críticos acontecem mais frequentemente do que o normal.	Il Pokémon attacca il bersaglio infilzandolo con un corno affilato. Probabile brutto colpo.	用尖锐的角攻击对手。容易击中要害。	Frappe l’ennemi d’un coup de corne pointue pour infliger des dégâts.	Ataca al objetivo con una cornada. Suele ser crítico.	날카롭고 뾰족한 뿔로 상대를 공격한다. 급소에 맞기 쉽다. 	するどく　とがった　つので あいてを　こうげきする。	鋭く　とがった　つので 相手を　攻撃する。	
0031-fury_attack-0000|data.Name		Fury Attack	Furienschlag	Ataque de Fúria	Furia	乱击	Furie	Ataque Furia	마구찌르기	みだれづき	みだれづき	亂擊
0031-fury_attack-0001|data.Desc		The target is jabbed repeatedly with a horn or beak five times in a row.	Spießt das Ziel fünfmal mit spitzem Horn oder Schnabel auf.	O alvo é golpeado com um chifre ou um bico cinco vezes.	Il Pokémon attacca il bersaglio con corna affilate o con il becco per cinque volte in rapida successione.	用角或喙刺向对手进行攻击。连续攻击5次。			뿔이나 부리로 상대를 찔러서 5회 동안 연속으로 공격한다.			用角或喙 刺向對手進行攻擊。 連續攻擊５次。
0032-horn_drill-0000|data.Name		Horn Drill	Hornbohrer	Chifre Broca	Perforcorno	角钻	Empal'Korne	Perforador	뿔드릴	つのドリル	つのドリル	角鑽
0032-horn_drill-0001|data.Desc		The user stabs the target with a horn that rotates like a drill. The target faints instantly if it hits.	K.O.-Attacke, bei der ein Horn als Bohrer eingesetzt wird.	O alvo é perfurado violentamente com um chifre que gira como uma broca. O alvo é instantaneamente nocauteado caso o golpe acerte.	Il Pokémon attacca il bersaglio infilzandolo con un corno rotante. Se la mossa va a segno, il Pokémon colpito va KO.	用旋转的角刺入对手进行攻击。命中后就会一击必杀。	Un coup de corne en vrille qui empale l’ennemi, le mettant K.O. sur le coup s’il est touché.	Ataque con taladro que fulmina en un golpe al objetivo si le toca.	회전하는 뿔을 상대에게 꿰찔러서 공격한다. 맞으면 일격에 기절한다.	かいてんする　つのを あいてに　つきさして　こうげきする。 あたれば　いちげきで　ひんしに　する。	回転する　つのを 相手に　突き刺して　攻撃する。 当たれば　一撃で　ひんしに　する。	
